model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,428,107,18.3935601065092,4.288771398257221,0.3822944429420322,9.070466639647516e+21,95238997472.92345,-3.596235474752203e+20,7.046728971962617,43450157390295.0,-17.32931472144405,15.930846177728952,10.81272683802782,0.4181227632705928,5.020607255809935,-9.06042449388542,4.157476497534339,-42464997540101.984,-985159850192.3948,10077186787331.334,-985159850193.4492,-458705188604.3254,-985159850192.9264,1145172396961.9438,-985159850194.2914,-42464997540097.86,-985159850194.632,-42464997540101.84,-985159850192.6008,61377087662.57486,-985159850196.7736,26045995727.66555,-985159850196.06,-1616841246.992278,-985159850194.1688,-3858894388.95985,-985159850193.8796,-42464997540098.34,-985159850194.6084,-31984692.08507061,6330322.219278724,-42464997540101.53,-985159850195.1096,-42464997540099.45,-985159850194.6758,7.0006103515625,-985159850194.3477,-0.0078125,-985159850195.1108,-0.001953125,-985159850194.0732,0.0,-985159850196.664,0.0,-985159850194.5328,0.0,-985159850194.756,0.0,-985159850194.518,0.0,-985159850192.4865,0.0,0.0,0.0,-985159850193.2616,0.0,0.0,0.0,0.0,0.0,-985159850195.2402,0.0,-985159850194.2178,0.0,-985159850195.5186,0.0,0.0,0.0,0.0,0.0,-985159850193.9434,0.0,0.0,0.0,-985159850195.957,0.0,-985159850195.7344,0.0,0.0,0.0,-985159850194.4922,0.0,-985159850192.79,0.0,0.0,0.0,-985159850193.2008
"Random Forest (100 estimators, 20 depth)",428,107,3.1887513458755823,1.7857075196894878,0.8929130948539772,25.116302555118025,5.011616760599121,0.004195243401117,7.046728971962617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",428,107,6.743292403449436,2.5967850129437817,0.7735419806520525,23.416341920606737,4.83904349232436,0.0715948489824823,7.046728971962617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",428,107,13.38873357674578,3.6590618437990057,0.5503700705880349,23.20974258762436,4.817649072693481,0.0797860466335907,7.046728971962617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),428,107,18.574712366874763,4.309839018672828,0.376210859489266,23.56447768218204,4.854325667091366,0.0657216000966098,7.046728971962617,2.458995560025298,-0.7545140801257629,3.392607819464544,1.0182969836264648,0.4265077631827171,5.163296240208028,-1.0295309733685096,-0.6799392651987525,-1.4213427547622588,2.012938927226341,0.0,0.9991905827980068,0.0,1.2765270940765991,0.0,0.1821133628046357,1.0561443598069105,-0.2858056436637412,-0.2330418327315989,1.697684480445958,0.0,-1.363027259280273,0.0,-1.6367673069877586,0.0,0.1866027314757075,0.0,0.3704504786530498,0.8038457448393497,-0.3211237109675225,0.0,0.0,-0.6567657144315372,-0.6967121762157504,0.451160197279143,-0.4323369179034089,0.0,0.1056446201053796,0.0,-0.6686954110062908,0.0,0.3044563314233591,0.0,-2.121796573444689,0.0,-0.1050539226027734,0.0,-0.43041257721715,0.0,-0.1990474641648691,0.0,1.6655365813117329,0.0,0.0,0.0,1.2247390599099364,0.0,0.0,0.0,0.0,0.0,-0.6827350861092123,0.0,0.087831092891563,0.0,-1.1459190240647283,0.0,0.0,0.0,0.0,0.0,0.3058800339444984,0.0,0.0,0.0,-1.523194979124613,0.0,-1.395895186783074,0.0,0.0,0.0,-0.1845895607614751,0.0,1.5845563478884788,0.0,0.0,0.0,1.1889610753418616
Ridge (lambda=0.1),428,107,18.441877159687653,4.294400675261643,0.3806718254565552,23.4423014395612,4.841725047910217,0.0705656125971847,7.046728971962617,1.452447066449598,-8.670919839247908,9.606014533533603,5.792036973812,0.4269655857645257,5.10629170263006,-4.863927757049218,1.4124601521600422,-1.7829695429141517,2.0568204568929365,0.0,0.99981387815163,0.0,1.4640609644743336,0.0,0.1501037788140987,1.677721973317291,-0.2821112723460987,-0.8039689583752727,1.7921550473988266,0.0,-2.0328942809332475,0.0,-1.6736229660173805,0.0,0.2194115365912678,0.0,0.4671515014357254,1.2729208615803975,-0.2812038602055652,0.0,0.0,-0.934778791520423,-0.7087124642484909,0.5710744579092357,-0.420896024189097,0.0,0.0827375815115031,0.0,-0.7123527671414261,0.0,0.3204421995206209,0.0,-2.258984248169803,0.0,-0.1225541610338181,0.0,-0.4066084189846888,0.0,-0.1418596429931857,0.0,1.8773219253171067,0.0,0.0,0.0,1.23069740911186,0.0,0.0,0.0,0.0,0.0,-0.7799619537463107,0.0,0.1376682851806166,0.0,-1.148414486014261,0.0,0.0,0.0,0.0,0.0,0.3939914712602454,0.0,0.0,0.0,-1.573038243476971,0.0,-1.3719011281873594,0.0,0.0,0.0,-0.1633638338628541,0.0,1.6491821684302237,0.0,0.0,0.0,1.2369215474566524
Lasso (lambda=0.1),428,107,20.371890347616137,4.513523052740081,0.3158567562434616,22.022399428208253,4.69280293941779,0.1268615253298277,7.046728971962617,3.2044772051682955,0.0,1.0983450819064624,-0.0,0.1104106166915303,5.365523941122055,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4752774408529844,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),428,107,24.82371304282367,4.98234011713609,0.1663524948637781,22.15782280362731,4.707209662170075,0.1214922938873798,7.046728971962617,5.823529411764705,0.0,0.0,-0.0,0.0,1.989748596534053,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",428,107,13.77261523588976,3.711147428476772,0.5374782849449742,22.193325910158205,4.71097929417634,0.1200846757763974,7.046728971962617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),428,107,18.69595116510837,4.323881492953799,0.3721393323370304,23.49309923731293,4.846968045831634,0.0685515944703162,7.046728971962617,2.7273186062816768,-0.0,2.780701832743864,-0.0,0.3794744782255038,5.277646224739893,-0.0,-0.7740311223315453,-0.7728115850735434,1.9112446469159663,0.0,0.8162558450093843,0.0,0.8325267337828313,0.0,0.0,0.697741101352588,-0.0,-0.2973707484257525,1.5768833644138394,0.0,-0.2821640625373,0.0,-1.5447902875906967,0.0,0.0,0.0,0.0894107637333373,0.41504022559588,-0.0,0.0,0.0,-0.7561813829470913,-0.449501637782953,0.0469428985709654,-0.0,0.0,0.0,0.0,-0.4724527106043911,0.0,0.043966057686402,0.0,-1.9812241564519053,0.0,-0.0,0.0,-0.2225712333832739,0.0,-0.0,0.0,1.3238819593235511,0.0,0.0,0.0,1.013347207380236,0.0,0.0,0.0,0.0,0.0,-0.3011087577429937,0.0,0.0,0.0,-1.0026592999249526,0.0,0.0,0.0,0.0,0.0,0.037125938801359,0.0,0.0,0.0,-1.3159094981846955,0.0,-1.2791389116167642,0.0,0.0,0.0,-0.0,0.0,1.4223372593372334,0.0,0.0,0.0,0.9905937131108185
