model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,422,106,51.24036394627458,7.158237488814867,0.2465426990609939,54.38791353856871,7.374816169815266,0.1137390936141075,14.00943396226415,7.352381783665276,1.779266623316719,1.7792666233167505,17.761653146136652,-0.2209013640999209,4.473457288535153,-10.85076132695665,-0.6392681573889977,1.3988810110276972e-14,1.002380715760383,-6.661338147750939e-15,0.7353528673368834,4.6629367034256575e-15,0.0259353825079634,0.2351552812538837,0.902569017534675,0.0,2.043766575279699,3.552713678800501e-15,-2.2775014458077134,0.0,8.881784197001252e-16,-7.771561172376107e-16,-1.9364541385904548,-1.6653345369377348e-16,-3.928686276286683,4.440892098500626e-16,-1.6536977818617975,-2.220446049250313e-16,-7.771561172376107e-16,4.440892098500626e-16,8.881784197001252e-16,-4.440892098500626e-16,1.7267435807037603,0.0,0.0,2.220446049250313e-16,-0.747616243700027,0.0,0.1807754405533309,0.0,-0.6641402411378392,0.0,1.6431494683073724,0.0,2.6122323617017464,0.0,-1.142762292375141,0.0,-0.4570663690704841,0.0,0.0,0.0,0.0,0.0,-0.0868411871368555,0.0,-5.456597246701889,0.0,0.0,0.0,0.370397440443109,0.0,2.5964442723663943,-6.445641891865224,-0.269968808091822,0.0,0.0,0.0,0.0,0.0,0.8340467144361674,0.0,0.0,0.0,0.0487370416608134,0.0,-0.5694123388833336,0.0,0.0,6.210486610611289,6.688765418838773,0.0,-1.100143142075347,0.0,-3.024230477297293,0.0,1.9038216915855628
"Random Forest (100 estimators, 20 depth)",422,106,9.109557556114266,3.018204359567832,0.8660496897294696,52.27517950750366,7.230157640570755,0.1481664774849047,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",422,106,18.986506283755023,4.357350833219082,0.7208153752807289,52.04410889617442,7.214160304302533,0.1519318149672952,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",422,106,40.18223504796882,6.338945894071728,0.4091455244798179,50.2987263600988,7.092159499059423,0.1803731396618993,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),422,106,51.42994162236282,7.171467187567885,0.2437550786550675,52.346108421967806,7.235061051709779,0.1470106779711508,14.00943396226415,8.667578218810704,2.042422786854556,2.0424227868545324,4.506378762903351,-0.1891523240112574,4.489513140852172,0.3651806983662466,-2.241803903159823,0.0,0.9267439490530656,0.0,0.6044330013600553,0.0,-0.0627641009917343,0.2754890714365913,0.7001991820757586,0.0,1.8878502951672207,0.0,-2.025106000667291,0.0,0.0,0.0,-1.7772769460740638,0.0,-3.1476720624055936,0.0,-1.6955360985424153,0.0,0.0,0.0,0.0,0.0,1.572721093625569,0.0,0.0,0.0,-0.9192429132798128,0.0,0.1692916663294402,0.0,-0.7216792653483269,0.0,1.420889557888954,0.0,2.583436748220731,0.0,-1.2252168033819424,0.0,-0.4186327343203176,0.0,0.0,0.0,0.0,0.0,-0.0964626008155701,0.0,-3.760753646642714,0.0,0.0,0.0,0.2180077055379726,0.0,2.0491546861258567,-5.592205519753911,-0.2166880952562067,0.0,0.0,0.0,0.0,0.0,0.7553124631770471,0.0,0.0,0.0,0.12071562951128,0.0,-0.6829361378781046,0.0,0.0,5.316716448316077,5.463507486291743,0.0,-1.0504630204757988,0.0,-2.56186096818599,0.0,1.8900279299009872
Ridge (lambda=0.1),422,106,51.264400247132194,7.159916217884969,0.2461892603854271,54.06315619419291,7.352765207334783,0.1190310733878464,14.00943396226415,7.643674298720491,1.90361884226438,1.90361884226416,12.067359013241038,-0.2101043682219952,4.506566546806429,-5.553105957122489,-1.410824937374996,0.0,0.9976627518577916,0.0,0.6796548790894138,0.0,-0.0186838139976058,0.2182607235844733,0.8402216939365201,0.0,2.060827443941655,0.0,-2.218387297813159,0.0,0.0,0.0,-1.8869319747518567,0.0,-3.793270076903738,0.0,-1.690046364047409,0.0,0.0,0.0,0.0,0.0,1.7074810051597773,0.0,0.0,0.0,-0.8317766157939572,0.0,0.2004663359837209,0.0,-0.7121688846621298,0.0,1.5652550390621778,0.0,2.694103213056416,0.0,-1.1931261023109758,0.0,-0.4423029442594569,0.0,0.0,0.0,0.0,0.0,-0.0734216715077293,0.0,-5.220389298174032,0.0,0.0,0.0,0.3039704335231225,0.0,2.5209587865494467,-6.258903415799881,-0.2474846223948597,0.0,0.0,0.0,0.0,0.0,0.8422012691055092,0.0,0.0,0.0,0.1054689871431564,0.0,-0.6352734977067193,0.0,0.0,6.040642692202388,6.549741415782799,0.0,-1.0706984729808091,0.0,-2.9972528496894384,0.0,1.963201232799304
Lasso (lambda=0.1),422,106,54.57454551996421,7.387458664518144,0.1975156575671679,45.76748085102673,6.765166727511358,0.2542106063093265,14.00943396226415,12.178775415043535,0.7088617790853414,7.240146553873839e-16,0.0,-0.0,4.359842092405777,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.771560963137408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2.465178557672054,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
Lasso (lambda=1.0),422,106,66.66862123142386,8.165085500558083,0.0196798862900029,59.97717362233228,7.744493115907089,0.0226610877562428,14.00943396226415,13.95981985164252,0.0,0.0,-0.0,0.0,0.410720593429922,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.2356057930060061,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",422,106,40.24498240541151,6.343893316049026,0.4082228640820621,48.63414316805776,6.973818406587438,0.2074978244043441,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),422,106,51.48279590935503,7.175151281287039,0.2429778896315475,51.90295369133912,7.204370457669366,0.1542319646078898,14.00943396226415,8.152378783469347,2.8355367361519663,0.0,5.853671767747285,-0.1406708797330152,4.547143219982381,-0.0,-1.09565772726775,0.0,0.8166392701134759,0.0,0.4827455602435607,0.0,-0.0,0.0,0.0,0.0,1.7370018435135377,0.0,-1.89147771771249,0.0,0.0,0.0,-1.6134092375371576,0.0,-2.8513164005637126,0.0,-1.523191001748393,0.0,0.0,0.0,0.0,0.0,1.4586404816640133,0.0,0.0,0.0,-0.6671346485807071,0.0,0.0,0.0,-0.5221801344726157,0.0,1.3210458512933445,0.0,2.344216097259645,0.0,-1.0430401420181274,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-3.416715653970491,0.0,0.0,0.0,0.081164865489019,0.0,1.5064351102668372,-6.397232386568402,-0.0,0.0,0.0,0.0,0.0,0.0,0.6109711008165688,0.0,0.0,0.0,0.0,0.0,-0.4557156601775404,0.0,0.0,5.545970026973054,5.745177074758956,0.0,-0.8266360616949694,0.0,-2.1556264344832283,0.0,1.7217332809267454
"Random Forest (100 estimators, 5 depth)",422,106,39.16351738680938,6.258076172979151,0.4241251265021779,47.64043342382946,6.902204968256844,0.2236905047501296,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=2.0),422,106,51.588439271050376,7.182509260074113,0.2414244704901739,51.220611906302814,7.1568576838094815,0.1653508476377085,14.00943396226415,9.315816770115752,2.003816058797545,2.003816058797537,3.0380629497149627,-0.178245089802987,4.436301105253151,0.6910212038320884,-2.1776444523408647,0.0,0.868871411848935,0.0,0.5926973602511433,0.0,-0.0520690958226114,0.3443455892521464,0.6207961599987383,0.0,1.7050766235603465,0.0,-1.8779537821386816,0.0,0.0,0.0,-1.695597699409389,0.0,-2.6794875155428417,0.0,-1.6401882777488277,0.0,0.0,0.0,0.0,0.0,1.4628579305798293,0.0,0.0,0.0,-0.8988998486750213,0.0,0.1277347505068702,0.0,-0.6701377147777403,0.0,1.3595592948148592,0.0,2.3780715509557573,0.0,-1.1856830570540349,0.0,-0.3875657387816678,0.0,0.0,0.0,0.0,0.0,-0.1214854440213653,0.0,-2.8792488777996,0.0,0.0,0.0,0.2102861551482926,0.0,1.6944607347080878,-5.160505368283401,-0.1942007683490473,0.0,0.0,0.0,0.0,0.0,0.6691037222096312,0.0,0.0,0.0,0.0926596895930134,0.0,-0.6484221378237671,0.0,0.0,4.816159779030663,4.6087471373231015,0.0,-1.0385994138087524,0.0,-2.175410106609466,0.0,1.754026956864116
Lasso (lambda=0.05),422,106,53.67434020500962,7.326277377018265,0.2107526101307326,47.08602370194882,6.861925655524754,0.2327247116291019,14.00943396226415,11.853245292149449,1.3208640924732602,0.0,0.0,-0.0,4.4713414758667085,0.0,-0.0,0.0,0.0454916949638225,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.00768254309237,0.0,-0.6272646849442596,0.0,0.0,0.0,-0.5527140803798727,0.0,-0.0,0.0,-0.7510366957982246,0.0,0.0,0.0,0.0,0.0,0.3064645610402353,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.425568428046944,0.0,0.6858551309832359,0.0,-0.286260103031929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.003780879687516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2.648604848389634,1.8882778260400448,0.0,-0.0930670482064737,0.0,-0.0,0.0,0.4669302886596788
"Random Forest (500 estimators, 5 depth)",422,106,39.57249520264752,6.290667309804861,0.4181113651325587,47.68548545584309,6.905467794135535,0.222956373724886,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (rbf kernel),422,106,32.71681070861904,5.719861074241143,0.5189198906218797,70.49864342886183,8.396347028849023,-0.1487881692672701,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM (poly kernel),422,106,31.849054434561605,5.643496649645644,0.5316797004626085,75.52458945402272,8.690488447378703,-0.2306868704657807,14.00943396226415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
