Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1983-10-29,23-114,HOU,,SAS,W (+6),1,32:00,9,21,0.429,0,1,0.0,0,0,,5,7,12,3,0,4,5,2,18,11.6,
2,2,1983-11-01,23-117,HOU,@,IND,L (-8),1,38:00,8,15,0.533,0,0,,5,6,0.833,5,13,18,4,0,2,7,4,21,16.3,
3,3,1983-11-02,23-118,HOU,@,CLE,L (-9),1,37:00,7,17,0.412,0,0,,2,2,1.0,5,11,16,2,0,2,2,2,16,13.7,
4,4,1983-11-04,23-120,HOU,@,DET,W (+5),1,32:00,12,18,0.667,0,0,,2,2,1.0,5,7,12,2,0,1,3,6,26,20.5,
5,5,1983-11-05,23-121,HOU,@,KCK,L (-17),1,28:00,8,11,0.727,0,0,,4,7,0.571,3,7,10,3,1,1,2,5,20,18.3,
6,6,1983-11-08,23-124,HOU,,POR,L (-18),1,27:00,9,20,0.45,0,0,,6,11,0.545,4,8,12,0,0,4,2,6,24,15.2,
7,7,1983-11-10,23-126,HOU,,UTA,L (-9),1,37:00,9,16,0.563,0,0,,4,9,0.444,6,8,14,2,0,4,2,4,22,19.6,
8,8,1983-11-12,23-128,HOU,,DAL,W (+2),1,44:00,9,20,0.45,0,0,,5,7,0.714,3,9,12,5,1,4,1,4,23,21.3,
9,9,1983-11-15,23-131,HOU,,NJN,L (-18),1,44:00,12,25,0.48,0,0,,8,8,1.0,6,14,20,2,2,2,6,4,32,24.9,
10,10,1983-11-18,23-134,HOU,@,DEN,L (-7),1,26:00,10,15,0.667,0,0,,2,5,0.4,2,4,6,0,0,0,4,6,22,10.5,
11,11,1983-11-19,23-135,HOU,,GSW,W (+20),1,23:00,7,16,0.438,0,0,,3,3,1.0,1,4,5,2,1,2,2,3,17,11.1,
12,12,1983-11-22,23-138,HOU,,PHO,W (+22),1,27:00,7,12,0.583,0,0,,1,1,1.0,4,6,10,1,1,1,2,4,15,12.8,
13,13,1983-11-25,23-141,HOU,,PHI,L (-14),1,38:00,10,14,0.714,0,0,,0,1,0.0,0,7,7,4,0,2,4,3,20,14.9,
14,14,1983-11-26,23-142,HOU,@,ATL,L (-6),1,44:00,13,20,0.65,0,0,,3,6,0.5,4,14,18,0,0,3,3,4,29,23.5,
15,15,1983-11-29,23-145,HOU,,CHI,W (+6),1,36:00,8,16,0.5,0,0,,9,13,0.692,3,6,9,3,1,2,6,5,25,15.8,
16,16,1983-11-30,23-146,HOU,@,DAL,L (-11),1,32:00,9,14,0.643,0,0,,4,4,1.0,4,6,10,1,2,4,4,5,22,19.9,
17,17,1983-12-02,23-148,HOU,,SEA,W (+23),1,19:00,3,10,0.3,0,0,,3,4,0.75,6,7,13,2,1,3,1,4,9,11.0,
18,18,1983-12-03,23-149,HOU,@,NYK,L (-16),1,29:00,5,11,0.455,0,0,,4,8,0.5,4,7,11,1,0,2,3,6,14,8.3,
19,19,1983-12-06,23-152,HOU,,WSB,L (-4),1,37:00,8,15,0.533,0,0,,3,4,0.75,4,7,11,1,2,4,3,2,19,17.9,
20,20,1983-12-07,23-153,HOU,@,MIL,L (-2),1,46:00,10,21,0.476,0,0,,3,5,0.6,6,9,15,5,1,5,2,5,23,22.4,
21,21,1983-12-09,23-155,HOU,@,CHI,W (+3),1,49:00,11,18,0.611,0,0,,6,9,0.667,6,12,18,5,0,13,6,4,28,31.4,
22,22,1983-12-10,23-156,HOU,,UTA,L (-7),1,40:00,14,29,0.483,0,0,,6,9,0.667,11,7,18,4,0,3,4,5,34,26.8,
23,23,1983-12-13,23-159,HOU,,PHO,W (+19),1,38:00,9,15,0.6,0,0,,4,6,0.667,2,12,14,1,1,1,2,3,22,18.5,
24,24,1983-12-15,23-161,HOU,@,UTA,L (-27),1,38:00,7,17,0.412,0,0,,4,6,0.667,7,12,19,6,2,2,4,2,18,19.4,
25,25,1983-12-17,23-163,HOU,,IND,W (+15),1,31:00,9,14,0.643,0,0,,2,4,0.5,2,6,8,4,1,2,2,4,20,17.8,
26,26,1983-12-21,23-167,HOU,@,SDC,L (-31),1,27:00,8,15,0.533,0,0,,0,0,,0,4,4,1,0,0,3,1,16,7.2,
27,27,1983-12-22,23-168,HOU,@,SEA,W (+4),1,30:00,2,12,0.167,0,0,,2,4,0.5,4,14,18,5,0,3,1,5,6,7.2,
28,28,1983-12-23,23-169,HOU,@,POR,L (-13),1,22:00,3,10,0.3,0,0,,2,4,0.5,2,7,9,1,0,0,3,5,8,0.6,
29,29,1983-12-27,23-173,HOU,,SDC,L (-15),1,27:00,5,12,0.417,0,0,,3,6,0.5,1,8,9,2,1,4,3,4,13,9.1,
30,30,1983-12-29,23-175,HOU,,BOS,W (+13),1,45:00,13,18,0.722,1,1,1.0,0,0,,6,13,19,4,1,3,3,4,27,29.0,
31,31,1983-12-30,23-176,HOU,@,PHO,L (-11),1,35:00,6,13,0.462,0,0,,3,4,0.75,1,5,6,0,0,2,5,4,15,4.9,
32,32,1984-01-03,23-180,HOU,,DAL,L (-2),1,42:00,10,20,0.5,0,1,0.0,7,7,1.0,3,4,7,0,1,5,5,3,27,18.6,
33,33,1984-01-04,23-181,HOU,@,UTA,L (-5),1,23:00,8,14,0.571,0,0,,2,6,0.333,3,5,8,0,0,3,2,6,18,11.1,
34,34,1984-01-06,23-183,HOU,@,SEA,L (-16),1,44:00,17,27,0.63,0,0,,1,4,0.25,7,8,15,1,1,0,5,5,35,23.7,
35,35,1984-01-08,23-185,HOU,@,LAL,W (+11),1,34:00,7,15,0.467,0,0,,7,8,0.875,5,5,10,6,1,2,2,5,21,20.5,
36,36,1984-01-10,23-187,HOU,,LAL,L (-4),1,34:00,9,15,0.6,0,0,,2,7,0.286,4,7,11,0,2,4,3,6,20,15.4,
37,37,1984-01-12,23-189,HOU,,POR,L (-3),1,43:00,11,19,0.579,0,0,,3,6,0.5,3,9,12,1,2,0,6,4,25,14.8,
38,38,1984-01-13,23-190,HOU,@,SAS,L (-30),1,18:00,7,15,0.467,0,0,,10,14,0.714,4,3,7,1,2,2,2,6,24,18.1,
39,39,1984-01-14,23-191,HOU,,KCK,W (+5),1,41:00,12,17,0.706,0,0,,6,10,0.6,2,10,12,1,1,2,5,2,30,23.0,
40,40,1984-01-17,23-194,HOU,,DEN,W (+9),1,28:00,12,18,0.667,0,0,,3,5,0.6,2,6,8,1,0,0,3,4,27,17.7,
41,41,1984-01-20,23-197,HOU,,SAS,W (+34),1,40:00,11,24,0.458,0,0,,2,5,0.4,5,18,23,4,4,4,1,3,24,26.7,
42,42,1984-01-21,23-198,HOU,,UTA,W (+10),1,25:00,7,16,0.438,0,0,,4,7,0.571,6,9,15,3,0,1,3,4,18,13.5,
43,43,1984-01-24,23-201,HOU,,GSW,W (+20),1,29:00,10,16,0.625,0,0,,3,6,0.5,1,14,15,2,3,8,3,4,23,24.9,
44,44,1984-01-26,23-203,HOU,@,LAL,L (-29),1,38:00,8,24,0.333,0,0,,0,3,0.0,4,9,13,2,1,1,5,5,16,2.8,
45,45,1984-01-31,23-208,HOU,@,KCK,W (+15),1,34:00,13,18,0.722,0,0,,7,10,0.7,6,6,12,1,0,2,3,3,33,28.3,
46,46,1984-02-02,23-210,HOU,,DAL,W (+16),1,38:00,15,26,0.577,0,0,,4,7,0.571,6,3,9,0,1,1,3,3,34,23.2,
47,47,1984-02-04,23-212,HOU,,NYK,L (-8),1,37:00,12,20,0.6,0,0,,4,6,0.667,5,9,14,2,0,0,5,6,28,18.2,
48,48,1984-02-07,23-215,HOU,@,WSB,L (-3),1,35:00,9,18,0.5,0,0,,3,4,0.75,3,9,12,3,0,2,3,4,21,15.3,
49,49,1984-02-08,23-216,HOU,@,PHI,L (-11),1,38:00,16,26,0.615,0,0,,9,10,0.9,6,6,12,0,3,4,5,4,41,34.0,
50,50,1984-02-10,23-218,HOU,@,BOS,L (-13),1,39:00,5,14,0.357,0,0,,2,4,0.5,8,8,16,0,1,1,11,2,12,1.3,
51,51,1984-02-12,23-220,HOU,@,NJN,L (-4),1,13:00,4,5,0.8,0,0,,4,4,1.0,0,3,3,1,0,0,2,1,12,9.3,
52,52,1984-02-14,23-222,HOU,,DET,L (-7),1,20:00,2,9,0.222,0,0,,4,4,1.0,1,6,7,1,1,1,4,6,8,1.0,
53,53,1984-02-16,23-224,HOU,@,SDC,W (+11),1,17:00,6,14,0.429,0,0,,0,0,,0,6,6,1,1,1,2,4,12,5.2,
54,54,1984-02-18,23-226,HOU,,PHO,L (-24),1,18:00,6,13,0.462,0,0,,2,3,0.667,2,3,5,0,3,0,3,4,14,7.6,
55,55,1984-02-21,23-229,HOU,,MIL,W (+17),1,27:00,7,16,0.438,0,0,,4,5,0.8,4,8,12,0,0,0,5,4,18,7.8,
56,56,1984-02-22,23-230,HOU,@,DAL,L (-6),1,34:00,7,13,0.538,0,0,,7,10,0.7,0,6,6,1,0,3,5,3,21,11.9,
57,57,1984-02-25,23-233,HOU,,GSW,L (-6),1,32:00,11,18,0.611,0,0,,3,7,0.429,2,4,6,1,0,6,4,5,25,16.7,
58,58,1984-02-28,23-236,HOU,,SEA,W (+6),1,34:00,9,19,0.474,0,0,,2,3,0.667,4,8,12,3,1,2,8,6,20,9.2,
59,59,1984-03-01,23-238,HOU,,KCK,L (-7),1,41:00,11,24,0.458,0,0,,6,9,0.667,5,7,12,2,1,4,2,6,28,20.8,
60,60,1984-03-03,23-240,HOU,@,GSW,W (+2),1,28:00,4,13,0.308,0,0,,3,4,0.75,5,7,12,3,1,1,3,6,11,7.1,
61,61,1984-03-06,23-243,HOU,@,DEN,L (-2),1,40:00,14,22,0.636,0,0,,5,7,0.714,6,12,18,2,1,0,3,4,33,28.0,
