model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,192,49,18.87449440082268,4.344478610929357,0.3526571313546242,20.464105494584484,4.523726947394646,-0.0296809860534252,4.591836734693878,10.959465234715545,5.157245082269045,5.157245082269044,-9.218872317857176,-1.0869905716651762,6.27155929358131,-3.488612866404077,-4.065619246688854,0.0,2.6902017984677995,-4.329869796038111e-15,-0.915443012427005,-3.552713678800501e-15,-0.3046019909039188,-4.6629367034256575e-15,-2.280088833550479,5.9952043329758445e-15,-0.5105271631892834,-5.6621374255882976e-15,3.453372297963295,-8.881784197001252e-16,-1.7763568394002505e-15,-4.440892098500626e-16,-1.762987139028867,2.220446049250313e-16,3.580699772196014,4.440892098500626e-16,-1.127027822143043,2.220446049250313e-16,-1.7726290490958732,-1.1102230246251563e-16,0.0,0.0,-0.0619701370949321,0.0,0.0,-8.326672684688674e-17,-0.8148669297652231,0.0,-1.1942351181098023,0.0,-1.6801167512071848,2.893708269032236,-0.4404442821522606,0.0,1.927005759106643,0.0,-0.977054085485768,0.0,2.657900412188955,0.0,-2.911785974451784,0.0,0.0,6.1404391848443325,1.3787363571742035,0.0,0.0,0.0,0.0,0.0,-1.4034529265114986,-4.360942194314906,-0.8851900952540962,0.0,1.361024488199268,0.0,0.0,0.0,0.0,0.0,-0.3929345990699083,0.0,0.0,0.0,-1.2320632656076056,-4.673205259561643,1.3370119126386062,0.0,0.0,0.0,1.0945902194402404,0.0,2.66343298811989,0.0,0.0,0.0,-1.4765568304464185
"Random Forest (100 estimators, 20 depth)",192,49,3.785875635748349,1.9457326732489093,0.8701549539640568,14.45750087938293,3.8023020499932576,0.2725499892829034,4.591836734693878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",192,49,5.469036358555678,2.338597091966822,0.812427204147043,13.45201325503545,3.667698631981021,0.3231425494501003,4.591836734693878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",192,49,12.615297177463065,3.551801962027594,0.5673302558336659,14.97839862014066,3.870193615329944,0.2463402680967826,4.591836734693878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),192,49,19.18838548420575,4.380454940323636,0.341891536788523,19.086145458543573,4.368769329976529,0.0396530607744851,4.591836734693878,6.223097482031735,3.7570582065691966,3.757058206569184,-2.002167237148592,-0.9958498235924104,6.002594041127898,-2.4491749348978167,-2.2027898109598003,0.0,2.2293473835826165,0.0,-1.082503286408417,0.0,-0.6863123004520181,0.0,-1.9418643276670329,0.0,0.1823790414143495,0.0,2.8674697488027494,0.0,0.0,0.0,-1.651276513279592,0.0,2.88710884190426,0.0,-0.8583192542670439,0.0,-0.773280431016687,0.0,0.0,0.0,-0.3213961630555498,0.0,0.0,0.0,-0.9303761112893943,0.0,-1.199940476543232,0.0,-1.5047325478804912,-0.0783837766739831,-0.5303293123284697,0.0,1.834046783438973,0.0,-0.9664669427519772,0.0,2.2940995630893046,0.0,-1.46276921150706,0.0,0.0,2.1448135871886027,1.2719847562151754,0.0,0.0,0.0,0.0,0.0,-1.417789884952423,-1.3722298105448247,-0.7285000131013571,0.0,0.8811504687454391,0.0,0.0,0.0,0.0,0.0,-0.396299934693494,0.0,0.0,0.0,-0.9684589109175936,-0.6941999999695603,1.190050507275648,0.0,0.0,0.0,0.6244440668455141,0.0,2.2963539766026915,0.0,0.0,0.0,-1.1378195158050233
Ridge (lambda=0.1),192,49,18.893285526791257,4.346640717472662,0.3520126477922434,20.40222973422703,4.516882745237807,-0.0265676179194245,4.591836734693878,9.453950463316696,4.9443085598787775,4.944308559878855,-5.445073294614994,-1.0644479316195137,6.193832334151537,-4.687391247326844,-3.6130514740853705,0.0,2.6473814877650725,0.0,-0.9941449186741448,0.0,-0.4041838242623919,0.0,-2.242952255606236,0.0,-0.3596007644618164,0.0,3.355899581718696,0.0,0.0,0.0,-1.8238475983357505,0.0,3.4695356684955025,0.0,-1.0778364440446744,0.0,-1.604260403933407,0.0,0.0,0.0,-0.1527061095415105,0.0,0.0,0.0,-0.8436161184773692,0.0,-1.200374083095595,0.0,-1.6478884876352466,1.844479017480064,-0.4747092832338005,0.0,1.9463775955953693,0.0,-1.0149201195813704,0.0,2.652312756215362,0.0,-2.581619930916102,0.0,0.0,5.064594630414383,1.3987850781510272,0.0,0.0,0.0,0.0,0.0,-1.4438718217752462,-3.4939727776888523,-0.8219334722499545,0.0,1.2773340993889375,0.0,0.0,0.0,0.0,0.0,-0.3998790704077252,0.0,0.0,0.0,-1.2162842937496428,-3.4151008701953742,1.358830801364018,0.0,0.0,0.0,0.9871223742097324,0.0,2.625246913074302,0.0,0.0,0.0,-1.4141973559973733
Lasso (lambda=0.1),192,49,22.67114368127145,4.761422443059579,0.2224425791524212,14.57219719032132,3.8173547372914296,0.2667788789563374,4.591836734693878,4.980689617825966,2.605506364741337,0.0,-1.8195880987051896,-0.5818105701028914,5.954578768534066,-0.0,0.0,0.0,0.0329497907773361,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.2587927473506284,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),192,49,29.15687391493056,5.399710539920687,0.0,20.529031697314345,4.530897449436959,-0.0329478415954511,4.591836734693878,5.401041666666667,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",192,49,11.803324643991544,3.435596694024423,0.5951786642686911,12.781410570859142,3.57510986836197,0.3568848908036213,4.591836734693878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),192,49,19.179062556095914,4.379390660365425,0.3422112873947449,19.112088057734425,4.371737418662565,0.0383477214757459,4.591836734693878,4.615490262139451,8.432814779130409,0.0,-0.0,-0.9781267442134928,6.264219497525669,-3.909476290591845,-2.546604092396002,0.0,3.0118199268864694,0.0,-0.3162162432945528,0.0,-0.0,0.0,-1.200736367204147,0.0,0.0,0.0,3.765342257250307,0.0,0.0,0.0,-0.930163304827981,0.0,3.791200087618132,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0718996184131579,0.0,-0.3478242347828122,0.0,-0.7026420212047862,0.0,0.0,0.0,2.471906104466842,0.0,-0.1803719105689366,0.0,3.0758625395387043,0.0,-0.2050500532347187,0.0,0.0,2.9709603771334687,1.8199310970639144,0.0,0.0,0.0,0.0,0.0,-0.6922876133949654,-0.7577217374040912,0.0,0.0,1.3608923588883082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2567375352033609,-0.0,1.8197747887924,0.0,0.0,0.0,1.1921063328964536,0.0,3.0613123220719465,0.0,0.0,0.0,-0.342943372319649
