Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,1,2013-12-06,8207,SAC,H,LAL,L (-6),0,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
19,2,2013-12-09,8210,SAC,H,DAL,W (+15),0,5:16,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.8,-6
20,3,2013-12-11,8212,SAC,H,UTA,L (-21),0,2:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+7
22,4,2013-12-15,8216,SAC,H,HOU,W (+15),0,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
24,5,2013-12-18,8219,SAC,A,ATL,L (-17),0,0:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
25,6,2013-12-20,8221,SAC,A,MIA,L (-19),0,5:06,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-1.4,+4
34,7,2014-01-10,8242,SAC,H,ORL,W (+20),0,1:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
35,8,2014-01-12,8244,SAC,H,CLE,W (+44),0,5:43,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,3,4.4,+4
40,9,2014-01-21,8253,SAC,A,NOP,W (+17),0,1:34,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
41,10,2014-01-22,8254,SAC,A,HOU,L (-21),0,7:57,1,3,.333,0,0,,0,0,,0,1,1,4,0,1,0,0,2,4.1,+4
43,11,2014-01-26,8258,SAC,H,DEN,L (-8),0,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
44,12,2014-01-27,8259,SAC,A,UTA,L (-7),0,10:21,2,5,.400,0,1,.000,2,2,1.000,1,2,3,0,0,0,1,4,6,2.0,+6
47,13,2014-02-01,8264,SAC,A,SAS,L (-2),0,10:20,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,3.3,+2
48,14,2014-02-03,8266,SAC,H,CHI,W (+29),0,6:06,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,3,0,-2.6,-5
50,15,2014-02-07,8270,SAC,A,BOS,L (-10),0,1:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
52,16,2014-02-11,8274,SAC,A,CLE,L (-10),0,3:09,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+8
54,17,2014-02-19,8282,SAC,H,GSW,L (-9),0,11:40,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,-0.5,-10
55,18,2014-02-22,8285,SAC,H,BOS,W (+7),0,11:13,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-0.5,-5
56,19,2014-02-23,8286,SAC,A,DEN,W (+14),0,16:44,0,4,.000,0,0,,2,2,1.000,1,2,3,2,0,0,0,3,2,0.7,-12
57,20,2014-02-25,8288,SAC,H,HOU,L (-26),0,24:37,2,8,.250,0,0,,2,2,1.000,1,2,3,4,0,0,1,0,6,4.3,+2
58,21,2014-02-28,8291,SAC,A,LAL,L (-4),0,22:38,3,7,.429,1,1,1.000,0,0,,0,1,1,5,0,0,0,2,7,6.3,+1
