model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,208,53,9.62312005615673,3.102115416317828,0.2368099624219052,7.449125245516295,2.7293085654642084,-0.2905262621595703,3.037735849056604,5.927866573870061,-1.9447041918480643,-1.94470419184808,6.092987956622852,0.7179753818208838,8.427997131537456,-12.306161189307195,3.3377626021603506,8.659739592076221e-15,0.1184904611219819,0.0225197320439505,-0.2250760034835544,-6.661338147750939e-15,0.4256874921109741,-2.220446049250313e-15,0.1075910543193825,-5.6621374255882976e-15,-1.5265308618288405,2.220446049250313e-15,-0.178854808144151,8.881784197001252e-16,8.326672684688674e-16,-1.5543122344752197e-15,-0.0648451034500405,0.0,1.7763568394002505e-15,-3.323139966741844,-1.3905278394838678,8.881784197001252e-16,0.0,1.6653345369377348e-16,6.938893903907227e-17,0.0,0.2092896506798829,2.220446049250313e-16,-2.220446049250313e-16,0.0,-2.270774858901158,0.0,0.7974377995317323,0.0,-0.5287031257525758,0.0,-1.2823379978641556,0.0,2.9345593822438607,1.432764640104338,-0.6276667091838033,0.0,0.0,0.0,0.0,0.0,0.0,0.5982352422372388,-1.0143535782390949,0.0,-0.3070014231680862,0.0,0.0,1.8671768446840828,-0.462151337569299,0.0,2.910874018348417,-0.597556492327727,0.2114818832319555,0.0,0.0,0.0,0.0,0.0,-0.9579143358413716,0.0,0.0,0.0,2.5307231330055413,0.0,-1.356738118292715,0.0,0.0,0.0,1.042901954746894,0.0,-0.5775868792133154,0.0,-0.8238746186367336,0.0,2.3059007697121725
"Random Forest (100 estimators, 20 depth)",208,53,1.9356805432716893,1.3912873690477066,0.8464851214639519,6.723513672130303,2.592973905023015,-0.1648174358587653,3.037735849056604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",208,53,2.8770774041745053,1.696194978230541,0.7718248552035661,6.12946876226202,2.475776395852828,-0.061901921376219,3.037735849056604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",208,53,6.702123337243084,2.5888459469893306,0.4684682585528922,5.891299318549158,2.4271998925818115,-0.0206401742817678,3.037735849056604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),208,53,9.856969134851608,3.1395810444789616,0.2182638686274538,7.141661107087092,2.672388651952985,-0.2372595318741608,3.037735849056604,4.470201155492548,-0.8656572311116205,-0.8656572311116199,-0.1176946332767296,0.7915126122153088,5.149973271179382,-1.944337047456418,0.3963662701459938,0.0,0.2078901461714609,0.5575964837613745,-0.3256117937854573,0.0,0.3570414287221483,0.0,0.0473214245280593,0.0,-0.7701168100370839,0.0,-0.0958447918080584,0.0,0.0,0.0,0.0989782864314051,0.0,0.0,-1.4007406402112417,-1.375288411679827,0.0,0.0,0.0,0.0,0.0,0.342688134036137,0.0,0.0,0.0,-2.042182477582033,0.0,0.8134644624971158,0.0,-0.4715699387342312,0.0,-1.086128610701625,0.0,2.0731028618337244,-0.1385231564435417,-0.6886945444374893,0.0,0.0,0.0,0.0,0.0,0.0,-0.3917340813133373,-0.8203115230602803,0.0,0.0671689882160823,0.0,0.0,0.903192133496509,-0.4894466861044146,0.0,2.1588123870394704,0.4702092607102417,0.3724931002207711,0.0,0.0,0.0,0.0,0.0,-0.6734381880317885,0.0,0.0,0.0,1.2666505270222814,0.0,-1.103821410407318,0.0,0.0,0.0,1.100826410278845,0.0,-0.4948921744224739,0.0,-0.5975134506914204,0.0,2.128422654486031
Ridge (lambda=0.1),208,53,9.649949809552425,3.106436834952937,0.2346821493651439,7.331358596803356,2.7076481671006216,-0.2701237386468871,3.037735849056604,5.7021280567285135,-1.657992810199837,-1.657992810199863,2.002526480691873,0.7550356571398519,7.89544326261433,-7.154057689951731,2.237839742886361,0.0,0.1524207801279577,0.1356021276899012,-0.2789055740430939,0.0,0.377430095654244,0.0,0.0852130320580609,0.0,-1.3574080078179709,0.0,-0.1689120590973738,0.0,0.0,0.0,-0.0165022603366989,0.0,0.0,-2.914304694687223,-1.4440051528680786,0.0,0.0,0.0,0.0,0.0,0.2790503885595647,0.0,0.0,0.0,-2.251561725705436,0.0,0.8369949655438585,0.0,-0.5456732818232829,0.0,-1.2443335254098575,0.0,2.9029451550560097,1.0908192835033683,-0.7153851724189766,0.0,0.0,0.0,0.0,0.0,0.0,0.3704159898215878,-0.9965066321465148,0.0,-0.1680623514798659,0.0,0.0,1.7327905640339305,-0.5182698403121855,0.0,2.7399711288552826,-0.4153232703642047,0.2774776790600083,0.0,0.0,0.0,0.0,0.0,-0.9687532485073588,0.0,0.0,0.0,2.3136147751139604,0.0,-1.3201676931319195,0.0,0.0,0.0,1.101514198757073,0.0,-0.5765669789673845,0.0,-0.7829392956046446,0.0,2.287320600884837
Lasso (lambda=0.1),208,53,11.786791647866114,3.4331897191775047,0.0652135785311244,6.224270895504455,2.4948488722775286,-0.0783259495172083,3.037735849056604,3.8895728570365695,-0.0,-0.0,-0.0,0.4393188884687684,0.0,-1.1263347113986402,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2081630666202387,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.2954467186843251,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.2340460764639036,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
Lasso (lambda=1.0),208,53,12.60907451923077,3.550925867887243,0.0,6.194354363207547,2.4888459902548306,-0.0731430496021956,3.037735849056604,3.6875,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",208,53,6.699385108303367,2.588317041690096,0.4686854219089768,6.717331366350737,2.5917815043615726,-0.1637463801701753,3.037735849056604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),208,53,9.85737699516515,3.1396459983834406,0.2182315220572975,6.665414201064507,2.5817463471581608,-0.1547519730350439,3.037735849056604,4.744244479193325,-1.0159891365409268,-4.3831527175172885e-16,-0.0,0.7594885516349308,6.802982028360431,-2.678710500385428,-0.0,0.0,0.1296780033391351,0.1483211756975589,-0.0,0.0,0.3149885914785449,0.0,0.0,0.0,-0.6213416218617615,0.0,0.0,0.0,0.0,0.0,0.0682021085143831,0.0,0.0,-1.8161337430753617,-1.1136683928637208,0.0,0.0,0.0,0.0,0.0,0.2604639839446476,0.0,0.0,0.0,-1.889675969404996,0.0,0.8245755140712578,0.0,-0.1814022929568556,0.0,-0.8119835679790924,0.0,2.0690196458591528,-0.0,-0.2349056398793656,0.0,0.0,0.0,0.0,0.0,0.0,-0.0342078490950496,-0.4760592588415625,0.0,0.0,0.0,0.0,0.890911145373512,-0.0913957319621657,0.0,2.358129060995418,0.0,0.1378590324727637,0.0,0.0,0.0,0.0,0.0,-0.5782181084660459,0.0,0.0,0.0,0.6387309875019245,0.0,-0.7635300738366876,0.0,0.0,0.0,1.1643166722683038,0.0,-0.1276051103431661,0.0,-0.239017002812419,0.0,2.340235658825188
