model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,558,140,34.30531239936856,5.857073706158098,0.1373885235061052,37.84603184291294,6.151912860477864,0.1154295252789616,11.15,-47091403870202.09,-3.7028732203830943,5.668050782049177,0.0111616221834045,-0.0876669494203827,3.493721755876017,-2.088298601627087,0.6578932339054668,-37236825270124.805,-1818701455466.9216,3585480729002.617,-1818701455468.052,-1953671946267.406,-4437961663580.574,-403837608665.172,-1818701455469.652,432188911826.27527,-1818701455467.34,114604892560.9126,-1818701455467.6687,324625302905.6892,-1818701455466.2395,48910105325679.055,-1818701455466.1736,48910105325676.2,-1818701455471.04,-5716406473.076272,-1818701455468.221,130578377.86277376,-1818701455468.164,-1777373.7011984475,-1818701455467.776,16304.646940615028,-1818701455466.744,2736.4542553424835,-1818701455465.435,-10.063262939453123,-1818701455467.3364,0.015625,-1818701455467.377,-0.0009765625,-1818701455467.5,0.0,-1818701455467.8032,0.0,-1818701455469.4336,0.0,-1818701455467.2188,0.0,-1818701455468.578,0.0,0.0,0.0,-1818701455468.5725,0.0,-1818701455465.196,0.0,0.0,0.0,-1818701455466.34,0.0,-1818701455464.3848,0.0,0.0,0.0,0.0,0.0,-1818701455467.017,0.0,0.0,48910105325679.445,-1818701455465.1816,0.0,-1818701455472.6123,0.0,-1818701455468.9805,48910105325681.05,-1818701455467.6152,0.0,-1818701455468.0684,0.0,-1818701455465.9104,0.0,-1818701455465.084,0.0,0.0,0.0,-1818701455469.4907
"Random Forest (100 estimators, 20 depth)",558,140,6.001296432362091,2.449754361637528,0.8490966321445685,35.8404712296542,5.986691175403505,0.1623052376684579,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",558,140,13.92386527092339,3.731469585957172,0.6498826234249839,36.54003957541523,6.044835777373545,0.1459543159581406,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",558,140,25.839503781397923,5.083257201971775,0.3502623660948935,37.36924467571679,6.113038906772702,0.1265734109200814,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),558,140,34.3432393342142,5.860310515170182,0.1364348458690902,37.56008385846178,6.128628219957691,0.1221129510447427,11.15,9.256657573578291,-2.650785228309323,4.752865196537123,-0.6268184173651393,-0.100157420361101,3.3359594683099134,-1.1154498402776791,0.1088645842641954,0.0,0.5364191952324512,0.0,-0.5366373550056618,0.0,0.0,0.0,-2.093292293982063,0.0,0.1352832878112959,0.0,-0.1358540040335784,0.0,1.1829000383574646,0.2206942605158809,1.292285361903973,-2.56688564726919,-3.08464926261173,0.0,-0.270661729578575,0.0,-0.6483286918315408,0.0,-0.2433349827725673,0.0,0.7074637539796138,0.0,1.935506637800593,0.0,0.1389361064800542,0.0,0.1100298968343326,0.0,0.0037613346847038,0.0,-0.2699374248583668,0.0,-1.8226736814120856,0.0,0.2167282153404697,0.0,-1.0117680085456102,0.0,0.0,0.0,-1.0703056716521,0.0,2.2258005048162666,0.0,0.0,0.0,0.7232063347964829,0.0,2.907448054880237,0.0,0.0,0.0,0.0,0.0,0.4603339011078392,0.0,0.0,0.5799697491321464,2.185975234141351,0.0,-3.311431391358601,0.0,-1.3759630896216295,1.7662216376220956,-0.16829041466074,0.0,-0.5555478620317309,0.0,1.4913294422766703,0.0,2.278329140732741,0.0,0.0,0.0,-1.933060577220192
Ridge (lambda=0.1),558,140,34.30750601405777,5.857260965166037,0.1373333647836342,37.82710059675545,6.150374020883239,0.1158720028805793,11.15,9.255238495665376,-3.6502250400448406,5.572766607559675,-0.3668976122995794,-0.0907780452189108,3.488569341826435,-1.6204351563566886,0.6749598734488785,0.0,0.6093275467288253,0.0,-0.5123419694846467,0.0,0.0,0.0,-2.106536558588536,0.0,0.1861727786973321,0.0,-0.115664354585331,0.0,1.3047752389029077,0.126252785562251,1.3801113736996495,-2.7188618854428626,-3.4544558036069555,0.0,-0.6169013809687426,0.0,-0.6357809704476229,0.0,-0.2293614124024093,0.0,0.8047546479946496,0.0,2.0928404200250434,0.0,0.2058613938675738,0.0,0.1627324531669031,0.0,0.0317658769790169,0.0,-0.2549889639983479,0.0,-1.8743436301352625,0.0,0.3175565306785162,0.0,-1.0246323106236654,0.0,0.0,0.0,-1.0271303880987976,0.0,2.3363270276043786,0.0,0.0,0.0,1.1579492766199573,0.0,3.123425256302064,0.0,0.0,0.0,0.0,0.0,0.5169791452307989,0.0,0.0,0.492261068026078,2.344530904003664,0.0,-4.8254977188417145,0.0,-1.426615302124851,2.100348031864632,-0.0861114593853896,0.0,-0.5206539663107683,0.0,1.6316489581615756,0.0,2.441281855355101,0.0,0.0,0.0,-1.9370244944171224
Lasso (lambda=0.1),558,140,37.049233973735056,6.086808192619105,0.0683922638862306,37.05715808270387,6.087459082630772,0.1338677710496021,11.15,9.326950163873182,0.0,1.0872555173263327,-0.0,-0.0,2.4554872535875685,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3516877859164865,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.9023431130246653,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0366655357545887,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),558,140,39.76913516013413,6.30627744078344,0.0,42.92994318087971,6.552094564403029,-0.0033960859325623,11.15,10.768817204301076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",558,140,25.928957387624944,5.092048447101122,0.348013043702872,35.24801485499412,5.937003861797137,0.1761526449411627,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),558,140,34.47388604394951,5.871446673857263,0.1331497176104735,37.05742846576681,6.087481290793986,0.1338614514207614,11.15,9.492058186923035,-2.0182256572733377,4.189572254214879,-0.0,-0.0513642501513876,3.1379748151413085,-1.4407909551242997,-0.0,0.0,0.3102134914169078,0.0,-0.2002830867333558,0.0,0.0,0.0,-1.9674002392707408,0.0,0.0,0.0,-0.0,0.0,1.0233501185675546,-0.0,1.0805806784528025,-2.74922599662762,-2.722000885306024,0.0,-0.0,0.0,-0.3162006161014048,0.0,-0.0,0.0,0.42650386787959,0.0,1.6896523624677184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.6431748723417807,0.0,0.0,0.0,-0.6934942112551231,0.0,0.0,0.0,-0.9317811428512536,0.0,2.0990960882079976,0.0,0.0,0.0,0.0,0.0,2.745409665022282,0.0,0.0,0.0,0.0,0.0,0.1438688792956155,0.0,0.0,0.1642663699606801,1.9961516306967133,0.0,-2.058083458812121,0.0,-1.0867676796117332,0.91886498107056,-0.0,0.0,-0.1844853892520598,0.0,1.2471092298179516,0.0,2.101779122697779,0.0,0.0,0.0,-1.8165030570202605
