,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,25,1,2007-12-21,21-244,DET,,MEM,W (+27),0,6:44,1,3,0.333,0,0,,0,0,,1,0,1,2,0,0,0,1,2,2.0,6
1,26,2,2007-12-23,21-246,DET,,HOU,W (+12),0,12:10,0,4,0.0,0,0,,0,0,,1,0,1,1,0,0,1,2,0,-3.2,-12
2,27,3,2007-12-26,21-249,DET,@,NJN,W (+18),0,10:55,3,7,0.429,0,0,,1,1,1.0,0,1,1,3,2,0,1,0,7,6.7,1
3,28,4,2007-12-28,21-251,DET,,IND,W (+13),0,18:21,2,5,0.4,0,0,,6,6,1.0,2,1,3,3,3,0,3,4,10,9.5,-2
4,29,5,2007-12-29,21-252,DET,@,IND,W (+6),0,17:06,3,8,0.375,1,3,0.333,2,2,1.0,0,3,3,2,1,0,1,3,9,5.7,3
5,30,6,2007-12-31,21-254,DET,,MIL,W (+45),0,23:26,3,6,0.5,0,0,,0,0,,0,3,3,7,1,0,2,4,6,6.2,22
6,31,7,2008-01-02,21-256,DET,@,WAS,W (+13),0,22:44,1,4,0.25,0,0,,0,0,,0,1,1,3,3,0,1,3,2,2.8,3
7,32,8,2008-01-04,21-258,DET,@,TOR,W (+16),0,18:16,3,5,0.6,0,0,,2,2,1.0,0,1,1,6,2,0,2,2,8,9.4,12
8,33,9,2008-01-05,21-259,DET,,BOS,L (-7),0,12:54,2,4,0.5,0,0,,2,2,1.0,2,1,3,0,1,0,1,1,6,5.3,-6
9,34,10,2008-01-09,21-263,DET,@,DAL,L (-16),0,22:11,3,9,0.333,0,0,,4,6,0.667,0,1,1,1,3,0,0,4,10,6.5,-8
10,35,11,2008-01-10,21-264,DET,@,SAS,W (+10),0,6:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,2
11,36,12,2008-01-12,21-266,DET,@,CHA,W (+3),0,12:38,0,4,0.0,0,1,0.0,0,0,,0,1,1,0,1,0,0,2,0,-2.3,-9
12,37,13,2008-01-13,21-267,DET,@,NYK,L (-24),0,19:26,1,5,0.2,0,0,,4,4,1.0,0,3,3,1,0,0,2,1,6,2.1,-5
13,38,14,2008-01-15,21-269,DET,,TOR,W (+14),0,24:54,3,7,0.429,0,0,,2,3,0.667,0,1,1,5,0,0,2,1,8,5.3,-6
14,39,15,2008-01-18,21-272,DET,,SAC,L (-7),0,10:22,0,4,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,0,-2.9,-17
15,40,16,2008-01-19,21-273,DET,@,CHI,L (-16),0,7:57,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,2,-1.5,-5
16,41,17,2008-01-21,21-275,DET,@,ORL,L (-2),0,13:20,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,2,1,2,-1.1,-5
17,42,18,2008-01-23,21-277,DET,@,PHI,W (+8),0,11:49,0,4,0.0,0,1,0.0,0,0,,0,3,3,2,1,0,1,1,0,-0.9,-3
18,43,19,2008-01-25,21-279,DET,,ORL,W (+8),0,12:05,0,6,0.0,0,0,,0,0,,0,3,3,2,1,0,1,3,0,-3.1,-4
19,44,20,2008-01-29,21-283,DET,@,IND,W (+6),0,13:31,3,5,0.6,0,0,,1,4,0.25,0,2,2,2,0,0,0,1,7,5.1,1
20,45,21,2008-01-31,21-285,DET,,LAL,W (+1),0,16:29,4,5,0.8,0,0,,2,2,1.0,0,1,1,3,1,0,0,0,10,11.5,6
21,46,22,2008-02-03,21-288,DET,,DAL,W (+23),0,19:34,5,11,0.455,0,0,,1,2,0.5,1,3,4,2,0,0,1,3,11,5.7,11
22,47,23,2008-02-06,21-291,DET,,MIA,W (+5),0,15:29,1,4,0.25,0,0,,1,2,0.5,0,1,1,3,1,0,0,2,3,2.8,-11
