Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1996-11-01,23-074,VAN,,POR,L (-29),0,13:33,0,2,.000,0,0,,0,0,,2,1,3,0,0,1,1,0,0,0.0,-10
2,2,1996-11-03,23-076,VAN,,GSW,L (-10),0,7:43,0,1,.000,0,0,,0,0,,2,0,2,1,0,2,0,1,0,2.4,-1
3,3,1996-11-05,23-078,VAN,@,CHI,L (-23),0,23:18,4,8,.500,0,0,,0,2,.000,4,1,5,1,0,2,2,5,8,4.4,-7
4,4,1996-11-06,23-079,VAN,@,MIL,L (-16),0,16:15,3,4,.750,0,0,,0,0,,2,2,4,0,1,0,4,5,6,1.4,-7
5,5,1996-11-08,23-081,VAN,@,CLE,L (-16),1,24:12,3,5,.600,0,0,,2,2,1.000,1,2,3,1,1,0,0,3,8,7.5,-4
6,6,1996-11-10,23-083,VAN,,NYK,L (-19),1,25:01,2,10,.200,0,0,,0,0,,2,2,4,0,0,4,0,1,4,2.2,-16
7,7,1996-11-12,23-085,VAN,,LAC,L (-7),1,21:14,3,5,.600,0,0,,1,2,.500,2,4,6,1,0,2,0,2,7,8.2,+13
8,8,1996-11-14,23-087,VAN,,PHO,W (+3),1,27:08,5,10,.500,0,0,,0,0,,1,4,5,0,0,2,0,3,10,7.1,+9
9,9,1996-11-15,23-088,VAN,@,UTA,L (-8),1,25:55,3,6,.500,0,0,,1,2,.500,2,5,7,0,0,3,2,5,7,4.6,-3
10,10,1996-11-17,23-090,VAN,@,SEA,L (-10),1,30:21,9,15,.600,0,0,,0,0,,4,5,9,0,0,2,3,1,18,13.4,-9
11,11,1996-11-18,23-091,VAN,,SAC,L (-1),1,33:36,6,14,.429,0,0,,1,3,.333,3,6,9,0,0,0,1,2,13,6.9,-3
12,12,1996-11-20,23-093,VAN,,MIA,L (-19),1,29:44,4,9,.444,0,0,,2,2,1.000,1,5,6,0,0,3,2,5,10,5.6,-8
13,13,1996-11-24,23-097,VAN,,SAS,W (+5),1,10:59,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,4,2.3,-15
14,14,1996-11-26,23-099,VAN,@,ATL,L (-21),1,21:39,8,10,.800,0,0,,0,0,,2,3,5,0,0,1,0,0,16,15.2,-15
15,15,1996-11-27,23-100,VAN,@,DET,L (-9),0,14:19,3,6,.500,0,0,,0,2,.000,2,3,5,0,0,0,0,1,6,4.1,-5
16,16,1996-11-29,23-102,VAN,@,IND,L (-10),0,23:39,2,6,.333,0,0,,0,2,.000,0,4,4,0,0,3,1,1,4,1.7,-15
17,17,1996-11-30,23-103,VAN,@,PHI,L (-6),0,28:56,8,11,.727,0,0,,0,0,,1,0,1,2,0,3,1,0,16,14.7,-6
18,18,1996-12-04,23-107,VAN,,IND,L (-47),0,22:17,3,10,.300,0,0,,0,0,,0,5,5,0,0,1,0,1,6,2.0,-12
19,19,1996-12-06,23-109,VAN,@,SAS,W (+16),0,16:59,3,5,.600,0,0,,0,0,,1,1,2,1,2,2,2,2,6,6.0,+3
20,20,1996-12-07,23-110,VAN,@,DAL,L (-11),0,19:56,4,8,.500,0,0,,1,2,.500,2,2,4,0,1,1,2,3,9,5.1,0
21,21,1996-12-09,23-112,VAN,,CHH,L (-16),0,13:11,1,4,.250,0,0,,0,0,,0,4,4,1,0,1,1,3,2,0.0,0
22,22,1996-12-12,23-115,VAN,@,POR,L (-21),0,16:26,1,4,.250,0,0,,0,0,,1,1,2,0,0,2,1,4,2,-0.6,-6
23,23,1996-12-13,23-116,VAN,,ORL,W (+2),0,3:13,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,3,2,0.4,0
24,24,1996-12-15,23-118,VAN,@,PHO,L (-19),0,5:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,+1
25,25,1996-12-17,23-120,VAN,,HOU,W (+1),0,14:10,3,5,.600,0,0,,2,2,1.000,1,1,2,0,0,1,0,4,8,5.8,+4
26,26,1996-12-19,23-122,VAN,,DAL,L (-7),0,16:20,4,4,1.000,0,0,,0,0,,1,2,3,1,0,4,1,1,8,10.2,-19
27,27,1996-12-20,23-123,VAN,@,DEN,L (-15),0,16:08,2,4,.500,0,0,,0,0,,1,0,1,1,0,1,2,2,4,1.3,-10
28,28,1996-12-22,23-125,VAN,,WSB,W (+4),0,17:21,0,0,,0,0,,0,0,,0,4,4,1,1,1,0,3,0,2.4,+12
29,29,1996-12-26,23-129,VAN,@,SAC,L (-23),0,16:22,7,9,.778,0,0,,2,3,.667,1,6,7,0,1,1,1,2,16,14.5,+1
30,30,1996-12-28,23-131,VAN,,PHO,L (-5),0,8:22,0,0,,0,0,,0,0,,0,1,1,0,0,2,4,2,0,-3.1,-11
31,31,1996-12-30,23-133,VAN,,SAS,L (-7),0,10:37,2,5,.400,0,0,,2,3,.667,2,2,4,0,0,3,0,0,6,7.0,-4
32,32,1997-01-03,23-137,VAN,,SEA,L (-14),0,21:27,3,7,.429,0,0,,0,0,,0,4,4,0,0,4,0,3,6,5.1,-1
33,33,1997-01-05,23-139,VAN,,LAL,L (-13),0,19:30,5,10,.500,0,0,,1,1,1.000,2,4,6,0,0,4,0,2,11,10.6,-7
34,34,1997-01-08,23-142,VAN,@,GSW,W (+14),0,22:21,4,7,.571,0,0,,0,0,,2,8,10,1,2,1,2,5,8,7.9,+22
35,35,1997-01-09,23-143,VAN,,GSW,L (-16),0,16:52,2,3,.667,0,0,,0,0,,1,4,5,0,0,1,0,2,4,4.5,-11
36,36,1997-01-11,23-145,VAN,,SAC,L (-8),0,17:07,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,1,0,3,3,2.5,+1
37,37,1997-01-14,23-148,VAN,@,LAL,L (-10),0,14:50,3,7,.429,0,0,,0,0,,1,4,5,0,0,1,1,4,6,2.3,-11
