Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1981-10-31,8649,ATL,H,PHI,L (-2),1,39:00,10,19.0,0.526,0,0.0,,5,5,1.0,,,9.0,1.0,,0.0,,3.0,25,,
2,2,1981-11-03,8652,ATL,A,CHI,L (-8),1,36:00,9,16.0,0.563,0,0.0,,3,4,0.75,2.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,21,14.3,
3,3,1981-11-04,8653,ATL,A,NJN,W (+9),1,31:00,6,12.0,0.5,0,,,0,0,,,,6.0,0.0,,0.0,,3.0,12,,
4,4,1981-11-06,8655,ATL,A,PHI,W (+7),1,19:00,0,3.0,0.0,0,0.0,,4,6,0.667,,,1.0,2.0,,0.0,,4.0,4,,
5,5,1981-11-10,8659,ATL,H,MIL,W (+11),1,31:00,6,12.0,0.5,0,0.0,,1,1,1.0,,,10.0,0.0,0.0,0.0,3.0,5.0,13,,
6,6,1981-11-12,8661,ATL,H,WSB,L (-8),1,40:00,7,20.0,0.35,0,,,1,1,1.0,,,10.0,1.0,,,,3.0,15,,
7,7,1981-11-14,8663,ATL,H,DET,L (-13),1,27:00,8,10.0,0.8,0,,,0,0,,,,4.0,4.0,,,,6.0,16,,
8,8,1981-11-18,8667,ATL,H,PHO,W (+5),1,29:00,3,10.0,0.3,0,0.0,,5,6,0.833,3.0,2.0,5.0,0.0,0.0,1.0,2.0,3.0,11,5.0,
9,9,1981-11-19,8668,ATL,A,NYK,W (+5),1,20:00,4,11.0,0.364,0,0.0,,2,4,0.5,,,2.0,0.0,,0.0,,5.0,10,,
10,10,1981-11-21,8670,ATL,H,IND,W (+7),1,14:00,1,1.0,1.0,0,0.0,,0,0,,,,2.0,0.0,0.0,,,6.0,2,,
11,11,1981-11-24,8673,ATL,H,CLE,W (+2),1,28:00,3,6.0,0.5,0,0.0,,2,2,1.0,4.0,3.0,7.0,1.0,0.0,1.0,2.0,3.0,8,6.9,
12,12,1981-11-27,8676,ATL,A,DET,W (+2),1,13:00,4,5.0,0.8,0,0.0,,0,0,,,,2.0,2.0,,0.0,,3.0,8,,
13,13,1981-11-28,8677,ATL,H,BOS,L (-8),1,17:00,3,8.0,0.375,0,0.0,,0,0,,,,6.0,1.0,,0.0,,2.0,6,,
14,14,1981-12-01,8680,ATL,H,PHI,L (-9),1,31:00,4,12.0,0.333,0,0.0,,5,6,0.833,,,8.0,1.0,,1.0,,4.0,13,,
15,15,1981-12-04,8683,ATL,A,MIL,L (-17),1,23:00,0,10.0,0.0,0,0.0,,3,4,0.75,,,1.0,3.0,1.0,0.0,3.0,3.0,3,,
16,16,1981-12-05,8684,ATL,H,SEA,L (-7),0,19:00,0,4.0,0.0,0,0.0,,0,0,,1.0,0.0,1.0,0.0,,0.0,0.0,1.0,0,,
17,17,1981-12-08,8687,ATL,H,NJN,L (-10),1,20:00,1,5.0,0.2,0,0.0,,0,0,,,,3.0,1.0,,0.0,,4.0,2,,
18,18,1981-12-09,8688,ATL,A,CLE,L (-4),0,13:00,0,3.0,0.0,0,0.0,,1,2,0.5,1.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,1,-6.8,
19,19,1981-12-11,8690,ATL,A,BOS,L (-8),1,12:00,6,10.0,0.6,0,0.0,,0,0,,,,2.0,1.0,,0.0,,6.0,12,,
20,20,1981-12-12,8691,ATL,H,BOS,W (+11),1,28:00,6,12.0,0.5,0,0.0,,2,2,1.0,,,3.0,1.0,,,,0.0,14,,
21,21,1981-12-15,8694,ATL,H,NYK,W (+13),1,26:00,3,9.0,0.333,0,,,2,2,1.0,,,9.0,1.0,,1.0,,1.0,8,,
22,22,1981-12-17,8696,ATL,A,DEN,L (-35),1,14:00,0,1.0,0.0,0,0.0,,2,2,1.0,1.0,3.0,4.0,3.0,0.0,1.0,3.0,4.0,2,1.1,
23,23,1981-12-19,8698,ATL,A,GSW,L (-17),1,16:00,3,7.0,0.429,0,,,4,5,0.8,,,2.0,0.0,,0.0,,4.0,10,,
24,24,1981-12-20,8699,ATL,A,LAL,L (-18),1,31:00,5,12.0,0.417,0,1.0,0.0,5,6,0.833,,,10.0,2.0,,0.0,,3.0,15,,
25,25,1981-12-22,8701,ATL,A,IND,L (-4),1,27:00,6,11.0,0.545,0,0.0,,0,0,,,,5.0,1.0,0.0,0.0,,3.0,12,,
26,26,1981-12-26,8705,ATL,A,SAS,W (+8),1,27:00,7,12.0,0.583,0,0.0,,4,5,0.8,,,2.0,2.0,0.0,0.0,3.0,5.0,18,,
27,27,1981-12-29,8708,ATL,A,HOU,W (+9),1,20:00,1,5.0,0.2,0,,,0,0,,,,4.0,2.0,1.0,0.0,,1.0,2,,
28,28,1981-12-30,8709,ATL,H,SDC,L (-3),1,10:00,0,2.0,0.0,0,0.0,,0,0,,,,1.0,2.0,,0.0,,0.0,0,,
