model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,126,32,20.596619019556915,4.538349812383012,0.3434160805700865,20.418654386536325,4.51870051967779,0.1644540404486414,6.0,5.711057119663553,-3.558069858967336,-3.5580698589673343,0.9362949856817256,-0.1102611056379392,4.114662126823488,-1.7643065615462286,5.090850020612722,2.664535259100376e-15,0.9898114960938692,-6.661338147750939e-16,0.9280271792183868,3.3306690738754696e-16,-1.740241423255951,0.0,8.881784197001252e-16,4.440892098500626e-16,2.930232074533796,-4.440892098500626e-16,0.0688729758683538,2.8796409701215003e-16,4.996003610813204e-16,-8.881784197001252e-16,-0.0631560811751366,0.0,-3.3306690738754696e-16,-8.881784197001252e-16,-0.6756847452442534,0.0,0.0,0.0,0.0,0.0,-0.4357191872219236,0.0,0.0,0.0,1.5334830679559253,0.0,-3.51111877557434,0.0,-0.0016110221367395,0.0,-1.751726026070603,0.0,0.0,0.6080039511121242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.660558620465457,0.0,-3.8301449737402,0.0,0.0,-0.6080039511121229,0.6657374868295598,0.0,0.0,0.0,3.0616440309939588,0.0,0.0,0.0,0.0,0.0,-0.350920138348224,0.0,0.0,0.0,0.0,0.0,-1.185511915781607,0.0,0.0,0.0,1.5004765432020009,0.0,0.5419166398605479,0.0,-1.5043702829872434,0.0,-7.83055554348563
"Random Forest (100 estimators, 20 depth)",126,32,3.968386387377171,1.9920809188828577,0.8734948349744991,28.574548201398443,5.345516644946346,-0.1692909749932867,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",126,32,5.567335987644957,2.359520287610377,0.8225231393521318,26.64554093597227,5.161931899586847,-0.0903546163057706,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",126,32,12.884523195771294,3.5895018032829142,0.5892641053450363,23.00026832124902,4.795859497655141,0.0588125495141065,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),126,32,21.02757176639828,4.5855830345113455,0.3296780664163307,20.118042264868816,4.4853140653547126,0.1767553037393835,6.0,6.184594476286556,-1.297596991344935,-1.297596991344938,-0.0176248112704473,-0.0962991314120179,4.069858805283138,-0.7019116553118029,0.1653302725159574,0.0,0.6710804839473434,0.0,0.6635179166770179,0.0,-1.7236905962227376,0.0,0.0,0.0,2.042930086383289,0.0,0.0007735192309412,0.0,0.0,0.0,-0.1145315946847034,0.0,0.0,0.0,-0.574015988455359,0.0,0.0,0.0,0.0,0.0,-0.2403641017833765,0.0,0.0,0.0,1.4075171743263806,0.0,-3.034025920259731,0.0,-0.0734329389451558,0.0,-1.4567859064832538,0.0,0.0,0.5034156282079639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82699207363731,0.0,-3.1230085538804686,0.0,0.0,-0.5034156282079776,0.5678773427423187,0.0,0.0,0.0,2.2749391556507863,0.0,0.0,0.0,0.0,0.0,-0.2426802694353072,0.0,0.0,0.0,0.0,0.0,-1.0857297997004107,0.0,0.0,0.0,1.292126645960366,0.0,0.2614377563729435,0.0,-1.3676463099221785,0.0,-3.973280175156096
Ridge (lambda=0.1),126,32,20.614017974124256,4.5402662889002725,0.3428614325585385,20.33048689048709,4.508934119111422,0.1680619175248248,6.0,5.869865003751048,-2.6087160143269386,-2.6087160143270203,0.61610536359267,-0.1058821599512712,4.169459600308799,-1.386039519729085,3.0182731965182104,0.0,0.9247370392883166,0.0,0.865643382255992,0.0,-1.7711850264196576,0.0,0.0,0.0,2.76270386821864,0.0,0.0674982677635983,0.0,0.0,0.0,-0.0618381329912994,0.0,0.0,0.0,-0.6282118577907505,0.0,0.0,0.0,0.0,0.0,-0.359187426013566,0.0,0.0,0.0,1.5279625616559176,0.0,-3.447090038364601,0.0,-0.0191605722323118,0.0,-1.6659022349484305,0.0,0.0,0.568681004823377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.250789337881764,0.0,-3.817434727643112,0.0,0.0,-0.5686810048234756,0.6539564677074514,0.0,0.0,0.0,2.943350028823577,0.0,0.0,0.0,0.0,0.0,-0.3106820576487282,0.0,0.0,0.0,0.0,0.0,-1.1494694747138714,0.0,0.0,0.0,1.4918540785937775,0.0,0.456595597278024,0.0,-1.5128530117531511,0.0,-7.2020760689483065
Lasso (lambda=0.1),126,32,23.71191690192358,4.869488361411657,0.2441058737903323,20.04989349715769,4.477710742908444,0.1795440001163093,6.0,5.852109292984665,-1.3111417637758291,-1.649431051786057e-16,-0.0,-0.0,3.809856834150714,-0.2990143236644105,-0.0,0.0,0.0,0.0,0.0,0.0,-0.500761871407238,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6862534333561622,0.0,-1.225241292056601,0.0,-0.0,0.0,-0.1117577929379432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.421381603447896,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Lasso (lambda=1.0),126,32,31.36936255983876,5.600835880459162,0.0,24.60781997984379,4.960626974470443,-0.0069696155434799,6.0,6.412698412698413,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",126,32,12.467327282505725,3.530910262595996,0.6025635758863885,24.20516785685081,4.919874780606801,0.0095071976736241,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),126,32,20.71324951578857,4.551181112171715,0.3396981058739422,20.17318143716118,4.491456493962864,0.1744989693233276,6.0,5.799940125193092,-2.363927367226702,-9.48422854776983e-16,-0.0,-0.0859405843878534,4.289172047113267,-0.7433548872983847,-0.0,0.0,0.5654615781103829,0.0,0.6958494466578142,0.0,-1.7256837656252373,0.0,0.0,0.0,2.391887257861673,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3738065044197516,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.4717228623690888,0.0,-3.274030305032994,0.0,-0.0,0.0,-1.4416540964258069,0.0,0.0,0.7221784346031073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09913491275656,0.0,-3.666902306729,0.0,0.0,-0.0,0.5029044567307396,0.0,0.0,0.0,2.6345278316723726,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.932721060538054,0.0,0.0,0.0,1.3993178062430889,0.0,0.0638498491931923,0.0,-1.29994175982549,0.0,-6.763314817833896
