Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,23-207,CHI,@,TOR,L (-17),0,5:19,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-9
46,2,2018-01-20,23-300,CHI,@,ATL,W (+16),0,22:26,2,2,1.000,2,2,1.000,2,2,1.000,0,0,0,4,1,0,0,3,8,10.0,+9
47,3,2018-01-22,23-302,CHI,@,NOP,L (-4),0,4:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
48,4,2018-01-24,23-304,CHI,@,PHI,L (-14),0,17:53,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,0.0,+15
49,5,2018-01-26,23-306,CHI,,LAL,L (-5),0,3:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5
50,6,2018-01-28,23-308,CHI,,MIL,L (-14),0,5:42,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-8
51,7,2018-01-31,23-311,CHI,@,POR,L (-16),0,16:53,1,1,1.000,0,0,,0,0,,0,1,1,1,2,0,0,2,2,3.9,+9
52,8,2018-02-03,23-314,CHI,@,LAC,L (-10),0,6:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,2.0,-9
53,9,2018-02-05,23-316,CHI,@,SAC,L (-6),0,6:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
54,10,2018-02-09,23-320,CHI,,MIN,W (+1),0,8:35,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,1,3,2.6,-12
55,11,2018-02-10,23-321,CHI,,WAS,L (-11),0,9:25,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,1,1,0,0.3,+2
56,12,2018-02-12,23-323,CHI,,ORL,W (+4),0,6:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3
57,13,2018-02-14,23-325,CHI,,TOR,L (-24),0,4:56,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1
72,14,2018-03-23,23-362,CHI,,MIL,L (-13),0,10:20,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-8
73,15,2018-03-24,23-363,CHI,@,DET,L (-22),0,10:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7,-3
74,16,2018-03-27,24-001,CHI,@,HOU,L (-32),0,7:07,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,0,2,2.0,+4
75,17,2018-03-29,24-003,CHI,@,MIA,L (-11),0,6:31,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,3.4,+5
76,18,2018-03-30,24-004,CHI,@,ORL,W (+8),0,15:12,3,4,.750,2,3,.667,0,0,,0,0,0,1,2,0,1,0,8,8.1,+10
77,19,2018-04-01,24-006,CHI,,WAS,W (+19),0,14:50,0,2,.000,0,2,.000,0,0,,0,0,0,2,1,0,1,0,0,0.0,+7
78,20,2018-04-03,24-008,CHI,,CHO,W (+6),0,23:55,0,2,.000,0,0,,1,2,.500,1,3,4,3,2,0,2,0,1,2.9,-4
79,21,2018-04-06,24-011,CHI,@,BOS,L (-7),0,25:37,2,4,.500,1,3,.333,0,0,,0,1,1,6,1,0,2,3,5,5.3,+7
80,22,2018-04-07,24-012,CHI,,BRK,L (-28),0,22:12,0,2,.000,0,2,.000,0,0,,0,5,5,0,0,0,2,3,0,-3.1,-17
81,23,2018-04-09,24-014,CHI,@,BRK,L (-9),0,23:58,4,5,.800,1,2,.500,0,0,,0,2,2,4,0,0,0,2,9,9.7,+2
82,24,2018-04-11,24-016,CHI,,DET,L (-32),0,23:54,1,5,.200,1,5,.200,0,0,,0,3,3,2,1,0,2,0,3,1.2,-17
1,1,2018-10-18,24-206,CHI,@,PHI,L (-19),0,28:16,3,4,.750,2,3,.667,0,0,,0,4,4,8,0,0,0,0,8,13.2,-5
2,2,2018-10-20,24-208,CHI,,DET,L (-2),0,19:39,1,3,.333,1,2,.500,0,0,,0,1,1,7,0,0,1,0,3,5.5,-4
4,3,2018-10-24,24-212,CHI,,CHO,W (+2),0,17:15,2,3,.667,1,2,.500,5,5,1.000,0,1,1,2,0,0,2,3,10,7.2,+2
