model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,358,90,15.562225853264664,3.9448987126749735,0.2373358051963915,14.744110785590278,3.839806086977607,0.0549020902680232,3.7222222222222223,-74088888565277.0,1.311286435203507,4.848456873007966,3.6320180805223776,1.0646885142759943,2.491758657366381,-0.2386222583189678,-5.149214448076032,159014954985376.47,11799337049727.145,-10745145120419.229,11799337049725.188,-1079084456006.4292,-1490855382298.8308,5981999520035.161,11799337049725.451,4288560010312.231,11799337049728.123,1845092578134.2512,11799337049730.057,62289551515550.66,11799337049728.1,62289551515554.65,11799337049722.889,42789066398.373085,11799337049724.158,62289551515551.85,11799337049722.418,-1217358324.8656704,11799337049724.96,92763102.89610578,26013261.31875548,-542866.5837589824,11799337049728.596,1340.7576816678047,11799337049727.844,6877.717990875244,11799337049725.756,18.471206665039062,11799337049724.96,1.166015625,11799337049725.39,0.0,11799337049724.72,0.0,11799337049726.86,0.0,11799337049722.943,0.0,11799337049724.896,0.0,11799337049724.75,0.0,0.0,0.0,11799337049726.031,0.0,0.0,0.0,11799337049726.22,0.0,11799337049727.41,0.0,11799337049725.752,0.0,11799337049724.48,0.0,0.0,0.0,11799337049721.672,0.0,11799337049726.09,0.0,11799337049724.07,0.0,11799337049725.312,0.0,11799337049726.148,0.0,0.0,0.0,11799337049728.172,0.0,11799337049724.324,0.0,0.0,62289551515552.16,11799337049725.074
"Random Forest (100 estimators, 20 depth)",358,90,2.810751359087805,1.676529558071615,0.8622523897105536,12.905376395769034,3.592405377427363,0.1727650155839895,3.7222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",358,90,5.961025629983884,2.4415211713159244,0.7078656449815235,14.322249415443048,3.784474787264812,0.081943415778984,3.7222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",358,90,12.071357121126931,3.474385862440574,0.4084141982144702,12.94134842068503,3.597408570163393,0.1704592077905374,3.7222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),358,90,15.628713802664652,3.9533168103081056,0.234077403803724,14.567699543097612,3.816765586605708,0.066210055797961,3.7222222222222223,1.0311346497155292,1.2996010420676498,3.814232470976864,2.252197594584258,1.0531325566205414,2.332851147698648,1.0813231142663904,-4.271559721194923,0.0,1.3316819898890735,0.0,-0.5183906310615499,0.0,0.0,0.0,-0.1751751910024064,0.0,2.255606659673765,0.0,3.868812193869322,-1.4980048415612468,2.2839876576821845,2.2377281941221328,-2.473407070375377,0.0,-1.3615120483416383,-0.5551579334247583,-2.7042343197810315,0.0,-0.6658192005534239,0.0,0.0,0.0,2.6725398300080148,0.0,1.8956347327871328,0.0,0.0673295692426017,0.0,-0.7198067562434091,0.0,-0.2379578833926663,0.0,-0.8584776602233518,0.0,1.0705373937714389,0.0,-2.4095186320161543,0.0,-0.6334480552322355,0.0,-0.981161564225994,0.0,0.0,0.0,0.3190935184585422,0.0,0.0,0.0,0.4637222480345606,0.0,1.585288400438631,0.0,-0.1219766797430665,0.0,-1.2210306078377362,0.0,0.0,0.0,-2.021462688635588,0.0,0.3419345580410484,0.0,-1.3368591306945463,0.0,-0.2856134757768414,0.0,0.3463631384833339,0.0,0.0,0.0,2.1628580289724963,0.0,-1.3088532502018448,0.0,0.0,-0.1845654191370046,-0.6306850740132228
Ridge (lambda=0.1),358,90,15.56448869485084,3.945185508293728,0.2372249092183636,14.718238030012152,3.836435589191112,0.0565605346171929,3.7222222222222223,0.9600344625447672,1.3257548969606725,4.728250666010547,3.182207254442062,1.0615227408600991,2.448971237564746,0.2683295230881015,-5.113790394587039,0.0,1.4765926864154095,0.0,-0.431407680224813,0.0,0.0,0.0,-0.1741342374179452,0.0,2.456966016228757,0.0,4.376088475132935,-1.6579351915784348,2.4409157531312395,2.321253707873196,-2.69893424354662,0.0,-1.4373007896412235,-0.5123301014509306,-3.1782194167327726,0.0,-0.6757175883007659,0.0,0.0,0.0,2.9075754377997725,0.0,2.1875124452677577,0.0,0.1007823928998369,0.0,-0.7004914996857434,0.0,-0.2354826427995374,0.0,-0.9338477610572158,0.0,1.207938860410904,0.0,-2.664004071247955,0.0,-0.716194424575085,0.0,-0.9154330023292834,0.0,0.0,0.0,0.4035571184202498,0.0,0.0,0.0,0.575869692385058,0.0,1.7508009973607128,0.0,0.0525389970152575,0.0,-1.1927440392191857,0.0,0.0,0.0,-3.617936672782016,0.0,0.4403161091337749,0.0,-1.5243350715952788,0.0,-0.2837620330604256,0.0,0.4693271967223139,0.0,0.0,0.0,2.439823597184936,0.0,-1.3183294693013292,0.0,0.0,-0.150988414852035,-0.5883311319908411
Lasso (lambda=0.1),358,90,19.33779804053326,4.397476326318683,0.0523048366654961,14.9857955150519,3.871149120745919,0.0394100924154601,3.7222222222222223,3.0879490932487066,0.0,0.956428276870785,0.0,0.6924025762534892,0.1075247700929534,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.1832822377151274,0.9078269535428308,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.3526818201158866,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
Lasso (lambda=1.0),358,90,20.405082550482195,4.517198529009124,0.0,15.93315456931917,3.991635575715695,-0.0213156492025898,3.7222222222222223,4.298882681564246,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",358,90,12.08976877671504,3.4770344802309685,0.4075118908828259,12.32467399610297,3.5106515059320498,0.2099880554866138,3.7222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),358,90,15.743759218355908,3.967840624112303,0.228439327338871,14.344136465428852,3.787365372581427,0.0805404552686765,3.7222222222222223,1.14486531851077,0.0,5.515053613747056,2.318905542086327,1.0406086213898658,2.1460843606898803,0.0,-4.194786626869362,0.0,1.5544312037978607,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.465069256003544,0.0,4.252437840221809,-0.0571067586844865,2.5738138441523724,2.014471352343572,-2.0151643892798767,0.0,-0.867734539998429,-0.2343076596634316,-2.2546807010997214,0.0,-0.1054012603245968,0.0,0.0,0.0,2.949184118929617,0.0,1.9745728345167115,0.0,0.1568039171672744,0.0,-0.1705536766697349,0.0,0.0,0.0,-0.232829336288316,0.0,1.2079279912467058,0.0,-1.878993543082689,0.0,-0.0,0.0,-0.0734798084802205,0.0,0.0,0.0,0.4620604813448521,0.0,0.0,0.0,0.3678718066457532,0.0,1.752136482705065,0.0,0.0,0.0,-0.8323576289382583,0.0,0.0,0.0,-0.1223118621079925,0.0,0.4729534107757099,0.0,-0.6641946614580923,0.0,0.0,0.0,0.3687223908123953,0.0,0.0,0.0,2.4373031719835034,0.0,-0.8199090623236786,0.0,0.0,0.095114884381507,-0.0
