model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,184,46,5.840738778987881,2.41676204434526,0.3348557759080586,16.09740830886054,4.012157562815865,-0.1169005469898318,3.0217391304347827,9.131285418973368,3.5508426909501063,1.8553635967886093,-10.537158702215862,0.3828393372999459,0.4216063478564349,-2.4509565414398544,-2.0722252732102606,-8.881784197001252e-14,0.2459207896212589,-2.3092638912203256e-14,-0.7280596554836709,-3.8635761256955454e-14,8.493206138382448e-15,2.9753977059954195e-14,0.0077087383579388,-6.661338147750939e-15,-0.0723031814393495,2.4424906541753444e-15,-0.4256765458232761,-1.1102230246251563e-15,-0.0221900481651144,1.3322676295501878e-15,0.0249356271504765,6.661338147750939e-16,2.182447720588861,-2.220446049250313e-16,-1.169894701955209,-6.513097817224218,2.696508226877133,8.881784197001252e-16,0.0,-4.440892098500626e-16,-1.128326219733487,-1.1102230246251563e-16,-2.0340311636121218,2.220446049250313e-16,-1.263686985240063,4.090991494603244,-0.5333237268117414,0.0,-0.5725232255137318,0.0,0.8972187704958954,4.440892098500626e-16,-0.2428731545083667,0.0,-0.6092436600357007,0.0,0.2546925614498809,0.0,0.0,0.0,2.382921442527121,0.0,1.9825041968885309,0.0,0.0,3.0975247415422205,2.293653481606742,0.0,0.5781226190926966,0.0,1.0047682934675843,0.0,-0.9422685429629224,0.0,0.0,0.0,-3.395953999378616,0.5929921369026181,-2.230099360104279,0.0,4.469862795007924,-2.549616531742159,0.0094983504891597,0.0,-1.8694929855852385,0.0,0.0,0.0,-0.8165315169892807,1.2812059759183805,-0.9672649493196122,0.0,0.0,0.0,-0.0070199909593273
"Random Forest (100 estimators, 20 depth)",184,46,1.3357708246867006,1.155755521157784,0.847882214498754,12.100104822637112,3.4785204933472955,0.1604478537331498,3.0217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",184,46,1.918769176398064,1.38519643964243,0.7814902731760277,12.132785215981825,3.483214781775856,0.1581803614448129,3.0217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",184,46,4.213383297572259,2.052652746465476,0.5201792666455662,11.763340153547915,3.4297726095978893,0.1838138910414993,3.0217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),184,46,6.016409673388679,2.4528370662130574,0.3148503476269459,14.946517100242888,3.866072567896636,-0.0370472565863511,3.0217391304347827,2.9350749744418523,1.4547270611926633,2.039168417815988,-0.9750315102845388,0.4290678411750256,1.0583487579048625,-1.3023625034775284,-0.732318263717444,0.0,0.2878357577521738,0.0,-0.6647893809659547,0.0,0.0,0.0,-0.1063955533856129,0.0,0.0298342310350048,0.0,-0.350102639432173,0.0,-0.0777741576545337,0.0,0.0824706555433306,0.0,2.015535281586599,0.0,-1.1411858020107468,-1.229249070219217,2.396377368827812,0.0,0.0,0.0,-1.0287618747800138,0.0,-1.6662181544011174,0.0,-0.7999955942799974,-0.1973610476995803,-0.5243518088664415,0.0,-0.5956798043230956,0.0,0.6009535836990133,0.0,-0.1492823639241415,0.0,-0.601311243459144,0.0,0.3703110687433631,0.0,0.0,0.0,0.9688256879134318,0.0,1.4502438584617032,0.0,0.0,0.4851099809196285,1.847819089896696,0.0,0.7329222373978754,0.0,0.8170263770628371,0.0,-0.6637182743553338,0.0,0.0,0.0,-2.071161274508744,-0.68431935907569,-1.833894791690189,0.0,3.4591915450178985,0.2972514021761699,-0.0167018446638701,0.0,-1.3335888897647985,0.0,0.0,0.0,-0.607073825374829,1.3285680938987312,-0.8955413389552782,0.0,0.0,0.0,0.0681818738583527
Ridge (lambda=0.1),184,46,5.863328960275895,2.42143118016513,0.3322832026132268,15.679168747566113,3.959693011783377,-0.0878814660409184,3.0217391304347827,5.791268299656134,2.698705663296838,2.236946995107488,-3.472079606170234,0.4078944812982187,0.7307904035511693,-3.8532423338823234,-1.5712730788050848,0.0,0.2424181734531993,0.0,-0.7309345034548842,0.0,0.0,0.0,-0.1041065526716085,0.0,-0.0325556229945005,0.0,-0.4364401294321335,0.0,-0.0564934484855418,0.0,0.0692380242671173,0.0,2.204560348776807,0.0,-1.196967854020275,-3.5636346232364096,2.723546378497366,0.0,0.0,0.0,-1.1055855146897688,0.0,-2.046411190768046,0.0,-1.1491357918523444,1.7129607350646734,-0.5208016900948716,0.0,-0.5885304727024979,0.0,0.778557117687577,0.0,-0.1717611880944131,0.0,-0.6399009623979244,0.0,0.3228827258197533,0.0,0.0,0.0,1.9771139795419523,0.0,1.932796042195939,0.0,0.0,1.612257172050042,2.23207915974372,0.0,0.6433808794479992,0.0,1.0345130483849645,0.0,-0.8532426359101871,0.0,0.0,0.0,-3.192825310272561,-0.1343033241603752,-2.236529933908741,0.0,4.417840761406996,-1.013807260796459,-0.0437863606639778,0.0,-1.746704064932116,0.0,0.0,0.0,-0.7452978413822564,1.3865273010792176,-1.0008897944252155,0.0,0.0,0.0,0.0199742239300332
Lasso (lambda=0.1),184,46,8.367194868460608,2.8926103900215474,0.0471425706231106,14.797117202075494,3.846702120268152,-0.0266813129026377,3.0217391304347827,2.451986007189239,0.0,0.5694979084977698,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.2094891286944884,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.2497617060088701,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0740086020171805,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.576094641279043,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),184,46,8.78116138941399,2.963302446496812,0.0,14.508536153119088,3.809007239835478,-0.0066584418139485,3.0217391304347827,2.7119565217391304,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",184,46,4.097974703494056,2.024345500030579,0.5333220149632696,11.822912215514917,3.438446192034262,0.1796805506105662,3.0217391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),184,46,6.082711924677366,2.4663154552241218,0.3072998371251554,14.106217765458712,3.7558245120690494,0.0212559664324151,3.0217391304347827,2.780643203792255,1.1100727081312145,2.3540126298890574,-0.0,0.3733239743537738,1.1021573052168427,-2.1876516752275226,-0.3289829306442083,0.0,0.3008208108229158,0.0,-0.2653947840733162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.224840204746674,0.0,-0.8634303938661667,-1.431714656146667,2.764042649190651,0.0,0.0,0.0,-0.7440679272767372,0.0,-1.39488975811447,0.0,-0.2058758994594121,-0.3704185473599225,-0.1096073106094711,0.0,-0.2147444603821049,0.0,0.5187925698251957,0.0,0.0,0.0,-0.2097286711458878,0.0,0.2013101338869876,0.0,0.0,0.0,0.2339707621798162,0.0,1.4558646812486178,0.0,0.0,0.1634590231006024,2.0619458099386665,0.0,0.7474545120365882,0.0,0.5143418437068032,0.0,-0.2134455445168455,0.0,0.0,0.0,-1.8310338675779108,-0.8149891135115319,-1.5838200929194397,0.0,4.320169879098311,0.0003342589043179,0.0,0.0,-0.9231590959012308,0.0,0.0,0.0,-0.2066431742980558,0.9749588718372374,-0.5823732409108192,0.0,0.0,0.0,0.0
