model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,109,28,8.53487348333421,2.92145057862258,0.4916284887875942,24.480947357484123,4.947822486456453,-0.1764059287935984,5.107142857142857,15.386316592062151,20.48862626490349,-6.883649846422994,-8.071116287566104,0.9489031564717418,2.788032273848748,-2.099319795280908,-18.029118924787493,-3.3750779948604765e-14,-3.4957760254792376,-1.6653345369377348e-15,2.262919597882356,1.9095836023552686e-14,-1.7763568394002505e-15,1.7763568394002505e-15,-0.3763886308715545,5.413996382097883,0.3379580658217285,2.963897660584558,-0.1008290655399475,4.440892098500626e-16,-0.4557166606053617,-4.440892098500626e-16,-1.3918899042431152,-5.551115123125783e-17,0.5831538559112961,-8.377894042682478,-4.440892098500626e-16,-6.661338147750939e-16,0.1553903019378235,8.881784197001252e-16,0.0,-4.440892098500626e-16,1.1437082034011734,-2.220446049250313e-16,0.7986033653120164,2.220446049250313e-16,0.5640784015497968,0.0,0.1054609671648465,0.0,-1.2564715613697723,0.0,-0.7790652803386582,0.0,-0.5158678947333184,0.0,0.2706688862967477,0.0,0.4517299865422647,0.0,0.0,0.0,-4.419468635045796,0.0,-1.5163145148145514,0.0,0.0,0.0,0.9513940916822948,0.0,0.4649010552925502,0.0,0.0,0.0,-1.7555671803471424,0.0,0.0,0.0,0.0,0.0,1.3716511418313853,0.0,5.099609580475683,0.0,4.820986200335733,0.0,-1.2258732979119027,0.0,0.0,0.0,0.2467377212513601,0.0,-1.0481299549658063,0.0,0.0,0.0,-1.2915928164231394
"Random Forest (100 estimators, 20 depth)",109,28,2.31017247706422,1.5199251550863353,0.8623968034652523,17.603231746031746,4.195620543618279,0.1540953914257496,5.107142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",109,28,2.1273355258851065,1.4585388324913076,0.8732873102030374,16.571047280148743,4.070755124070809,0.2036959198506516,5.107142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",109,28,4.587422425428442,2.1418268896968407,0.726754605614414,15.035198882179174,3.877524839659854,0.2774994836881105,5.107142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),109,28,9.394668647276184,3.065072372273807,0.4404156187105155,22.99419494586936,4.795226266389247,-0.104961620445086,5.107142857142857,7.246410339283712,0.8180941085694379,-2.506984742478206,-3.0692814911684314,0.8686933746106303,3.361995316230272,-2.3216995561921507,-0.708518499842632,0.0,-2.5989440087454008,0.0,1.6029710149598742,0.0,0.0,0.0,-0.0812028319582197,2.058755962165589,-0.9082608179288096,0.4927867225627509,-0.2201281211886608,0.0,-0.0814161241191382,0.0,-1.147318451319714,0.0,0.1811293386093073,-2.55154268472832,0.0,0.0,-0.2292268128574737,0.0,0.0,0.0,1.0835471379816826,0.0,1.0249286031377856,0.0,0.4606545562415067,0.0,0.4251189730475743,0.0,-1.2139380825079902,0.0,-0.1192433858289999,0.0,0.1802004767530669,0.0,-0.278827635665074,0.0,0.1890724099287282,0.0,0.0,0.0,-2.0120781605240263,0.0,-0.8140383015568172,0.0,0.0,0.0,0.5577740250454649,0.0,0.2082438592505355,0.0,0.0,0.0,-0.8811958102316428,0.0,0.0,0.0,0.0,0.0,1.181786176068201,0.0,2.9344524512958308,0.0,3.7013461773364056,0.0,-1.250325598670637,0.0,0.0,0.0,0.5824466011787588,0.0,-1.71382379851803,0.0,0.0,0.0,-0.7637038592141717
Ridge (lambda=0.1),109,28,8.7407446147732,2.956475031988804,0.4793659733081308,24.509568260619748,4.950713914236991,-0.1777812759010659,5.107142857142857,11.114546407310812,8.480975185272172,-5.119151382940464,-5.440791149434134,0.9470365091985948,3.0628407346582813,-3.4755971781886266,-6.486247256255068,0.0,-3.475871588160816,0.0,2.020858180514953,0.0,0.0,0.0,-0.1300933429035248,3.9900454084135593,-0.4868224036163526,1.378591987093718,-0.2741150987755914,0.0,-0.3344217599975315,0.0,-1.259205413694371,0.0,0.3681834382580481,-5.368637395506877,0.0,0.0,-0.1348621604293969,0.0,0.0,0.0,1.2700632687750848,0.0,1.1245175873367812,0.0,0.6137638858692609,0.0,0.4775824178099175,0.0,-1.2291028678512874,0.0,-0.2769777966611025,0.0,0.0368556456681078,0.0,0.0431254844594721,0.0,0.3531775594892209,0.0,0.0,0.0,-3.7223775764868967,0.0,-0.9642584512976796,0.0,0.0,0.0,0.6372390072018358,0.0,0.3690526907278987,0.0,0.0,0.0,-1.4996136407765095,0.0,0.0,0.0,0.0,0.0,1.3492981675048463,0.0,4.3877299100191385,0.0,4.55773276293368,0.0,-1.453876482085839,0.0,0.0,0.0,0.6322373994237529,0.0,-1.9097690039452904,0.0,0.0,0.0,-1.0900498193111643
Lasso (lambda=0.1),109,28,12.30272925511002,3.507524662081511,0.2671997920449495,19.51667501477776,4.4177681033274885,0.0621469070434713,5.107142857142857,3.286936985404872,-0.0,-1.191649637430802,-0.0018062203049484,0.4181081752318037,3.9351061160138,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0701257530347363,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),109,28,16.788654153690768,4.097396021095687,0.0,21.995421862036626,4.689927703284628,-0.0569666405048556,5.107142857142857,4.018348623853211,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",109,28,4.925039407350954,2.219242980692054,0.706644775557054,15.27037021939466,3.907732106912481,0.2661985748081265,5.107142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),109,28,9.073286002667707,3.012189569510476,0.4595584661160548,22.87679327091989,4.782969085298366,-0.0993200076249587,5.107142857142857,9.68899002411202,2.8177132930977806,-4.312285905137306,-7.1694923635925765,0.9555935171977286,3.1518644207349618,-0.2886946539938599,-1.8301457090387911,0.0,-2.9819447645018577,0.0,1.8124325566062,0.0,0.0,0.0,-0.0,2.429036092338288,-0.3038475448991544,0.0,-0.0807193795491646,0.0,-0.0,0.0,-0.8794153646303557,0.0,0.0,-4.479975970467923,0.0,0.0,-0.0,0.0,0.0,0.0,1.0950470919881732,0.0,1.0193515451513309,0.0,0.1614776651982251,0.0,0.3106333165853964,0.0,-1.0998226352107596,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0570545420211778,0.0,0.0,0.0,-3.000236653525305,0.0,-0.435881562572216,0.0,0.0,0.0,0.0024340450028622,0.0,0.1727886099846678,0.0,0.0,0.0,-1.020720419524181,0.0,0.0,0.0,0.0,0.0,0.951269344027739,0.0,3.736148574902354,0.0,4.3959834996551495,0.0,-1.2083870914252273,0.0,0.0,0.0,0.4316324865054348,0.0,-1.8452694934326763,0.0,0.0,0.0,-0.5896517411202957
