model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,451,113,23.99825625633717,4.898801512241252,0.2425061249807978,38.50570670693322,6.205296665505463,0.0517748985762908,7.893805309734513,-2035652617242.185,-8.07782203862865,7.830547774082824,25.87563776207498,-0.4265097050918838,3.397613301408424,-21.248696808110047,5.351667442525512,14686786750092.416,813497456630.9095,4707656386662.857,813497456629.8214,-1454996762872.736,1453505790147.3994,1222155160612.2908,813497456628.9211,359909506950.3793,813497456630.5063,1222155160613.5154,813497456630.842,-4829241099.667092,813497456630.6063,-64647215616.32001,813497456629.9388,1222155160615.5005,813497456629.7761,3424584415.089683,813497456630.539,1222155160610.3308,813497456630.0662,-89676561.32292081,813497456632.9862,598343.3404966022,813497456630.9854,-59302.27699417132,813497456632.4863,-840.7251369506121,813497456628.9023,1222155160616.4563,813497456627.8938,-0.00439453125,813497456634.8535,-0.0009765625,813497456628.7832,0.0,813497456629.9482,0.0,813497456629.0464,0.0,813497456630.581,0.0,0.0,1222155160615.8242,813497456629.4106,0.0,813497456632.1729,0.0,0.0,0.0,813497456631.581,0.0,813497456630.5337,0.0,0.0,0.0,813497456630.0764,0.0,0.0,0.0,813497456628.9767,1222155160612.916,813497456633.6561,0.0,813497456629.3987,0.0,813497456630.2277,1222155160622.173,813497456631.261,0.0,0.0,0.0,813497456631.7534,0.0,813497456631.9985,0.0,0.0,0.0,813497456630.6565
"Random Forest (100 estimators, 20 depth)",451,113,4.179057232700245,2.044274255744626,0.8680899885678488,41.74646905411781,6.461150753087085,-0.0280307320212107,7.893805309734513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",451,113,9.007903217392087,3.001316913854997,0.7156696952871975,40.6994461312742,6.379611753960753,-0.0022471923302598,7.893805309734513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",451,113,18.25116113269413,4.272137770799782,0.4239105282345859,38.668052366494265,6.218364123022571,0.0477770436433944,7.893805309734513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),451,113,24.343530781857663,4.93391637361819,0.2316076940494726,37.820709241472855,6.1498544081525095,0.0686433538446154,7.893805309734513,4.873990927008308,-0.1331705294814949,1.9254815180889648,3.454422714383735,-0.4415397510721623,3.4988005815549044,-2.147198774620118,1.1753624622378196,0.0,0.4396832512674972,0.0,-0.820047826549393,0.0,0.0,-1.9502539204723288,-1.6004421762394805,0.0,-0.1114693042791731,-1.667075081581228,-0.0310087414380959,0.0,-0.0182584923557978,0.0,-0.3541811759601336,0.5609966908397508,-0.7289291479622375,0.0,-0.1450849120343059,-3.047081095684372,-0.895816216918183,0.0,1.7828184245887266,0.0,0.4626740470369856,0.0,1.395592617543672,0.0,-1.413620584201016,-0.0277088999452873,-2.615484317723205,0.0,3.983465584545138,0.0,-1.8151235704092308,0.0,-0.4832551929665097,0.0,-1.1579921292240518,0.0,0.1576513127847376,0.0,0.0,2.756602748426308,-0.9399406044957196,0.0,1.4768968229847104,0.0,0.0,0.0,0.7892613109906905,0.0,0.0668174658167603,0.0,0.0,0.0,-0.1389450655533069,0.0,0.0,0.0,-1.254707101136418,-0.4839672770797676,2.7049409977296257,0.0,-1.1602568566243376,0.0,-0.5135321418631048,3.858486835497088,0.4723916026006933,0.0,0.0,0.0,0.730354887107848,0.0,1.4972860747060175,0.0,0.0,0.0,0.2382611582305689
Ridge (lambda=0.1),451,113,24.068856463290167,4.906002085536671,0.2402776620553778,38.33883214666143,6.1918359269817085,0.0558842802854246,7.893805309734513,4.165045447125563,-4.793903336412198,5.559721604995997,14.985965011950308,-0.4430376559742811,3.446979173453299,-11.959679369712765,3.347924977562137,0.0,0.3688922368629299,0.0,-0.8104276380608041,0.0,0.0,-2.4235428043170963,-1.6803968546066472,0.0,-0.1095450569375885,-1.6470829300297838,0.1117908003211694,0.0,0.0019574789993979,0.0,-0.5369088638143114,0.4882323149482979,-0.7995905216323528,0.0,-0.1046535929402084,-4.01163657420994,-0.7235926752257763,0.0,2.2174809939340285,0.0,0.43169008033573,0.0,1.7237780399927152,0.0,-1.619523542640953,0.7394834608874553,-2.7522533682011217,0.0,4.196727422537673,0.0,-1.8651517801451825,0.0,-0.5963869695718036,0.0,-1.461267807571541,0.0,0.0733965543665032,0.0,0.0,1.8220550623551768,-1.1030942085002633,0.0,1.5524371014781928,0.0,0.0,0.0,0.9146012245317784,0.0,-0.0023327191321364,0.0,0.0,0.0,-0.3472336450699304,0.0,0.0,0.0,-1.5821844799555262,-1.3464609586618586,2.9724479350154303,0.0,-1.2031748444991637,0.0,-0.4513117795802807,6.3789524290245305,0.5901698352371867,0.0,0.0,0.0,0.968733991585248,0.0,1.4847834975250631,0.0,0.0,0.0,0.1401431553602686
Lasso (lambda=0.1),451,113,26.98987568992963,5.195178119172588,0.1480770392535262,35.91876376716519,5.993226490561256,0.1154798514579166,7.893805309734513,5.475743285041585,0.6942798179080545,0.0,0.0,-0.0,3.1913097903608683,0.0,0.5631860751080647,0.0,0.0,0.0,-0.0,0.0,0.0,-0.3450158324421402,-0.0,0.0,0.0,-0.6067320240262313,-0.0,0.0,-0.0,0.0,0.0,0.7991276292243313,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.4794809103889954,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),451,113,31.68112251168873,5.628598627694884,0.0,40.964228036748366,6.400330306847325,-0.0087675985413264,7.893805309734513,7.297117516629711,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",451,113,17.899805559629915,4.230816181262182,0.4350009046230673,38.04892229573826,6.168380848791542,0.063023476558009,7.893805309734513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),451,113,24.529126735072847,4.952688838910925,0.2257494435046346,37.6419999587996,6.135307649890069,0.0730441723772536,7.893805309734513,4.852540664601644,0.0,1.9206804862726132,0.6268573733236231,-0.3967339293455484,3.508429246127991,-0.0,0.7154667761526688,0.0,0.3559340709257334,0.0,-0.4195249719837873,0.0,0.0,-1.544702759712339,-1.3246098276723766,0.0,0.0,-1.5573287331717165,0.0,0.0,0.0,0.0,-0.0,0.7942092430132928,-0.3215425150008233,0.0,-0.0,-2.253391058303677,-0.4687880290997416,0.0,1.0250255097925878,0.0,0.3942161648160244,0.0,1.1597261409758952,0.0,-1.022144114490414,0.0,-2.384492900545052,0.0,4.123801693722533,0.0,-1.4550974249114423,0.0,-0.1113387450537648,0.0,-0.6628805791735275,0.0,0.0,0.0,0.0,3.3009202885661533,-0.5224749521811459,0.0,1.4248177271611455,0.0,0.0,0.0,0.635257955575685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0275830434332729,-0.0,2.6570186243304112,0.0,-0.7907106513599226,0.0,-0.0958063855838734,3.7836679409010663,0.2436697286987142,0.0,0.0,0.0,0.423874197803279,0.0,1.4477694796939171,0.0,0.0,0.0,0.1620598054841099
