Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
11,1,2013-11-18,7712,DAL,H,PHI,W (+3),0,8:35,1,3,.333,0,1,.000,1,2,.500,0,0,0,3,3,0,0,2,3,5.2,-3
12,2,2013-11-20,7714,DAL,H,HOU,W (+3),0,16:49,3,5,.600,2,3,.667,0,0,,1,3,4,2,2,0,4,2,8,5.9,+7
13,3,2013-11-22,7716,DAL,H,UTA,W (+10),0,15:11,1,2,.500,0,0,,0,1,.000,0,1,1,1,2,0,1,1,2,2.2,+1
14,4,2013-11-23,7717,DAL,A,DEN,L (-2),0,13:56,0,3,.000,0,1,.000,2,2,1.000,1,0,1,1,0,0,1,1,2,-0.1,-3
15,5,2013-11-25,7719,DAL,H,DEN,L (-14),0,4:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-6
16,6,2013-11-27,7721,DAL,H,GSW,W (+4),0,16:58,3,8,.375,0,1,.000,1,2,.500,0,2,2,6,1,0,0,2,7,7.2,+16
17,7,2013-11-29,7723,DAL,A,ATL,L (-1),0,8:51,0,4,.000,0,1,.000,0,0,,0,0,0,1,1,0,4,1,0,-5.5,+3
18,8,2013-11-30,7724,DAL,H,MIN,L (-6),0,16:45,2,6,.333,0,2,.000,0,0,,0,0,0,1,2,0,0,1,4,2.9,-2
19,9,2013-12-03,7727,DAL,H,CHA,W (+7),0,8:59,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2.5,+6
22,10,2013-12-09,7733,DAL,A,SAC,L (-15),0,11:19,4,8,.500,1,3,.333,1,1,1.000,0,0,0,2,3,0,1,1,10,9.0,+14
23,11,2013-12-11,7735,DAL,A,GSW,L (-2),0,11:27,1,2,.500,0,0,,0,0,,0,0,0,4,1,0,2,1,2,2.4,+3
24,12,2013-12-14,7738,DAL,H,MIL,W (+13),0,24:46,2,6,.333,0,0,,1,2,.500,1,0,1,3,0,0,2,1,5,1.6,-6
25,13,2013-12-18,7742,DAL,H,MEM,W (+14),0,13:57,2,4,.500,1,2,.500,0,0,,0,0,0,2,0,0,2,0,5,2.4,+9
26,14,2013-12-20,7744,DAL,H,TOR,L (-1),0,13:25,2,4,.500,0,1,.000,0,0,,0,1,1,2,0,0,1,2,4,1.9,+2
27,15,2013-12-21,7745,DAL,A,PHO,L (-15),0,13:49,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-1.0,+4
29,16,2013-12-26,7750,DAL,H,SAS,L (-9),0,10:01,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.1,-3
30,17,2013-12-28,7752,DAL,A,CHI,W (+22),0,12:02,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,2,2,3,-0.5,+5
31,18,2013-12-30,7754,DAL,A,MIN,W (+2),0,5:58,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,1,1,0,-1.4,-5
32,19,2014-01-01,7756,DAL,A,WAS,W (+9),0,11:49,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,2,0,2,1.0,0
33,20,2014-01-03,7758,DAL,H,LAC,L (-7),0,13:35,3,4,.750,1,1,1.000,1,2,.500,3,1,4,3,1,0,1,2,8,9.7,+12
34,21,2014-01-05,7760,DAL,H,NYK,L (-12),0,7:23,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,0,0,4,1.3,-4
35,22,2014-01-07,7762,DAL,H,LAL,W (+13),0,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
36,23,2014-01-08,7763,DAL,A,SAS,L (-22),0,17:12,3,7,.429,1,2,.500,0,0,,0,4,4,2,0,0,3,0,7,2.9,-4
37,24,2014-01-10,7765,DAL,A,NOP,W (+17),0,14:10,2,3,.667,1,1,1.000,0,0,,1,3,4,6,0,0,2,1,5,7.1,+5
38,25,2014-01-11,7766,DAL,H,NOP,W (+3),0,10:48,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,3,0,-2.6,+3
40,26,2014-01-15,7770,DAL,A,LAC,L (-2),0,5:48,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,-3
41,27,2014-01-17,7772,DAL,A,PHO,W (+3),0,26:33,6,8,.750,2,3,.667,4,5,.800,0,1,1,5,2,0,2,1,18,17.8,+9
42,28,2014-01-18,7773,DAL,H,POR,L (-16),0,23:17,3,6,.500,0,1,.000,3,4,.750,0,2,2,4,1,0,1,3,9,7.8,+4
43,29,2014-01-20,7775,DAL,A,CLE,W (+5),0,18:06,1,3,.333,1,2,.500,0,0,,0,2,2,1,2,1,0,2,3,4.5,+14
44,30,2014-01-22,7777,DAL,A,TOR,L (-8),0,11:14,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,2,2,-0.8,-2
45,31,2014-01-24,7779,DAL,A,BRK,L (-1),0,5:32,0,0,,0,0,,0,0,,2,1,3,0,0,0,0,0,0,1.7,+1
48,32,2014-01-31,7786,DAL,H,SAC,W (+4),0,4:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
49,33,2014-02-03,7789,DAL,H,CLE,W (+17),0,3:46,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
51,34,2014-02-07,7793,DAL,H,UTA,W (+22),0,3:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2
53,35,2014-02-11,7797,DAL,A,CHA,L (-25),0,8:36,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2,1.6,+5
54,36,2014-02-12,7798,DAL,A,IND,W (+8),0,22:38,0,5,.000,0,1,.000,1,2,.500,0,2,2,5,0,0,1,3,1,-1.0,0
55,37,2014-02-18,7804,DAL,H,MIA,L (-11),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
56,38,2014-02-21,7807,DAL,A,PHI,W (+12),0,3:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-7
57,39,2014-02-22,7808,DAL,A,DET,W (+11),0,0:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
59,40,2014-02-26,7812,DAL,H,NOP,W (+19),0,2:29,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,0
62,41,2014-03-05,7819,DAL,A,DEN,L (-5),0,4:47,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,+8
65,42,2014-03-11,7825,DAL,A,GSW,L (-23),0,15:42,0,4,.000,0,1,.000,0,0,,0,1,1,3,3,0,0,0,0,2.6,-6
67,43,2014-03-16,7830,DAL,A,OKC,W (+23),0,4:07,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,0,2,0.0,-3
70,44,2014-03-21,7835,DAL,H,DEN,W (+16),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-2
71,45,2014-03-23,7837,DAL,H,BRK,L (-3),0,12:45,2,4,.500,0,0,,1,2,.500,0,0,0,1,0,0,0,2,5,2.5,-12
79,46,2014-04-08,7853,DAL,A,UTA,W (+12),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
80,47,2014-04-10,7855,DAL,H,SAS,L (-9),0,0:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,0
81,48,2014-04-12,7857,DAL,H,PHO,W (+3),0,5:46,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,2.3,+3
1,1,2014-10-29,8057,NYK,H,CHI,L (-24),1,25:35,2,6,.333,0,2,.000,2,2,1.000,0,2,2,3,1,0,0,2,6,5.5,-17
2,2,2014-10-30,8058,NYK,A,CLE,W (+5),1,28:13,4,6,.667,1,1,1.000,0,0,,1,1,2,5,5,0,3,0,9,12.9,-5
3,3,2014-11-02,8061,NYK,H,CHO,W (+3),1,26:32,3,7,.429,1,2,.500,2,2,1.000,0,2,2,5,2,0,1,1,9,10.0,+2
4,4,2014-11-04,8063,NYK,H,WAS,L (-15),1,26:00,2,5,.400,0,1,.000,2,3,.667,0,2,2,1,0,0,1,4,6,1.6,-5
5,5,2014-11-05,8064,NYK,A,DET,L (-3),1,32:28,2,4,.500,0,1,.000,0,0,,0,5,5,2,0,0,3,4,4,0.3,+5
6,6,2014-11-07,8066,NYK,A,BRK,L (-11),0,19:03,0,4,.000,0,0,,0,0,,1,3,4,0,1,0,1,0,0,-1.2,+3
7,7,2014-11-08,8067,NYK,A,ATL,L (-7),1,29:11,4,8,.500,1,2,.500,0,0,,0,1,1,4,0,0,1,2,9,6.3,-4
8,8,2014-11-10,8069,NYK,H,ATL,L (-6),1,24:57,1,5,.200,0,1,.000,0,0,,0,0,0,2,3,0,0,3,2,2.1,-7
9,9,2014-11-12,8071,NYK,H,ORL,L (-2),1,16:46,2,5,.400,1,1,1.000,4,4,1.000,0,1,1,2,0,0,0,2,9,7.2,0
10,10,2014-11-14,8073,NYK,H,UTA,L (-2),1,37:38,3,10,.300,1,1,1.000,0,0,,1,1,2,4,3,0,0,2,7,7.2,-6
11,11,2014-11-16,8075,NYK,H,DEN,W (+16),1,26:12,3,5,.600,1,1,1.000,0,0,,0,1,1,2,1,0,0,6,7,5.0,+6
12,12,2014-11-18,8077,NYK,A,MIL,L (-4),1,22:01,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,2,0,-2.5,-8
13,13,2014-11-19,8078,NYK,A,MIN,L (-16),1,29:01,2,6,.333,0,1,.000,0,0,,0,0,0,4,1,0,1,3,4,2.2,-15
15,14,2014-11-24,8083,NYK,A,HOU,L (-5),0,21:52,4,5,.800,0,1,.000,0,0,,0,3,3,3,3,0,1,2,8,10.3,-4
16,15,2014-11-26,8085,NYK,A,DAL,L (-7),0,14:32,1,5,.200,1,2,.500,0,0,,1,1,2,0,1,0,0,3,3,0.7,+2
17,16,2014-11-28,8087,NYK,A,OKC,L (-27),0,25:07,2,4,.500,1,2,.500,2,2,1.000,1,1,2,3,0,0,0,1,7,7.7,0
18,17,2014-11-30,8089,NYK,H,MIA,L (-7),0,16:51,2,5,.400,1,3,.333,0,0,,0,1,1,1,1,0,2,2,5,1.5,-2
19,18,2014-12-02,8091,NYK,H,BRK,L (-5),0,18:27,2,5,.400,2,4,.500,2,2,1.000,0,1,1,2,1,0,2,2,8,5.2,+4
20,19,2014-12-04,8093,NYK,H,CLE,L (-3),0,15:37,2,6,.333,1,3,.333,0,0,,0,1,1,1,1,0,0,3,5,2.4,-5
21,20,2014-12-05,8094,NYK,A,CHO,L (-1),0,9:01,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,2.6,-5
24,21,2014-12-10,8099,NYK,A,SAS,L (-14),0,25:00,2,3,.667,0,0,,2,2,1.000,1,2,3,4,0,0,1,3,6,6.6,-10
25,22,2014-12-12,8101,NYK,A,BOS,W (+6),0,21:31,2,3,.667,1,2,.500,0,0,,0,4,4,4,0,0,3,2,5,3.9,-12
26,23,2014-12-14,8103,NYK,H,TOR,L (-5),0,16:03,1,5,.200,1,2,.500,0,0,,1,1,2,0,2,0,0,2,3,2.1,-4
27,24,2014-12-16,8105,NYK,H,DAL,L (-20),0,29:54,4,6,.667,1,1,1.000,0,0,,1,4,5,2,2,0,0,3,9,10.5,-3
28,25,2014-12-18,8107,NYK,A,CHI,L (-6),0,30:17,2,7,.286,0,0,,1,2,.500,1,1,2,3,0,1,1,2,5,2.5,-6
