model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,543,136,22.063983587050743,4.697231481101474,0.2972967794730666,25.44011340421789,5.0438193270792215,0.2294296015740657,7.492647058823529,-28669990093159.105,519940117338362.9,-519940117338365.94,17.734375,0.59375,4.5,-4.125,2.546875,-55424767158776.06,4143266623546.063,24526723469611.37,4143266623547.1406,-152887608421.26562,4143266623546.813,12512096655210.594,4143266623548.138,-10673820149540.852,4143266623546.432,-1104867089428.6345,4143266623548.1055,719082873113.3799,9617407323343.416,6354800210156.312,4143266623546.853,7511606071076.968,4143266623545.6265,9707501641998.004,4143266623547.065,3603804245664.808,-7193256386392.415,33075906286.59697,2944108974076.373,-3756119795092.7305,4143266623547.3145,5603350452122.099,1267330940892.413,514467589957.5425,4143266623548.516,1523549754456.0862,4143266623546.6055,12892804282294.994,4143266623546.277,0.0,4143266623546.608,0.0,4143266623546.461,0.0,4143266623547.578,24526723469611.46,4143266623545.308,0.0,0.0,0.0,0.0,0.0,4143266623545.2207,0.0,4143266623542.722,0.0,0.0,24526723469610.613,4143266623546.168,24526723469599.0,4143266623546.105,0.0,4143266623546.14,0.0,0.0,0.0,0.0,0.0,4143266623546.751,0.0,0.0,0.0,4143266623548.136,0.0,4143266623545.867,0.0,0.0,24526723469617.65,4143266623547.26,24526723469605.83,4143266623547.426,0.0,4143266623545.0137,0.0,4143266623546.145
"Random Forest (100 estimators, 20 depth)",543,136,3.6973554510891,1.922850865535104,0.8822450364567004,22.80341543315087,4.775292183013608,0.3092940807063444,7.492647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",543,136,7.562249554203746,2.7499544640236766,0.7591542300055865,22.11942218817313,4.703128978475196,0.33001195011709,7.492647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",543,136,15.842245575163355,3.980231849423266,0.4954493624361014,22.18910969329709,4.710531784554382,0.3279011447234404,7.492647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),543,136,22.21081660369976,4.712835304113625,0.2926203785288824,24.93108494840624,4.993103738999045,0.2448478606742743,7.492647058823529,0.7863199947460542,0.1282460034614001,0.1282460034614013,4.828793478982118,0.6044103858203123,4.4491958072130044,2.2640709005547555,-0.3695039567099411,0.0,-0.6312987176890462,0.2113321822585637,0.528642590690796,0.0,0.299679336431996,0.0,1.4262033559918443,0.0,-0.311947862829994,0.0,1.4486804209468331,0.0,0.0,0.0,0.2509167432534981,0.0,-0.9946661201396636,0.0,0.4300765108799009,0.0,0.0,0.0,0.0,0.0,0.6825179497366357,0.0,0.0,0.0,1.9554252719543483,0.0,-0.079335391798639,0.0,-0.2112143209147801,0.0,0.0963443640020459,0.0,-0.2167941014980892,0.0,1.1231179819771664,2.3653711726076927,-1.2032893096568196,0.0,0.0,0.0,0.0,0.0,-1.305292448406278,0.0,-2.1225749701741523,0.0,0.0,0.5244503541355439,-0.519967891071628,-6.481231682417404,-0.3859838799622227,0.0,-0.514025181461007,0.0,0.0,0.0,0.0,0.0,0.0086189102536828,0.0,0.0,0.0,1.38517286887997,0.0,-0.7115480720436762,0.0,0.0,5.21233901838774,0.6456004789225204,-1.8322610449758543,0.8950384248863382,0.0,-1.4739855892278115,0.0,-0.4941113519331959
Ridge (lambda=0.1),543,136,22.051265542581824,4.695877505065675,0.2977018292126958,25.073622204098488,5.007356808147237,0.2405304667946107,7.492647058823529,-2.568986189600513,-0.8803449560986719,-0.880344956098613,12.76163137680118,0.6001412604853966,4.469344817457457,-0.4197023553228193,1.5590559558607473,0.0,-0.5661805357169244,1.6532410014542622,0.6051004147714288,0.0,0.3100038367705643,0.0,1.5242742492612975,0.0,-0.1645224774506112,0.0,1.540450804451385,0.0,0.0,0.0,0.3071372071734383,0.0,-0.9648963693734774,0.0,0.481450436667056,0.0,0.0,0.0,0.0,0.0,0.753386259329607,0.0,0.0,0.0,1.967955108196621,0.0,0.0658331127499603,0.0,-0.2486236575354708,0.0,0.1051810159861351,0.0,-0.2272636036496584,0.0,1.1291381849445628,2.140845041087159,-1.2713420536657878,0.0,0.0,0.0,0.0,0.0,-1.315067663746263,0.0,-3.5353585559589416,0.0,0.0,1.1404191153533372,-0.4173609797949458,-9.45387943298175,-0.4450753388063927,0.0,-0.4190488603645135,0.0,0.0,0.0,0.0,0.0,0.1703128112969386,0.0,0.0,0.0,1.5905395632223909,0.0,-0.7011136775125598,0.0,0.0,7.688533734440364,0.7788757067351733,-3.169159459408775,0.93616421241328,0.0,-1.5788936103116,0.0,-0.4110555400747816
Lasso (lambda=0.1),543,136,24.02430182427334,4.901459152566034,0.23486372276238,25.365700428326868,5.0364372753293445,0.231683539501516,7.492647058823529,5.233518526403863,0.0,0.0,-0.0,0.1990181165476451,4.120855529408186,-0.0,0.0,0.0,-0.0,-0.2596788369285535,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2550438983697402,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2.2229331497664866,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1.1178571436963705,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.9667672016019049,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
Lasso (lambda=1.0),543,136,30.6277422007478,5.5342336597534265,0.0245545190413649,32.2067338633953,5.675097696374513,0.0244714970099199,7.492647058823529,7.3467048710601714,0.0,0.0,-0.0,0.0,0.3697899743006536,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",543,136,15.244479218600056,3.904417910342085,0.5144872819587667,22.051857060240053,4.695940487297518,0.3320584695930001,7.492647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),543,136,22.29334803770076,4.721583213044196,0.2899918819911475,25.19354765060195,5.019317448677853,0.2368979751612103,7.492647058823529,0.930757767951614,0.0,0.0,7.469532426143725,0.5483817804107133,4.438226230417824,0.0,0.0,0.0,-0.3048674732304112,-0.0,0.347814778096963,0.0,0.1615720894732542,0.0,1.2630526152681107,0.0,-0.0,0.0,1.362964796804232,0.0,0.0,0.0,0.0628870824780902,0.0,-0.4481525525092833,0.0,0.3376268939119223,0.0,0.0,0.0,0.0,0.0,0.4789820605018849,0.0,0.0,0.0,1.9042402838093635,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0017615446144137,1.8466213371627127,-0.2431079212269563,0.0,0.0,0.0,0.0,0.0,-0.9770041050300242,0.0,-0.0,0.0,0.0,0.1220496514125917,-0.2507464298818889,-7.277588094892755,-0.0,0.0,-0.1751333996497106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607573684193466,0.0,-0.4744482555260698,0.0,0.0,4.958622453497239,0.468925687998049,-2.461451958709183,0.4867755143055014,0.0,-0.0447746454271687,0.0,-0.1046688048301912
