Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-206,DET,@,DEN,L (-10),0,7:40,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-3
12,2,2014-11-19,21-227,DET,,PHO,L (-2),0,13:57,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,1,1,2,-0.5,-4
14,3,2014-11-25,21-233,DET,@,MIL,L (-12),0,10:47,1,3,0.333,1,1,1.0,0,0,,0,0,0,3,1,0,2,0,3,2.4,-2
15,4,2014-11-26,21-234,DET,,LAC,L (-6),0,17:11,4,7,0.571,2,4,0.5,0,0,,0,0,0,4,0,0,0,1,10,9.1,-7
16,5,2014-11-28,21-236,DET,,MIL,L (-16),0,14:02,1,4,0.25,0,2,0.0,0,0,,0,3,3,3,1,0,0,3,2,2.4,-14
22,6,2014-12-09,21-247,DET,,POR,L (-12),0,14:12,1,6,0.167,0,4,0.0,1,1,1.0,0,1,1,3,0,0,0,0,3,1.6,2
25,7,2014-12-15,21-253,DET,@,LAC,L (-22),0,8:46,1,4,0.25,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,2,-0.1,1
31,8,2014-12-30,21-268,DET,@,ORL,W (+23),0,2:45,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,0,0,2,3.4,1
44,9,2015-01-24,21-293,DET,@,MIL,L (-15),0,7:02,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,2,1,0,1,0,4,4.3,10
45,10,2015-01-25,21-294,DET,@,TOR,L (-4),0,10:39,1,4,0.25,0,2,0.0,0,0,,0,1,1,2,0,1,0,3,2,0.8,-1
46,11,2015-01-27,21-296,DET,,CLE,L (-8),0,11:54,1,3,0.333,0,1,0.0,0,0,,0,3,3,3,0,1,2,0,2,2.0,1
47,12,2015-01-28,21-297,DET,@,PHI,L (-20),0,13:39,1,6,0.167,0,2,0.0,4,4,1.0,0,1,1,2,1,1,1,2,6,3.8,3
48,13,2015-01-31,21-300,DET,,HOU,W (+13),0,10:57,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,2,1,2,0.6,-9
49,14,2015-02-03,21-303,DET,,MIA,W (+17),0,6:32,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0,-15
53,15,2015-02-10,21-310,DET,@,CHO,W (+28),0,3:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
54,16,2015-02-11,21-311,DET,,SAS,L (-17),0,1:53,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,1
55,17,2015-02-20,21-320,DET,,CHI,W (+9),1,30:42,5,9,0.556,1,2,0.5,1,2,0.5,0,3,3,9,3,0,2,3,12,14.3,19
56,18,2015-02-22,21-322,DET,,WAS,W (+17),0,17:43,0,6,0.0,0,3,0.0,0,0,,0,1,1,7,0,0,2,2,0,-1.8,9
57,19,2015-02-24,21-324,DET,,CLE,L (-9),0,9:16,0,4,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,2,0,0,-4.8,-7
59,20,2015-02-28,21-328,DET,@,WAS,L (-4),0,24:57,8,14,0.571,1,4,0.25,3,3,1.0,1,3,4,8,1,0,3,4,20,17.0,5
60,21,2015-03-04,21-332,DET,@,NOP,L (-3),0,15:06,1,5,0.2,0,2,0.0,0,0,,0,1,1,4,0,0,1,1,2,0.6,-15
61,22,2015-03-06,21-334,DET,@,HOU,L (-10),0,13:57,0,4,0.0,0,1,0.0,4,4,1.0,0,2,2,0,0,0,0,1,4,1.4,-6
63,23,2015-03-10,21-338,DET,@,LAL,L (-8),0,19:17,1,6,0.167,0,3,0.0,2,2,1.0,0,2,2,6,1,1,1,6,4,3.3,9
64,24,2015-03-11,21-339,DET,@,GSW,L (-7),0,17:03,3,9,0.333,2,4,0.5,0,0,,0,2,2,1,0,0,3,2,8,0.4,-6
65,25,2015-03-13,21-341,DET,@,POR,L (-19),0,15:39,2,6,0.333,1,4,0.25,0,0,,0,3,3,2,0,0,1,1,5,2.5,-13
66,26,2015-03-14,21-342,DET,@,UTA,L (-3),0,20:02,3,9,0.333,1,4,0.25,2,3,0.667,1,1,2,6,2,0,0,2,9,9.9,10
67,27,2015-03-17,21-345,DET,,MEM,W (+10),0,13:37,2,6,0.333,1,2,0.5,0,0,,0,2,2,1,0,0,1,2,5,1.1,-14
68,28,2015-03-18,21-346,DET,@,PHI,L (-11),0,19:04,2,11,0.182,1,3,0.333,2,2,1.0,1,2,3,3,0,0,0,2,7,2.7,-9
69,29,2015-03-21,21-349,DET,,CHI,W (+16),0,20:28,3,11,0.273,1,4,0.25,3,3,1.0,1,2,3,10,1,0,1,4,10,10.2,6
70,30,2015-03-22,21-350,DET,@,BOS,W (+8),0,15:58,3,5,0.6,0,1,0.0,0,0,,0,3,3,4,2,2,3,3,6,6.6,-4
71,31,2015-03-24,21-352,DET,,TOR,W (+4),0,14:00,2,5,0.4,0,1,0.0,0,0,,0,0,0,3,2,0,3,1,4,2.0,-8
72,32,2015-03-27,21-355,DET,@,ORL,W (+14),0,16:49,2,6,0.333,0,1,0.0,3,4,0.75,0,2,2,6,2,0,0,2,7,9.2,9
73,33,2015-03-29,21-357,DET,@,MIA,L (-7),0,11:58,0,5,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,1,2,-1.9,-10
74,34,2015-03-31,21-359,DET,,ATL,W (+10),0,4:10,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,0.6,-8
4,1,2015-11-03,22-211,DET,,IND,L (-12),0,7:04,1,1,1.0,0,0,,0,2,0.0,0,1,1,0,0,0,2,3,2,-2.0,0
10,2,2015-11-15,22-223,DET,@,LAL,L (-12),0,23:43,6,9,0.667,1,3,0.333,4,5,0.8,0,2,2,4,0,0,1,4,17,13.5,1
11,3,2015-11-17,22-225,DET,,CLE,W (+5),0,13:33,1,6,0.167,0,1,0.0,1,2,0.5,0,1,1,1,1,0,1,2,3,-1.0,-10
12,4,2015-11-20,22-228,DET,@,MIN,W (+10),0,20:29,2,6,0.333,0,2,0.0,2,3,0.667,0,1,1,2,1,0,0,2,6,4.1,-5
13,5,2015-11-21,22-229,DET,,WAS,L (-2),0,16:26,2,7,0.286,0,0,,2,3,0.667,0,1,1,2,0,0,0,3,6,2.0,-20
14,6,2015-11-23,22-231,DET,@,MIL,L (-21),0,17:29,1,4,0.25,0,1,0.0,2,4,0.5,0,2,2,3,0,0,1,2,4,1.7,-13
21,7,2015-12-06,22-244,DET,,LAL,W (+20),0,4:43,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
22,8,2015-12-07,22-245,DET,@,CHO,L (-20),0,3:55,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,2
25,9,2015-12-12,22-250,DET,,IND,W (+22),0,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
78,10,2016-04-05,22-365,DET,@,MIA,L (-18),0,3:55,0,2,0.0,0,0,,0,0,,1,0,1,1,1,0,2,1,0,-1.4,-1
