model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,737,185,83.56471854925479,9.141373996793632,0.1883635039975821,70.04532074799408,8.369308259826141,0.1301122247968893,25.11351351351352,54143091687038.914,-9.6284397448566,10.70509206390802,-15.468822428321015,-0.7731763384595158,11.925190883807913,29.17005890430543,0.1676223550896884,17919108031504.43,-14841764897573.217,-24032106514257.367,-54143091687031.945,5565899982743.4,-26622652439532.12,-13929301888396.615,-54143091687032.84,-7728353714883.647,-54143091687032.74,6560470410714.3125,-54143091687033.59,-95487969279.4669,-54143091687030.91,239676776373.84424,-54143091687033.125,-46250912719.90349,-54143091687030.13,2555741854.558913,-54143091687033.79,-45264064.01074878,-54143091687030.87,886645.639997188,-54143091687030.59,-1936.3554706573489,-54143091687032.58,-0.0413818359375,-54143091687027.46,-0.0625,-54143091687033.984,0.0,-54143091687030.24,0.0,-54143091687033.87,0.0,-54143091687036.055,0.0,-54143091687032.55,0.0,-54143091687033.73,0.0,-54143091687029.766,0.0,0.0,0.0,-54143091687031.32,0.0,-54143091687035.16,0.0,0.0,0.0,-54143091687036.25,0.0,-54143091687031.336,0.0,0.0,0.0,0.0,0.0,-54143091687027.39,0.0,0.0,0.0,-54143091687033.7,0.0,-54143091687026.22,0.0,-54143091687034.12,0.0,-54143091687030.16,0.0,-54143091687031.69,0.0,-54143091687033.74,0.0,-54143091687035.58,0.0,0.0,0.0,-54143091687032.84
"Random Forest (100 estimators, 20 depth)",737,185,16.4327542208638,4.053733368250038,0.8403940887130557,71.93801272545234,8.481627952548516,0.1066070199404595,25.11351351351352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",737,185,41.29322751449735,6.4259806655869545,0.598932527143704,67.84957732334723,8.237085487194317,0.1573810036701391,25.11351351351352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",737,185,68.09132857419289,8.251747001344194,0.3386514274019526,65.86084852868566,8.11546970474819,0.1820788828174776,25.11351351351352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),737,185,83.79132051830204,9.15375991155012,0.1861625939563862,69.38231390693493,8.329604666905562,0.1383460588311195,25.11351351351352,8.304454552207918,-4.651725406544439,6.218098496711391,4.237825461517715,-0.7073562615787646,10.272441454395407,8.164708047885016,0.7945357200275676,0.0,0.0,0.0,0.3326299567924307,0.0,0.0,0.0,-0.5979185446551212,0.0,-0.577374322021309,0.0,-1.2792952916568645,0.0,1.079466742197266,0.0,-0.7888263823495685,0.0,1.918778187515916,0.0,-1.2301786623513595,0.0,1.239747566702759,0.0,1.5623298972634223,0.0,-0.2580592385255763,0.0,4.332006356265144,0.0,-1.8153486769433165,0.0,1.817404894327856,0.0,-1.4640639357213976,0.0,-3.8308901508399855,0.0,-0.2820202952126913,0.0,-1.675525647042818,0.0,2.316735674065201,0.0,0.0,0.0,0.9465414748984534,0.0,-2.8985365820276723,0.0,0.0,0.0,-3.5897556601445424,0.0,0.8491435283728208,0.0,0.0,0.0,0.0,0.0,4.432938308832702,0.0,0.0,0.0,-1.4858889212105038,0.0,5.081975829325806,0.0,-1.5854429952839082,0.0,2.027783702258067,0.0,0.6366422079000176,0.0,-1.3507271753799417,0.0,-3.2793442822958543,0.0,0.0,0.0,-0.5849275630550742
Ridge (lambda=0.1),737,185,83.60078281848162,9.143346368725272,0.188013223668583,69.61538074879358,8.343583207998442,0.1354516185691145,25.11351351351352,6.829801901512585,-8.565026279228132,9.71384975219503,-5.037727122912371,-0.7529829786696862,11.747361861090848,18.146673519150266,0.8245004550509737,0.0,0.0,0.0,0.2926601315123427,0.0,0.0,0.0,-0.6318037916801762,0.0,-0.5781306031640296,0.0,-1.3546564370925511,0.0,1.2637277755637262,0.0,-0.8845154014181625,0.0,1.99489591785732,0.0,-1.5042786167824351,0.0,1.3650842264500551,0.0,1.5853354042566274,0.0,-0.3376290894970302,0.0,4.656002627808261,0.0,-1.839356640647174,0.0,1.8983956623310183,0.0,-1.5601983501565166,0.0,-3.933334554865234,0.0,-0.3377662292040693,0.0,-1.6103012841150897,0.0,2.3528133768383537,0.0,0.0,0.0,0.9064485626427063,0.0,-2.958175296853064,0.0,0.0,0.0,-3.977374910245172,0.0,0.8785073417888962,0.0,0.0,0.0,0.0,0.0,4.6916780035546894,0.0,0.0,0.0,-1.5083066292291898,0.0,5.831897114898777,0.0,-1.8269852438639544,0.0,2.056684105199833,0.0,0.5677095638034177,0.0,-1.4939287309852078,0.0,-3.3633252728573124,0.0,0.0,0.0,-0.6417727318446617
Lasso (lambda=0.1),737,185,88.9212952485709,9.429808865961752,0.1363368446815628,70.54827249688866,8.399301905330505,0.1238661033828056,25.11351351351352,18.870896551836903,0.0,0.7759789639282991,0.0,-0.2283385117810165,0.1004769302870075,11.7252145656135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4379609648108694,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.624717705564513,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4064791569553465,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165994597772449,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1.0199866082177824,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),737,185,101.90678252017412,10.094888930551646,0.0102130980695779,79.82944239741565,8.9347323629427,0.0086039252696058,25.11351351351352,24.39741264242528,0.0,0.0,0.5144283861241085,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",737,185,68.80572846298517,8.294921847913045,0.3317126973667151,65.173944974762,8.073038150210985,0.1906094884014185,25.11351351351352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),737,185,83.89087831617664,9.15919637938704,0.1851956219660596,69.3604393246129,8.328291500939008,0.1386177176877912,25.11351351351352,7.441556084188001,-3.0788309579694504,4.886818608868097,0.0,-0.6826043980940966,10.805112041117118,12.584883844877677,0.0,0.0,0.0,0.0,0.3483856593961177,0.0,0.0,0.0,-0.0418067474508049,0.0,-0.0,0.0,-0.5232518674909628,0.0,1.2972501164900343,0.0,-0.1382184916652951,0.0,2.1889507986896293,0.0,-0.0,0.0,1.276313075271567,0.0,1.6592132743064492,0.0,0.0,0.0,4.629841453195643,0.0,-1.0121998087805006,0.0,2.067622199366867,0.0,-0.7318785187422079,0.0,-3.2036055593821686,0.0,0.0,0.0,-0.8826317905514125,0.0,2.5003012443410984,0.0,0.0,0.0,1.1455933541465009,0.0,-2.334565867988596,0.0,0.0,0.0,-2.7819483917332173,0.0,0.9606690635840096,0.0,0.0,0.0,0.0,0.0,4.713171235763223,0.0,0.0,0.0,-0.9411934990219966,0.0,5.194488718050825,0.0,-0.86077093319879,0.0,2.113636432626817,0.0,0.3668219294064461,0.0,-0.681529531050641,0.0,-2.74248794256317,0.0,0.0,0.0,-0.0
