Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,1,2017-10-20,22-252,MIL,,CLE,L (-19),0,5:43,1,3,0.333,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,1.3,-4
6,2,2017-10-29,22-261,MIL,@,ATL,W (+11),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
7,3,2017-10-31,22-263,MIL,,OKC,L (-19),0,9:52,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,1,0,1,2,2,2.2,9
17,4,2017-11-22,22-285,MIL,@,PHO,W (+6),0,5:16,1,4,0.25,0,1,0.0,0,0,,2,0,2,0,0,0,0,0,2,1.0,-2
18,5,2017-11-25,22-288,MIL,@,UTA,L (-13),0,7:25,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,1,0,0,2,2,0.8,-2
27,6,2017-12-15,22-308,MIL,,CHI,L (-6),0,5:58,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,1,0,2,3,2.9,2
28,7,2017-12-16,22-309,MIL,@,HOU,L (-4),0,13:38,3,4,0.75,0,0,,0,0,,3,1,4,0,1,0,1,4,6,5.2,5
29,8,2017-12-19,22-312,MIL,,CLE,W (+3),0,5:46,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,2,1.2,8
30,9,2017-12-22,22-315,MIL,,CHO,W (+5),0,7:00,1,2,0.5,0,0,,0,0,,0,1,1,0,1,0,1,2,2,0.5,-2
31,10,2017-12-23,22-316,MIL,@,CHO,L (-5),0,7:46,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-1
33,11,2017-12-28,22-321,MIL,,MIN,W (+6),0,7:06,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,1,1,-0.5,-12
36,12,2018-01-03,22-327,MIL,,IND,W (+21),0,3:50,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,-2
37,13,2018-01-05,22-329,MIL,,TOR,L (-19),0,6:57,2,3,0.667,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,6,4.0,9
39,14,2018-01-08,22-332,MIL,@,IND,L (-13),0,12:00,4,4,1.0,3,3,1.0,0,0,,0,0,0,1,2,0,1,4,11,9.9,10
40,15,2018-01-10,22-334,MIL,,ORL,W (+7),0,21:02,1,4,0.25,0,2,0.0,0,0,,0,7,7,0,1,1,1,1,2,2.0,-10
41,16,2018-01-12,22-336,MIL,,GSW,L (-14),0,9:20,1,2,0.5,1,1,1.0,0,0,,1,1,2,0,0,1,0,1,3,3.3,1
42,17,2018-01-14,22-338,MIL,@,MIA,L (-18),0,22:19,1,5,0.2,1,3,0.333,0,0,,0,5,5,0,1,0,0,1,3,2.0,-1
43,18,2018-01-15,22-339,MIL,@,WAS,W (+9),0,10:17,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,0,2,0,1,5,5,3.0,-5
44,19,2018-01-17,22-341,MIL,,MIA,L (-5),0,12:27,1,3,0.333,0,2,0.0,1,1,1.0,0,3,3,1,0,0,0,1,3,2.5,4
45,20,2018-01-20,22-344,MIL,@,PHI,L (-22),1,39:22,5,9,0.556,4,7,0.571,0,1,0.0,2,0,2,0,1,0,2,1,14,9.3,-6
46,21,2018-01-22,22-346,MIL,,PHO,W (+4),1,27:09,2,5,0.4,0,3,0.0,0,0,,1,3,4,1,1,0,1,2,4,2.8,-7
47,22,2018-01-26,22-350,MIL,,BRK,W (+25),0,27:01,1,7,0.143,0,2,0.0,2,2,1.0,0,9,9,1,0,1,0,3,4,2.4,10
48,23,2018-01-28,22-352,MIL,@,CHI,W (+14),0,27:38,5,8,0.625,2,3,0.667,0,0,,0,6,6,1,2,0,0,1,12,12.5,11
