Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2000-10-31,20-345,VAN,,SEA,W (+6),0,8:54,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+7
2,2,2000-11-02,20-347,VAN,@,LAC,W (+8),0,9:42,2,4,.500,0,0,,3,4,.750,3,1,4,0,0,1,0,2,7,6.9,-2
3,3,2000-11-04,20-349,VAN,,LAL,L (-9),0,7:22,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,1.9,-8
4,4,2000-11-06,20-351,VAN,,ATL,W (+10),0,10:23,3,6,.500,0,0,,0,2,.000,1,4,5,0,0,1,0,0,6,4.8,+4
5,5,2000-11-08,20-353,VAN,@,DAL,W (+27),0,6:23,3,4,.750,0,0,,1,2,.500,1,1,2,0,0,0,0,3,7,4.8,+3
6,6,2000-11-09,20-354,VAN,@,HOU,L (-7),0,3:38,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,3,0,-0.9,-2
7,7,2000-11-11,20-356,VAN,@,SAS,L (-13),0,21:47,5,10,.500,0,0,,4,5,.800,1,3,4,0,2,2,0,2,14,12.8,+4
8,8,2000-11-16,20-361,VAN,,LAC,L (-4),0,3:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
9,9,2000-11-18,20-363,VAN,,DAL,L (-3),0,2:47,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+4
10,10,2000-11-20,20-365,VAN,,DEN,L (-3),0,13:15,3,5,.600,0,0,,2,3,.667,0,1,1,0,0,0,0,4,8,4.0,+5
11,11,2000-11-22,21-001,VAN,@,MIN,L (-1),0,21:35,5,8,.625,0,0,,0,1,.000,1,2,3,1,0,0,0,2,10,7.2,-1
12,12,2000-11-24,21-003,VAN,@,DET,L (-22),0,11:24,1,2,.500,0,0,,1,4,.250,0,0,0,0,1,0,2,2,3,-1.0,-6
15,13,2000-11-29,21-008,VAN,,PHO,W (+3),0,6:39,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,1,1,2,0.3,-11
16,14,2000-12-01,21-010,VAN,,IND,L (-10),0,19:13,1,3,.333,0,0,,0,0,,1,2,3,0,0,3,1,3,2,1.5,-1
17,15,2000-12-03,21-012,VAN,,SAS,L (-18),0,20:29,2,7,.286,0,0,,1,2,.500,5,1,6,1,1,0,1,2,5,4.2,-4
18,16,2000-12-05,21-014,VAN,,DET,W (+8),0,6:54,1,3,.333,0,0,,0,0,,0,0,0,0,1,1,0,1,2,1.6,-4
19,17,2000-12-07,21-016,VAN,@,UTA,L (-11),0,19:17,0,3,.000,0,1,.000,1,4,.250,1,3,4,0,1,1,1,1,1,-0.4,+4
20,18,2000-12-09,21-018,VAN,,PHI,L (-4),0,15:09,2,4,.500,0,0,,3,3,1.000,0,3,3,0,0,0,0,2,7,5.1,+4
21,19,2000-12-11,21-020,VAN,,HOU,L (-7),0,9:24,1,7,.143,0,0,,0,0,,1,2,3,0,1,0,2,1,2,-2.6,-6
22,20,2000-12-13,21-022,VAN,,SEA,L (-1),0,14:02,3,6,.500,0,0,,1,1,1.000,3,1,4,0,1,0,0,2,7,6.6,-3
23,21,2000-12-15,21-024,VAN,@,LAL,L (-22),0,17:06,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-1.9,-9
24,22,2000-12-17,21-026,VAN,,ORL,L (-10),0,12:04,3,6,.500,0,0,,3,5,.600,5,1,6,1,1,2,1,1,9,10.7,+3
25,23,2000-12-20,21-029,VAN,,WAS,W (+14),0,18:34,1,2,.500,0,0,,0,2,.000,2,3,5,0,2,0,2,2,2,1.7,+11
26,24,2000-12-22,21-031,VAN,,SAC,L (-2),0,8:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-7
27,25,2000-12-23,21-032,VAN,@,LAC,L (-2),0,11:36,1,3,.333,0,0,,0,0,,1,0,1,1,2,5,0,0,2,7.2,-1
28,26,2000-12-26,21-035,VAN,,PHO,L (-2),0,6:36,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-0.5,-3
29,27,2000-12-29,21-038,VAN,@,POR,L (-23),0,19:39,4,6,.667,0,0,,2,3,.667,1,1,2,0,2,2,1,0,10,10.4,-10
30,28,2000-12-30,21-039,VAN,,GSW,L (-1),0,6:04,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,1,2,2,1.3,-2
31,29,2001-01-03,21-043,VAN,,CHH,W (+10),0,13:08,0,1,.000,0,0,,0,2,.000,0,0,0,0,1,1,2,1,0,-2.2,+5
32,30,2001-01-05,21-045,VAN,@,PHO,L (-32),0,21:12,0,4,.000,0,0,,0,0,,3,3,6,1,2,0,1,3,0,0.7,-2
33,31,2001-01-07,21-047,VAN,,MIL,W (+3),0,9:42,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,1,1,4,4.0,-5
34,32,2001-01-09,21-049,VAN,,DEN,L (-7),0,10:12,0,0,,0,0,,4,6,.667,1,1,2,0,0,1,1,4,4,2.3,-1
35,33,2001-01-12,21-052,VAN,@,SEA,L (-13),0,12:12,0,1,.000,0,0,,1,2,.500,3,0,3,0,0,0,0,0,1,2.0,-18
36,34,2001-01-13,21-053,VAN,,CLE,W (+12),1,20:14,5,7,.714,0,0,,0,0,,1,2,3,0,0,4,1,3,10,9.0,+5
37,35,2001-01-15,21-055,VAN,@,LAL,L (-1),1,10:31,0,0,,0,0,,0,0,,0,6,6,0,0,0,2,4,0,-1.8,+9
38,36,2001-01-17,21-057,VAN,@,DEN,L (-24),1,26:03,7,11,.636,0,0,,1,2,.500,4,1,5,0,1,0,3,4,15,9.2,-4
39,37,2001-01-19,21-059,VAN,,MIA,L (-11),1,7:44,1,3,.333,0,0,,2,2,1.000,0,1,1,1,1,1,0,2,4,4.2,-4
40,38,2001-01-21,21-061,VAN,,MIN,L (-2),0,6:36,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-9
41,39,2001-01-23,21-063,VAN,@,SAS,L (-33),0,19:13,2,4,.500,0,0,,0,0,,0,4,4,0,0,2,2,2,4,1.8,-11
42,40,2001-01-25,21-065,VAN,@,DAL,L (-37),0,22:10,3,6,.500,0,0,,0,0,,2,3,5,1,0,0,1,2,6,4.2,-12
43,41,2001-01-26,21-066,VAN,@,HOU,L (-17),0,10:42,1,3,.333,0,0,,0,0,,0,0,0,0,1,1,1,0,2,1.0,-6
44,42,2001-01-29,21-069,VAN,,NJN,W (+11),0,7:26,0,0,,0,0,,0,0,,1,2,3,0,0,1,2,1,0,-0.4,-11
45,43,2001-01-31,21-071,VAN,@,PHO,L (-9),0,20:09,3,5,.600,0,0,,3,4,.750,3,5,8,0,1,2,0,4,9,10.7,-13
46,44,2001-02-02,21-073,VAN,@,SAC,L (-10),0,17:40,1,2,.500,0,0,,0,0,,2,1,3,0,2,0,2,4,2,1.1,+3
47,45,2001-02-03,21-074,VAN,,CHI,W (+7),0,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
48,46,2001-02-05,21-076,VAN,@,SEA,L (-13),0,24:28,2,5,.400,0,0,,0,0,,1,4,5,1,2,2,1,1,4,5.9,0
49,47,2001-02-07,21-078,VAN,,UTA,L (-10),0,31:16,3,4,.750,0,0,,2,2,1.000,2,5,7,1,1,3,1,2,8,11.3,-6
50,48,2001-02-13,21-084,VAN,,BOS,W (+1),0,16:56,0,4,.000,0,0,,0,0,,0,2,2,0,2,0,0,5,0,-2.2,-10
