model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,176,44,10.94487797130238,3.3083043952004143,0.3221544077466581,10.717770663174717,3.2738006449957697,-0.1049365783005615,4.568181818181818,46721555734869.2,-10.611520468309676,5.755196727832485,-2.409757549874738,0.6627419600803284,1.95975673613948,3.5744977622709744,5.122001574009072,-49799550941102.19,-1087858011514.1908,-29270130641157.74,-1087858011512.0548,5266430930129.456,1979856280126.413,1400246155915.0757,-1087858011513.331,-3087674094887.7764,-1087858011517.1704,61672603423.27067,-1087858011518.884,3238189368.0570507,-1087858011516.4644,1232608031.455273,-1087858011514.2672,-57365860.78713646,-1087858011512.302,2120048.507579554,-227606.9555348745,114877.41113210004,-1087858011511.7512,-1715.2415407299995,-1087858011513.704,198.6151580810547,-1087858011514.4236,-3.30670166015625,-1087858011512.6924,0.0,-1087858011516.5197,0.0,-1087858011517.2656,0.0,-1087858011514.8398,0.0,-1087858011515.004,0.0,-1087858011515.4766,0.0,-1087858011516.828,0.0,-1087858011515.1444,0.0,0.0,0.0,-1087858011515.4868,-45633697723350.08,-1087858011515.3544,0.0,0.0,0.0,0.0,0.0,-1087858011516.0244,0.0,0.0,0.0,0.0,0.0,-1087858011514.7284,0.0,0.0,0.0,-1087858011517.1896,0.0,0.0,0.0,-1087858011511.336,0.0,-1087858011515.2528,0.0,-1087858011516.4296,0.0,-1087858011514.9922,0.0,-1087858011516.9872,0.0,0.0,-45633697723350.98,-1087858011516.3096
"Random Forest (100 estimators, 20 depth)",176,44,2.2056728617230417,1.4851507875374277,0.8633967750767102,8.866215357577348,2.977619075297804,0.0859474448975056,4.568181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",176,44,3.132109498931789,1.7697766805254806,0.8060200740590714,9.836697511701075,3.136350986688364,-0.0141033272620096,4.568181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",176,44,7.163235415925247,2.676422129621044,0.5563616546763401,8.538269983189245,2.9220318244655115,0.1197566064511223,4.568181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),176,44,11.183007285264704,3.3441003700942806,0.3074064218596609,9.258852660953933,3.042836285598345,0.0454689412851158,4.568181818181818,3.7992668060733545,-2.555306610128215,3.265884634344902,0.1210100857815984,0.5420332967525785,2.108883206449232,0.3081245646654585,-0.1836619390966834,0.0,0.768916063785476,0.0,2.7329885487629,0.0,0.0,0.0,1.6007272356618998,0.0,-1.8480398430863465,0.0,-2.416459700525162,0.0,-1.4688587578178305,0.0,0.505970912739985,0.0,2.475827578483567,0.0,0.0,0.0,2.819378225329716,0.0,1.1722794306270157,0.0,0.7079906509719309,0.0,1.6627993428432015,0.0,-1.2585303568922044,0.0,-1.655286778666615,0.0,0.1140514602269095,0.0,-0.0511660222321011,0.0,-0.4342369182179645,0.0,-1.531829718927186,0.0,0.3110984157245284,0.0,0.0,0.0,-0.392493486613191,0.530598421917182,-0.3031027923557161,0.0,0.0,0.0,0.0,0.0,-0.6378909945176264,0.0,0.0,0.0,0.0,0.0,0.2626037175340327,0.0,0.0,0.0,-1.9899288447477723,0.0,0.0,0.0,2.8868068596170184,0.0,0.060648232556376,0.0,-1.097990536537466,0.0,-0.1732653240580315,0.0,-1.6250910436895492,0.0,0.0,-0.5305984219172155,-1.1979155559797905
Ridge (lambda=0.1),176,44,10.969146835321222,3.311970234667157,0.3206513720301064,10.303632081962032,3.209927114742955,-0.0622414244996267,4.568181818181818,3.702228220069101,-7.323248488789819,5.145969418758458,-1.1095324806104632,0.6205301442124995,2.016850353443441,1.9130404118890163,2.659380291245707,0.0,0.8665052945325621,0.0,3.121750007691902,0.0,0.0,0.0,1.7032351249146662,0.0,-2.062533862178795,0.0,-3.462896994972076,0.0,-1.4606001766923085,0.0,0.6869027052940355,0.0,2.716440524382821,0.0,0.0,0.0,3.308016564617388,0.0,1.3286475342913184,0.0,0.6830679671414068,0.0,2.1975353371959314,0.0,-1.469551973342051,0.0,-2.0430715607380674,0.0,0.1944093123291677,0.0,0.0385119067701055,0.0,-0.446158877804321,0.0,-1.7448364401310013,0.0,0.1312536800205633,0.0,0.0,0.0,-0.4666919975469242,0.4764362141777305,-0.3600151076931562,0.0,0.0,0.0,0.0,0.0,-0.8566398198778811,0.0,0.0,0.0,0.0,0.0,0.3286495815167002,0.0,0.0,0.0,-2.151238528661904,0.0,0.0,0.0,3.811203468255981,0.0,-0.0322264024010107,0.0,-1.386325892817828,0.0,-0.0388358534651828,0.0,-1.8654475914298485,0.0,0.0,-0.4764362141781428,-1.2690579292026087
Lasso (lambda=0.1),176,44,14.236565721206915,3.773137384353625,0.1182913735312474,7.655734963801266,2.7668998832269422,0.21074056712715,4.568181818181818,3.703349654350765,0.0,0.3750799345414566,0.0,0.0172939999972989,1.9119889485352497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.7862546405438611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.8244941857789889,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
Lasso (lambda=1.0),176,44,16.14656508264463,4.01827887069136,0.0,9.85808367768595,3.1397585381181705,-0.0163081101230095,4.568181818181818,4.965909090909091,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",176,44,7.409409562783448,2.722023064337157,0.5411154307520453,8.495390346746563,2.9146852912015326,0.124177234607735,4.568181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),176,44,11.142128421494736,3.337982687416868,0.3099381593258485,9.440477680956157,3.072536034118421,0.0267445130022305,4.568181818181818,3.2542006891145725,-3.4651996406031444,4.299950767968786,0.0,0.5012960005603998,1.9642091259237693,0.2522372183891417,0.0,0.0,0.8071821614105577,0.0,3.0945517893714056,0.0,0.0,0.0,1.634124118733941,0.0,-1.7110210958586771,0.0,-2.593271439133064,0.0,-1.2521575535224403,0.0,0.5073233165750234,0.0,2.617723929759694,0.0,0.0,0.0,3.1916026777916926,0.0,1.167359577770235,0.0,0.7063002112558278,0.0,1.7119156658936996,0.0,-1.107387709598442,0.0,-1.5794536798282994,0.0,0.0,0.0,0.0,0.0,-0.1896239089464646,0.0,-1.3486875322326404,0.0,0.0334868414604551,0.0,0.0,0.0,-0.0,1.0025494147411085,-0.0,0.0,0.0,0.0,0.0,0.0,-0.3316731807272749,0.0,0.0,0.0,0.0,0.0,0.1798923669171981,0.0,0.0,0.0,-1.87686976333844,0.0,0.0,0.0,3.5270576747201057,0.0,0.0,0.0,-0.7064902250688773,0.0,-0.0,0.0,-1.4797793266048345,0.0,0.0,-2.3932987883799097e-05,-0.91835182283121
