model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,122,31,17.935700963755124,4.235056193695088,0.4964595833216426,26.968434979838708,5.193114188985132,-0.2577242558296124,6.096774193548387,115955327502833.0,-14.032761895769312,9.489843619199537,11.47308318825956,0.4818665996734097,2.7465903857230574,-22.096072191250645,12.844536861024183,186840651303343.38,-5647986165575.905,33316171098168.266,-5647986165576.93,28254398540628.395,-26201577161515.777,17695792408726.3,-5647986165572.238,1028037985551.4608,-5647986165574.203,-110307341337254.23,-5647986165576.978,-272198367189.0613,-5647986165573.387,452116058867.1143,-5647986165568.813,5142507742.212409,-5647986165566.563,-110307341337253.3,-5647986165571.332,427721430.251924,-5647986165573.395,-115240824.14443716,-5647986165571.689,-579143.4475491121,-5647986165571.127,-2644.194677591324,-5647986165574.316,81.34524536132812,-5647986165575.211,-0.2109375,-5647986165575.852,0.0,-5647986165578.102,0.0,-5647986165572.953,-110307341337249.66,-5647986165573.355,0.0,-5647986165572.477,0.0,-5647986165569.219,0.0,0.0,0.0,-5647986165573.711,0.0,-5647986165576.793,0.0,0.0,0.0,-5647986165568.744,0.0,-5647986165575.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5647986165567.297,0.0,-5647986165572.344,0.0,-5647986165574.887,0.0,-5647986165574.16,0.0,0.0,0.0,-5647986165561.789,0.0,-5647986165574.932,0.0,0.0,-110307341337251.72,-5647986165568.109
"Random Forest (100 estimators, 20 depth)",122,31,4.028151618909135,2.007025565086089,0.8869106287661678,12.964329152603742,3.600601220991259,0.3953838534576243,6.096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",122,31,5.243265177534874,2.289817717097777,0.8527966128791732,13.699827040597148,3.701327740230139,0.3610825106273,6.096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",122,31,11.25030024026428,3.3541467231271023,0.6841505730839724,13.027880057408092,3.6094154730936814,0.3924200361463081,6.096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),122,31,19.88340498996165,4.459081182257355,0.4417782692818921,23.054695199756605,4.801530505969592,-0.0751995577485242,6.096774193548387,6.503214392478352,-2.24071691606153,2.774831207159038,1.5547405726623642,0.4653964790580456,2.2724688789856224,-4.728299052779294,3.264852200513952,0.0,-2.9858605439159667,0.0,-3.332744769671962,0.0,0.0,0.0,0.2963077231316648,0.0,-0.685859655772328,-1.0204278071505968,-3.827218014042488,0.0,0.1044631590220714,0.0,2.673991804396153,0.0,4.910647100149573,0.7286308456030263,-0.5223318684416712,0.0,-0.1805298739568885,0.0,0.9561502359334806,0.0,1.4519547850489405,0.0,-1.40305474170923,0.0,-1.2138663102875065,0.0,-3.033691698738997,0.0,-3.6407893497445096,0.0,0.2383813405196858,1.541804235452244,-1.3711028266008485,0.0,0.2932684643906365,0.0,3.4081688371327217,0.0,0.0,0.0,-0.588930290544231,0.0,-3.304352912061479,0.0,0.0,0.0,2.7026809020813825,0.0,-2.478143302788982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.820409258988752,0.0,0.6742556474512409,0.0,-1.8674249065218085,0.0,-0.8360514014252978,0.0,0.0,0.0,7.699122633192617,0.0,-1.8603956048978567,0.0,0.0,-1.2500072739047017,3.902546179683112
Ridge (lambda=0.1),122,31,18.11659210474508,4.25635901971921,0.4913811087924579,25.956540937366725,5.094756219620987,-0.2105326526647295,6.096774193548387,7.662152939143356,-10.139332482083558,6.815306276014143,7.032017639894271,0.4946729301886289,2.99095812874577,-15.144911135003628,9.607076600404111,0.0,-3.455760349487793,0.0,-4.109261521978235,0.0,0.0,0.0,0.3476703097870458,0.0,-1.2637024661139298,-1.677120432969621,-4.448019002776022,0.0,-0.3990841925426924,0.0,3.634969521640473,0.0,6.007829952923456,-0.4374157082636264,0.5104018629440202,0.0,-0.5444077234855761,0.0,1.1809366468020737,0.0,1.605057760135828,0.0,-1.6507317265509736,0.0,-2.361800399863695,0.0,-3.3119261255338155,0.0,-5.245308018309501,0.0,-0.0281728845749135,2.270112033753452,-1.0727053024998354,0.0,0.2225386946976396,0.0,3.5565290680941217,0.0,0.0,0.0,-0.940038788941947,0.0,-3.986256371375673,0.0,0.0,0.0,3.7405159604505847,0.0,-2.937341688531554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009584564557836,0.0,0.4170776618179978,0.0,-2.238279317448733,0.0,-1.3136045342379543,0.0,0.0,0.0,10.707059780999275,0.0,-2.230177605783263,0.0,0.0,-0.1555758925209109,4.596406235185632
Lasso (lambda=0.1),122,31,25.503221999660813,5.050071484608987,0.2840032815945654,18.920777029947725,4.349801952956907,0.1175935782888596,6.096774193548387,7.121605360357907,0.0,3.0286908072195176,-0.0,0.0,0.0,-2.373897972433205,0.0,0.0,-0.0,0.0,-0.4841816788987055,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.2433207698958524,0.0,0.0,0.0,0.0,0.0,2.962059703561327,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.9997785505838952,0.0,-0.0,0.0,0.0,1.4053120853355434,-0.0,0.0,0.0,0.0,2.5093196658592,0.0,0.0,0.0,-0.0,0.0,-1.3960591454693991,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0733871715289984,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,6.0791957440951085,0.0,-0.0,0.0,0.0,-1.2557543733306455,2.4548093193683886
Lasso (lambda=1.0),122,31,35.61918839021768,5.968181330205851,0.0,22.998474222156723,4.795672447337988,-0.0725775855329811,6.096774193548387,7.344262295081967,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
"Random Forest (50 estimators, 5 depth)",122,31,10.908317243091316,3.3027741737956164,0.6937516620651825,11.679681260644166,3.41755486578404,0.4552958511366086,6.096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),122,31,18.28386372481754,4.275963484972427,0.4866849989810843,25.41019665984182,5.040852771093579,-0.1850528482047937,6.096774193548387,6.541461340008022,-8.343933659265845,4.41401282974261,6.863246792288823,0.4677401784183414,2.503525388412832,-15.769709409700477,10.395864113846637,0.0,-2.450958888382011,0.0,-3.2371033442087342,0.0,0.0,0.0,0.8892471212912432,0.0,-0.3351520685987653,-1.0464483645051867,-3.5608410612841706,0.0,0.0848689041881375,0.0,3.977970156936509,0.0,6.444330251297847,-0.0,0.0,0.0,0.0,0.0,0.6915751425746371,0.0,1.918721612821834,0.0,-0.6957147820892047,0.0,-1.2251454085155111,0.0,-2.478797875314267,0.0,-4.195786192712179,0.0,0.2364971675945982,1.940573722059293,-0.1196572322001262,0.0,0.6503160306622924,0.0,4.131474697559917,0.0,0.0,0.0,-0.0,0.0,-3.1073750457777303,0.0,0.0,0.0,3.915355743793036,0.0,-1.9556010082334847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.570253263655045,0.0,0.9664907763665288,0.0,-1.191487900834148,0.0,-0.4606323940502922,0.0,0.0,0.0,11.334936349927128,0.0,-1.243803459508964,0.0,0.0,0.0,5.117818293648346
