model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,250,63,11.083037841796877,3.3291196797046627,0.3785645455324044,21.11880638485863,4.595520251816831,-0.0494884376909892,4.936507936507937,-58884088341771.35,27.86507469780039,-19.55198428596619,-12.818984101197133,0.5671629172852111,7.668200626759761,-7.922149898649161,-4.523978012317499,-10562346217845.014,3945111252032.006,-11100164347331.69,3945111252033.404,-6261241754232.42,-2370544974563.859,8331316031064.963,3945111252033.4814,-3695688596197.076,3945111252035.773,-1813880720722.692,3945111252033.713,-752641589155.3236,3945111252035.634,-193423240264.05963,3945111252036.006,20602097305.44648,3945111252034.5273,-56368358892.18024,-51921436598.88645,7699293130.071156,3945111252034.338,54938977089753.91,3945111252038.964,36104715.744890414,3945111252033.994,-822545.2944620326,3945111252032.196,54938977089750.8,3945111252031.824,54938977089746.11,3945111252035.9688,4.076904296875,3945111252033.001,0.0,3945111252033.998,54938977089741.85,3945111252034.665,0.0,3945111252033.514,0.0,3945111252034.7344,0.0,0.0,0.0,3945111252032.2456,54938977089756.41,3945111252035.133,0.0,0.0,0.0,3945111252032.528,0.0,3945111252034.418,0.0,0.0,0.0,0.0,0.0,3945111252034.092,0.0,0.0,0.0,3945111252034.459,0.0,3945111252033.351,0.0,3945111252034.967,0.0,3945111252036.807,0.0,3945111252033.773,0.0,3945111252033.8506,0.0,3945111252033.3154,0.0,0.0,54938977089740.84,3945111252032.8247
"Random Forest (100 estimators, 20 depth)",250,63,2.201137514005296,1.483623103758261,0.876580328346169,18.276848219714623,4.275143064239445,0.0917412407466399,4.936507936507937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",250,63,4.325702293906783,2.079832275426743,0.757454155685743,18.09638975371767,4.253985161436,0.100709033248542,4.936507936507937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",250,63,8.825880398390243,2.970838332590692,0.5051253027607585,17.31397285518057,4.161006231091293,0.1395908466192756,4.936507936507937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),250,63,11.826349153857214,3.438945936454543,0.3368864416032535,19.69517277747712,4.437924377169706,0.0212583168001365,4.936507936507937,4.507646851711813,3.938108472578605,-1.7658268751671773,-0.4127618783244245,0.3423811946198209,6.400090062799738,-3.420751155741536,1.306814513898056,0.0,-2.064760620250064,0.0,-0.8701290234552355,0.0,0.0,0.0,0.0903533430472444,0.0,1.0472723493979357,0.0,-0.0999674928403004,0.0,1.2690583090012777,0.0,1.5438189094733852,0.0,0.5793749301428142,0.0,0.0,0.0,-0.291812870915362,-0.0568648122870307,3.1083386611867736,0.0,-0.6871602428388509,0.0,-1.4531909112551555,3.0268162304446937,-2.415135428035807,-0.6982225729216807,1.087481003421378,0.0,-0.8776230516374132,0.0,0.5411009032538258,-1.1123633697222213,0.6433519125984951,0.0,0.1521283339565643,0.0,0.5203540085685369,0.0,0.0,0.0,-1.882861368562356,1.9698728219327657,0.8956895633500939,0.0,0.0,0.0,-1.189229028608746,0.0,0.2874285863883151,0.0,0.0,0.0,0.0,0.0,0.1868020234325184,0.0,0.0,0.0,0.1083475491109125,0.0,-0.7190803846413439,0.0,0.8140110004227102,0.0,1.913352286397488,0.0,-0.479826467211839,0.0,-0.1768981833304744,0.0,-0.48832543649275,0.0,0.0,-3.1292382974461708,-1.0922631630740882
Ridge (lambda=0.1),250,63,11.230766088403124,3.351233517438485,0.3702812958153239,20.577671979297765,4.536261894919402,-0.0225970361826117,4.936507936507937,7.854794893432313,15.599420058343124,-10.65515189581384,-5.108942455673253,0.4953414255414938,7.282785077767138,-7.858773823735222,-0.7905072280989928,0.0,-2.210951554636465,0.0,-0.8704205914231825,0.0,0.0,0.0,-0.3607957746517213,0.0,1.4258193290754209,0.0,-0.2386602401374147,0.0,1.5013446953721292,0.0,1.7198126218701206,0.0,0.4766210287400095,0.0,0.0,0.0,-0.0261423885317142,2.920481992827928,4.565499397072958,0.0,-0.4181334940801531,0.0,-1.82804157475746,2.827335668269124,-2.6055515482527705,-1.4898384075333195,1.598178606673909,0.0,-1.1439184903708024,0.0,0.1901796799484391,-3.915921505760384,0.5795052544566924,0.0,-0.3187233915351631,0.0,0.5625327492146605,0.0,0.0,0.0,-1.9857442154277625,5.268759432453811,0.9519095810842833,0.0,0.0,0.0,-1.6595633216171974,0.0,0.1816240494907577,0.0,0.0,0.0,0.0,0.0,0.0008513713008513,0.0,0.0,0.0,0.1975339996315389,0.0,-0.7733513448314782,0.0,0.851542838855836,0.0,2.437386368244095,0.0,-0.5702370439162472,0.0,-0.2607296124208094,0.0,-0.6500523474941016,0.0,0.0,-5.610817180249785,-1.3193246369401477
Lasso (lambda=0.1),250,63,14.282431295552684,3.779210406361716,0.1991718056233754,16.951688209135447,4.117242792104377,0.1575943994834151,4.936507936507937,3.718058817473815,1.6793182250024552,0.0,0.0,0.0,4.320456536210944,0.0,0.0,0.0,-0.4348014649544451,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3206669143134081,0.0,0.0,-0.0,0.0,-0.0,2.4009358977284414,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.2891504080163034,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
Lasso (lambda=1.0),250,63,17.834576000000002,4.223100282967479,0.0,20.12764622222221,4.486384537934997,-0.0002332330345069,4.936507936507937,4.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",250,63,8.949122022234937,2.991508318931261,0.4982150390211163,16.178245120271928,4.022218929928098,0.1960302639059536,4.936507936507937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),250,63,11.804690468138984,3.435795463664708,0.3381008627208753,19.53911545275635,4.420307167240344,0.0290135068864881,4.936507936507937,4.009168905719656,6.295167826250458,-2.7719278387962274,0.0,0.3565051967813217,6.8158665049943,-4.159147931760946,0.0,0.0,-2.027767296270817,0.0,-0.5110901309235618,0.0,0.0,0.0,0.0,0.0,0.95068632963828,0.0,-0.0,0.0,1.1684741914863743,0.0,1.4650283642851272,0.0,0.3629190218885681,0.0,0.0,0.0,-0.0,0.610821974051578,3.507360900335549,0.0,-0.4204335349522899,0.0,-1.3147022037538711,3.616384832254575,-2.390705125392547,-0.0968034259123672,0.790730738460787,0.0,-0.6212265782333345,0.0,0.1953048024802978,-0.5305576332788756,0.4777550186652472,0.0,0.0,0.0,0.3413216562768406,0.0,0.0,0.0,-1.7979921143427553,2.614633053419498,0.7353164642908173,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0558241444636254,0.0,0.5748827276140182,0.0,1.8774716279692425,0.0,-0.0,0.0,-0.0,0.0,-0.3323714916898044,0.0,0.0,-2.414888758493663,-0.9012598935503924
