Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-28,23-217,PHI,@,BOS,L (-17),0,27:35,2,5,.400,0,1,.000,0,0,,1,0,1,4,3,1,3,4,4,3.9,-19
2,2,2015-10-30,23-219,PHI,,UTA,L (-28),0,26:29,1,4,.250,0,0,,0,0,,1,1,2,4,2,0,3,1,2,2.0,-2
3,3,2015-11-02,23-222,PHI,,CLE,L (-7),0,23:06,3,4,.750,0,0,,0,0,,1,6,7,12,1,0,0,1,6,15.9,+12
4,4,2015-11-04,23-224,PHI,@,MIL,L (-4),1,34:33,3,4,.750,1,1,1.000,0,0,,1,8,9,12,0,0,1,2,7,15.1,+4
5,5,2015-11-06,23-226,PHI,@,CLE,L (-6),1,24:34,3,6,.500,2,4,.500,0,0,,0,1,1,4,1,0,3,1,8,5.7,-16
6,6,2015-11-07,23-227,PHI,,ORL,L (-8),1,36:29,3,9,.333,0,1,.000,0,0,,2,6,8,9,3,2,5,3,6,8.6,+3
7,7,2015-11-09,23-229,PHI,,CHI,L (-23),1,28:58,3,8,.375,0,2,.000,0,0,,0,5,5,8,0,2,2,0,6,8.1,-18
8,8,2015-11-11,23-231,PHI,,TOR,L (-16),1,30:34,1,5,.200,0,2,.000,0,0,,0,4,4,13,0,0,2,3,2,6.0,-13
9,9,2015-11-13,23-233,PHI,@,OKC,L (-17),1,33:34,5,8,.625,0,1,.000,0,0,,0,4,4,3,0,0,2,1,10,7.3,-24
10,10,2015-11-14,23-234,PHI,@,SAS,L (-9),1,25:47,4,6,.667,0,0,,0,0,,0,5,5,1,2,0,3,2,8,5.8,-20
11,11,2015-11-16,23-236,PHI,,DAL,L (-6),1,34:22,6,9,.667,1,3,.333,0,0,,1,6,7,6,2,1,4,4,13,12.9,+5
12,12,2015-11-18,23-238,PHI,,IND,L (-27),1,20:05,7,9,.778,2,3,.667,0,0,,0,6,6,3,0,0,5,0,16,11.4,-9
13,13,2015-11-20,23-240,PHI,@,CHO,L (-25),1,27:08,2,8,.250,1,3,.333,0,0,,1,6,7,6,1,0,1,2,5,6.1,-12
14,14,2015-11-21,23-241,PHI,@,MIA,L (-5),1,29:35,3,6,.500,0,1,.000,0,0,,2,3,5,5,2,0,5,4,6,4.2,-19
15,15,2015-11-23,23-243,PHI,@,MIN,L (-5),1,26:02,2,9,.222,0,2,.000,0,0,,1,2,3,8,3,0,3,4,4,3.8,-4
16,16,2015-11-25,23-245,PHI,@,BOS,L (-4),1,20:20,3,4,.750,0,0,,0,0,,1,2,3,1,1,1,4,1,6,3.7,-5
