model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,152,39,14.495324261798975,3.807272548925146,0.4213051449336055,21.67603239332817,4.655752612986237,0.3137697679158238,5.717948717948718,9.065866695597084,1.9739068709745933,1.973906870974595,-18.94489642621503,-0.126180435892965,2.982855188192885,9.5932277470835,-1.9543956417982389,0.207600471572527,-3.544186358338109,3.6659714339126337,-4.3798241887979525,1.3988810110276972e-14,0.5389013237975677,-2.882242798471094,0.5734925674967796,1.3322676295501878e-14,1.170915330897019,3.552713678800501e-15,-0.956599187924537,0.0,1.7763568394002505e-15,8.881784197001252e-16,0.3144495505201794,-0.99132910701415,0.0,-4.440892098500626e-16,1.937085292809652,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,-1.183623897126008,0.0,0.0,0.0,3.186862315811496,0.0,0.1766644115463323,0.0,0.970063309232422,0.0,4.785231932449571,0.0,0.4561783456374352,0.0,-3.288559357089581,0.0,-0.3902530808373601,0.0,0.0,0.0,0.0,0.0,2.7674976833223592,0.0,0.0,0.0,0.0,0.0,-1.2127378123815764,0.0,-2.2575910014775737,0.0,-0.1897637732784485,0.0,0.0,0.0,0.0,0.0,-0.5572826506444111,0.0,0.0,0.0,-2.0121340554032656,0.0,-0.894067484651061,0.0,0.0,0.0,1.0758843062810344,0.0,0.5845827702193167,0.0,0.0,0.0,2.328813707928775
"Random Forest (100 estimators, 20 depth)",152,39,3.3849889060565794,1.8398339343692351,0.8648615492132044,10.861951326190324,3.295747460924505,0.6561271341450445,5.717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",152,39,4.412941465869227,2.100700232272379,0.8238227392582154,12.56841372282131,3.545195865226816,0.6021031289565562,5.717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",152,39,8.833543360724146,2.9721277497315195,0.647339652254006,13.220397095189842,3.6359863992030887,0.5814623265801401,5.717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),152,39,14.80289042011247,3.8474524584603342,0.4090262231106821,17.85432013346344,4.22543727127305,0.4347593680168617,5.717948717948718,7.513404516194747,1.7690019466939784,1.7690019466939784,-4.389514011035061,-0.1579323088735823,3.5238765448918423,-3.2483055928407447,-0.5127535484764515,-0.3627547688145255,-2.7473269943260674,1.7613070661350765,-2.3631970709534857,0.0,0.2204984236439535,-0.5457053180412997,0.3568847567655697,0.0,1.0415442157638717,0.0,-0.4786924479534628,0.0,0.0,0.0,0.2290187445522666,-0.8528469792792595,0.0,0.0,1.5688675968033043,0.0,0.0,0.0,0.0,0.0,-1.4219938801121532,0.0,0.0,0.0,2.1825042244792527,0.0,-0.1001277982438655,0.0,0.6001797136104027,0.0,3.598554737736958,0.0,0.3028489889469979,0.0,-1.4260735818030483,0.0,-0.5717774626858879,0.0,0.0,0.0,0.0,0.0,2.3386464510998515,0.0,0.0,0.0,0.0,0.0,-0.8687124509313037,0.0,-2.117785273083426,0.0,-0.4386521819609667,0.0,0.0,0.0,0.0,0.0,-0.6444984459162725,0.0,0.0,0.0,-1.6016499447264891,0.0,-0.6301351160099863,0.0,0.0,0.0,0.6694252416981032,0.0,0.4764545689069708,0.0,0.0,0.0,1.825194984698887
Ridge (lambda=0.1),152,39,14.559877645676924,3.8157407728614015,0.4187279889864465,20.015263984736432,4.473842194885335,0.3663471709103297,5.717948717948718,8.818846675771656,1.6487053803898446,1.6487053803898526,-9.39397428356704,-0.1471747667563531,3.3888149480005376,-0.367191536921284,-0.5319292796858753,0.2325522020597235,-3.345636756790736,3.08124667011967,-3.657698733016218,0.0,0.4427697356878407,-2.2382574239932818,0.5457808535550425,0.0,1.2168944361989311,0.0,-0.6700430771584599,0.0,0.0,0.0,0.2630963925126289,-1.075541448186599,0.0,0.0,1.8770897526102708,0.0,0.0,0.0,0.0,0.0,-1.3567635093790529,0.0,0.0,0.0,2.7833639204282448,0.0,0.0849942120458283,0.0,0.9503146369126312,0.0,4.400236939230089,0.0,0.4513065395484525,0.0,-2.770207527300656,0.0,-0.5156196497429971,0.0,0.0,0.0,0.0,0.0,2.733562368939483,0.0,0.0,0.0,0.0,0.0,-1.0780146884837198,0.0,-2.340307694954103,0.0,-0.3407887485505098,0.0,0.0,0.0,0.0,0.0,-0.5887203618582734,0.0,0.0,0.0,-1.9150128388492456,0.0,-0.7117317904884927,0.0,0.0,0.0,0.7711859117794673,0.0,0.5943958468108255,0.0,0.0,0.0,2.175553830312392
Lasso (lambda=0.1),152,39,17.738424057781828,4.211700850936808,0.2918313137514924,16.35930755857988,4.044664084764009,0.482089193310299,5.717948717948718,5.48490303458518,1.3469984462287004,1.556970140408309e-15,-3.999189451954085,-0.0,3.3910512795536087,-0.0,-0.0,-0.0,-0.2840933783741138,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0996506445520588,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.3131722391744638,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.4483874626402248,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2719930328572723,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2697217288199353
Lasso (lambda=1.0),152,39,23.855083996463303,4.884166663460953,0.0476367326040957,29.299746028641884,5.412923981420937,0.0724145843484241,5.717948717948718,5.195402298850574,0.0,0.0,-0.0,-0.0,0.558443854995581,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",152,39,8.944157940791927,2.990678508431143,0.6429236014486266,13.434745950417035,3.665343906159016,0.5746763676924421,5.717948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),152,39,14.694171278154172,3.833297702782054,0.4133666025987289,18.499343385054097,4.301086302906987,0.4143389124829888,5.717948717948718,7.536382797229174,2.7704357296975,5.319647979728389e-15,-8.910008646170287,-0.1372878226489329,3.4252627057308724,-0.0,-0.2530998675918149,0.0,-3.2708274512246027,3.4699703439139724,-3.11730154094537,0.0,0.0,-0.0,0.0926037976261895,0.0,0.9305396748492007,0.0,-0.2533033572223208,0.0,0.0,0.0,0.0,-0.000931598143284,0.0,0.0,1.6198917969377142,0.0,0.0,0.0,0.0,0.0,-1.46980268117516,0.0,0.0,0.0,2.331296321934472,0.0,-0.0,0.0,0.3410942964978856,0.0,4.056807841755092,0.0,0.1111997119174358,0.0,-1.5496306417622172,0.0,-0.3744667620929792,0.0,0.0,0.0,0.0,0.0,2.3790355581894564,0.0,0.0,0.0,0.0,0.0,-0.5495164972311015,0.0,-2.2913016307686696,0.0,-0.3052330679424282,0.0,0.0,0.0,0.0,0.0,-0.4973720344379057,0.0,0.0,0.0,-1.7852393070472203,0.0,-0.622667977967638,0.0,0.0,0.0,0.3608771138020202,0.0,0.2831332774536102,0.0,0.0,0.0,1.8723530568843816
