Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2009-10-28,23-226,NYK,@,MIA,L (-22),0,6:13,1,4,.250,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,2,3,-0.9,-4
2,2,2009-10-30,23-228,NYK,@,CHA,L (-2),0,2:26,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-6
4,3,2009-11-02,23-231,NYK,,NOH,W (+6),0,6:21,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-1.2,-4
5,4,2009-11-04,23-233,NYK,,IND,L (-12),0,11:35,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,2.3,-6
6,5,2009-11-06,23-235,NYK,,CLE,L (-9),0,14:41,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,3,2,0.8,-12
7,6,2009-11-07,23-236,NYK,@,MIL,L (-15),0,17:11,6,9,.667,4,5,.800,0,0,,0,0,0,1,1,0,1,2,16,12.0,-3
8,7,2009-11-09,23-238,NYK,,UTA,L (-2),0,23:19,9,14,.643,3,7,.429,0,0,,1,1,2,1,2,0,2,2,21,15.7,+5
9,8,2009-11-11,23-240,NYK,,ATL,L (-13),1,35:44,10,19,.526,2,6,.333,1,1,1.000,0,4,4,1,0,0,3,4,23,11.0,0
10,9,2009-11-13,23-242,NYK,,GSW,L (-14),0,27:44,7,16,.438,0,2,.000,1,2,.500,2,1,3,3,1,0,1,1,15,9.6,-13
11,10,2009-11-18,23-247,NYK,@,IND,W (+7),1,12:22,1,2,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,2,4,1.2,-17
12,11,2009-11-21,23-250,NYK,@,NJN,W (+7),0,9:10,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,1.6,+1
13,12,2009-11-22,23-251,NYK,,BOS,L (-2),0,6:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
14,13,2009-11-24,23-253,NYK,@,LAL,L (-10),0,16:50,5,8,.625,2,3,.667,0,0,,0,0,0,0,1,0,1,1,12,8.0,+8
15,14,2009-11-25,23-254,NYK,@,SAC,L (-14),0,15:46,1,6,.167,0,4,.000,0,0,,2,0,2,2,1,0,1,3,2,-0.2,-11
18,15,2009-12-01,23-260,NYK,,PHO,W (+27),0,8:53,2,3,.667,2,2,1.000,0,0,,1,0,1,2,0,0,1,2,6,5.0,+1
19,16,2009-12-02,23-261,NYK,@,ORL,L (-14),0,20:46,7,11,.636,2,5,.400,1,2,.500,1,0,1,1,1,0,0,4,17,12.5,+10
20,17,2009-12-04,23-263,NYK,@,ATL,W (+7),0,11:30,3,5,.600,0,1,.000,0,0,,1,0,1,0,1,0,1,0,6,4.4,+7
21,18,2009-12-06,23-265,NYK,,NJN,W (+9),0,5:30,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-0.4,-3
22,19,2009-12-07,23-266,NYK,,POR,W (+9),0,11:06,1,3,.333,1,1,1.000,0,0,,1,0,1,2,1,0,1,2,3,2.6,-3
25,20,2009-12-17,23-276,NYK,@,CHI,L (-9),0,4:15,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,4,2,-1.3,-10
26,21,2009-12-18,23-277,NYK,,LAC,W (+4),0,10:44,3,4,.750,1,2,.500,0,0,,1,0,1,0,0,0,1,1,7,4.7,0
27,22,2009-12-20,23-279,NYK,,CHA,W (+4),0,14:52,0,3,.000,0,2,.000,2,2,1.000,0,2,2,4,2,0,1,1,2,3.9,+4
31,23,2009-12-29,23-288,NYK,@,DET,W (+17),0,13:15,0,3,.000,0,2,.000,2,2,1.000,0,2,2,1,0,0,1,1,2,-0.2,+2
32,24,2009-12-30,23-289,NYK,@,NJN,L (-9),0,6:32,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-6
34,25,2010-01-03,23-293,NYK,,IND,W (+43),0,12:00,3,5,.600,1,2,.500,0,0,,0,2,2,2,2,0,1,0,7,7.7,-2
37,26,2010-01-11,23-301,NYK,@,OKC,L (-18),0,7:54,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,2,0,5,1.0,+9
43,27,2010-01-24,23-314,NYK,,DAL,L (-50),0,25:01,2,7,.286,2,5,.400,2,2,1.000,2,1,3,1,0,0,1,2,8,4.5,-26
44,28,2010-01-26,23-316,NYK,,MIN,W (+27),0,13:21,3,4,.750,3,4,.750,0,0,,0,1,1,2,0,1,0,4,9,8.2,+2
47,29,2010-01-31,23-321,NYK,@,MIN,L (-21),0,2:47,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
52,30,2010-02-16,23-337,NYK,@,CHI,L (-33),0,24:03,2,7,.286,1,5,.200,0,0,,0,1,1,1,2,0,1,2,5,2.1,-7
53,31,2010-02-17,23-338,NYK,,CHI,L (-6),0,27:35,2,8,.250,2,5,.400,0,0,,2,3,5,3,0,1,0,2,6,5.5,-4
55,32,2010-02-22,23-343,NYK,,MIL,L (-16),0,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
57,33,2010-02-26,23-347,NYK,@,WAS,W (+2),0,7:32,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,2,0.9,-4
58,34,2010-02-27,23-348,NYK,,MEM,L (-11),0,9:44,2,2,1.000,0,0,,3,3,1.000,1,1,2,3,1,0,0,2,7,9.7,+1
59,35,2010-03-01,23-350,NYK,@,CLE,L (-31),0,21:28,2,6,.333,1,3,.333,1,2,.500,0,3,3,6,0,0,0,2,6,6.5,-1
60,36,2010-03-03,23-352,NYK,,DET,W (+24),0,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
63,37,2010-03-08,23-357,NYK,,ATL,W (+1),0,23:34,4,8,.500,1,1,1.000,2,2,1.000,0,1,1,3,0,0,1,4,11,6.8,-5
64,38,2010-03-10,23-359,NYK,@,SAS,L (-10),0,22:45,0,3,.000,0,0,,2,2,1.000,1,2,3,2,1,0,0,3,2,2.4,+1
65,39,2010-03-12,23-361,NYK,@,MEM,L (-7),0,25:42,8,13,.615,2,4,.500,1,1,1.000,1,5,6,1,1,0,2,3,19,13.8,+19
66,40,2010-03-13,23-362,NYK,@,DAL,W (+34),1,30:52,8,10,.800,4,4,1.000,1,2,.500,0,2,2,8,1,1,0,2,21,23.9,+22
67,41,2010-03-15,23-364,NYK,@,PHI,W (+10),1,36:52,7,13,.538,2,6,.333,4,4,1.000,0,1,1,7,3,0,3,2,20,18.1,+15
68,42,2010-03-17,24-001,NYK,@,BOS,L (-12),1,41:29,5,13,.385,1,6,.167,0,0,,5,2,7,3,3,0,3,1,11,9.7,-16
69,43,2010-03-19,24-003,NYK,,PHI,W (+4),1,23:31,7,13,.538,4,7,.571,4,5,.800,1,4,5,2,2,0,2,5,22,16.6,+4
70,44,2010-03-21,24-005,NYK,,HOU,L (-4),1,37:02,10,19,.526,6,10,.600,0,0,,0,3,3,4,2,0,5,5,26,15.4,+5
71,45,2010-03-23,24-007,NYK,,DEN,W (+5),1,35:22,5,11,.455,2,5,.400,4,6,.667,0,2,2,7,0,0,2,3,16,11.8,+7
72,46,2010-03-26,24-010,NYK,@,PHO,L (-36),1,36:57,2,11,.182,1,5,.200,0,0,,1,1,2,4,1,0,2,5,5,-1.1,-32
73,47,2010-03-29,24-013,NYK,@,UTA,L (-5),1,28:45,2,7,.286,0,2,.000,1,2,.500,3,3,6,1,2,0,0,3,5,5.0,-8
74,48,2010-03-31,24-015,NYK,@,POR,L (-28),1,30:53,4,10,.400,2,4,.500,4,5,.800,1,2,3,3,1,0,1,5,14,9.6,-14
75,49,2010-04-02,24-017,NYK,@,GSW,L (-11),1,23:46,3,6,.500,1,3,.333,0,0,,3,3,6,5,1,0,2,1,7,9.1,+3
76,50,2010-04-04,24-019,NYK,@,LAC,W (+6),0,30:15,4,8,.500,3,4,.750,2,2,1.000,1,1,2,4,1,0,0,4,13,12.2,+12
77,51,2010-04-06,24-021,NYK,,BOS,W (+3),0,29:19,4,14,.286,1,5,.200,1,2,.500,1,0,1,4,1,0,0,1,10,5.5,-2
78,52,2010-04-07,24-022,NYK,@,IND,L (-8),0,31:23,7,14,.500,4,10,.400,2,2,1.000,3,2,5,1,0,0,1,5,20,13.4,0
79,53,2010-04-09,24-024,NYK,@,ORL,L (-15),0,28:55,4,10,.400,2,6,.333,2,4,.500,0,2,2,2,2,0,0,3,12,8.6,-6
80,54,2010-04-11,24-026,NYK,,MIA,L (-13),0,25:05,3,9,.333,0,3,.000,1,2,.500,1,1,2,3,1,0,0,3,7,4.4,-4
81,55,2010-04-12,24-027,NYK,,WAS,W (+11),0,38:37,5,10,.500,2,5,.400,4,4,1.000,2,1,3,5,2,0,2,2,16,15.4,+13
82,56,2010-04-14,24-029,NYK,@,TOR,L (-18),0,35:15,5,12,.417,2,5,.400,2,2,1.000,1,1,2,5,1,0,2,2,14,10.3,-21
1,1,2010-10-27,24-225,NYK,@,TOR,W (+5),0,26:49,5,9,.556,0,3,.000,0,0,,1,3,4,0,0,0,1,4,10,4.7,+4
2,2,2010-10-29,24-227,NYK,@,BOS,L (-4),0,24:54,4,8,.500,3,5,.600,1,2,.500,0,4,4,3,1,0,2,2,12,9.1,0
3,3,2010-10-30,24-228,NYK,,POR,L (-5),0,26:50,5,11,.455,0,4,.000,1,3,.333,2,2,4,2,2,0,2,5,11,5.9,+1
4,4,2010-11-04,24-233,NYK,@,CHI,W (+8),0,31:12,9,14,.643,5,9,.556,7,7,1.000,0,1,1,4,4,0,1,4,30,28.3,+15
5,5,2010-11-05,24-234,NYK,,WAS,W (+21),0,30:13,8,19,.421,3,8,.375,0,0,,4,6,10,3,5,0,1,1,19,19.2,+19
6,6,2010-11-07,24-236,NYK,,PHI,L (-10),0,26:05,5,13,.385,0,4,.000,7,7,1.000,0,2,2,1,3,0,3,5,17,9.2,-19
7,7,2010-11-09,24-238,NYK,@,MIL,L (-27),0,19:27,2,6,.333,2,3,.667,0,0,,0,2,2,1,0,0,3,3,6,-0.3,-22
8,8,2010-11-10,24-239,NYK,,GSW,L (-5),0,34:06,4,12,.333,0,7,.000,1,1,1.000,1,0,1,2,2,0,2,4,9,2.7,-1
9,9,2010-11-12,24-241,NYK,@,MIN,L (-9),0,23:19,4,10,.400,1,3,.333,0,0,,0,3,3,1,1,0,0,2,9,5.4,-11
10,10,2010-11-14,24-243,NYK,,HOU,L (-8),0,18:22,1,11,.091,1,6,.167,0,0,,3,3,6,2,2,1,0,1,3,2.4,-8
11,11,2010-11-16,24-245,NYK,@,DEN,L (-2),0,16:19,0,4,.000,0,3,.000,0,0,,1,1,2,2,0,0,0,2,0,-1.2,-11
12,12,2010-11-17,24-246,NYK,@,SAC,W (+7),0,20:46,5,9,.556,2,4,.500,2,2,1.000,0,1,1,1,1,0,2,3,14,8.5,+16
13,13,2010-11-19,24-248,NYK,@,GSW,W (+6),0,19:52,1,6,.167,0,4,.000,2,3,.667,1,3,4,3,1,0,1,3,4,2.3,+5
14,14,2010-11-20,24-249,NYK,@,LAC,W (+9),0,21:22,4,8,.500,4,6,.667,0,0,,0,2,2,3,0,0,2,1,12,8.3,-9
15,15,2010-11-23,24-252,NYK,,CHA,W (+3),0,24:10,8,12,.667,5,7,.714,1,2,.500,0,0,0,1,3,0,1,2,22,18.3,-1
16,16,2010-11-24,24-253,NYK,@,CHA,W (+4),0,20:14,2,7,.286,2,4,.500,0,0,,0,1,1,4,1,0,0,2,6,5.2,+11
17,17,2010-11-27,24-256,NYK,,ATL,L (-9),0,27:32,0,5,.000,0,4,.000,2,2,1.000,0,3,3,2,0,0,0,1,2,0.4,+4
19,18,2010-11-30,24-259,NYK,,NJN,W (+11),0,15:54,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,3,2.2,+9
20,19,2010-12-03,24-262,NYK,@,NOH,W (+8),0,20:50,1,5,.200,1,4,.250,0,0,,0,0,0,3,1,0,1,5,3,0.0,+6
21,20,2010-12-05,24-264,NYK,@,TOR,W (+17),0,23:03,2,7,.286,0,2,.000,1,2,.500,0,2,2,1,2,1,1,2,5,2.7,-1
22,21,2010-12-06,24-265,NYK,,MIN,W (+7),0,20:32,4,7,.571,1,3,.333,2,2,1.000,1,5,6,0,0,0,0,2,11,9.1,+3
23,22,2010-12-08,24-267,NYK,,TOR,W (+3),0,22:18,3,6,.500,1,3,.333,0,0,,2,2,4,1,1,0,2,3,7,4.5,-2
24,23,2010-12-10,24-269,NYK,@,WAS,W (+6),0,26:44,3,10,.300,1,5,.200,0,0,,1,4,5,6,4,0,1,2,7,9.5,+3
25,24,2010-12-12,24-271,NYK,,DEN,W (+4),0,20:16,2,6,.333,2,5,.400,7,7,1.000,0,1,1,1,0,0,0,3,13,9.4,+2
26,25,2010-12-15,24-274,NYK,,BOS,L (-2),0,16:02,1,5,.200,1,4,.250,2,2,1.000,1,0,1,1,0,0,1,3,5,1.1,-9
27,26,2010-12-17,24-276,NYK,,MIA,L (-22),0,20:28,3,6,.500,2,4,.500,0,0,,0,1,1,0,1,0,0,1,8,5.9,0
28,27,2010-12-18,24-277,NYK,@,CLE,L (-7),0,22:49,3,11,.273,1,5,.200,0,0,,0,4,4,0,0,0,2,2,7,-1.1,-6
29,28,2010-12-22,24-281,NYK,,OKC,W (+14),0,21:44,4,8,.500,1,4,.250,0,0,,1,4,5,3,0,0,0,2,9,8.2,+5
30,29,2010-12-25,24-284,NYK,,CHI,W (+8),0,21:33,3,8,.375,2,3,.667,0,0,,1,4,5,3,2,0,1,1,8,8.2,0
31,30,2010-12-28,24-287,NYK,@,MIA,L (-8),0,19:23,3,9,.333,3,5,.600,2,3,.667,1,1,2,1,0,0,2,1,11,4.8,-13
32,31,2010-12-30,24-289,NYK,@,ORL,L (-9),0,20:15,2,4,.500,1,2,.500,0,0,,0,2,2,1,1,0,2,2,5,2.5,-11
33,32,2011-01-02,24-292,NYK,,IND,W (+6),0,28:43,4,10,.400,2,5,.400,2,2,1.000,1,3,4,7,2,0,1,1,12,13.7,+22
34,33,2011-01-04,24-294,NYK,,SAS,W (+13),0,29:06,3,10,.300,1,4,.250,2,3,.667,0,1,1,3,3,0,1,3,9,6.0,+14
35,34,2011-01-07,24-297,NYK,@,PHO,W (+25),1,22:16,4,8,.500,3,5,.600,0,0,,1,0,1,3,1,0,2,5,11,6.8,+3
36,35,2011-01-09,24-299,NYK,@,LAL,L (-22),0,24:00,1,4,.250,0,0,,0,0,,0,5,5,6,0,0,2,2,2,2.5,+2
37,36,2011-01-11,24-301,NYK,@,POR,W (+14),0,18:05,1,4,.250,0,0,,0,0,,0,2,2,1,0,0,2,1,2,-1.5,+7
38,37,2011-01-12,24-302,NYK,@,UTA,L (-6),0,4:03,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-6
39,38,2011-01-14,24-304,NYK,,SAC,L (-10),0,36:46,9,17,.529,3,8,.375,0,0,,2,7,9,1,1,0,1,3,21,15.7,-10
40,39,2011-01-17,24-307,NYK,,PHO,L (-8),0,15:49,3,8,.375,1,3,.333,0,2,.000,0,2,2,3,0,0,0,4,7,2.9,+4
41,40,2011-01-19,24-309,NYK,@,HOU,L (-15),0,18:22,5,10,.500,3,6,.500,0,0,,1,6,7,3,0,0,0,1,13,12.2,0
42,41,2011-01-21,24-311,NYK,@,SAS,L (-9),0,31:23,5,14,.357,1,4,.250,0,0,,1,1,2,2,4,0,1,2,11,7.8,+1
43,42,2011-01-22,24-312,NYK,@,OKC,L (-3),0,29:33,4,10,.400,1,3,.333,1,1,1.000,2,4,6,3,3,0,1,2,10,10.5,-3
44,43,2011-01-24,24-314,NYK,,WAS,W (+9),0,22:10,1,6,.167,1,4,.250,0,0,,1,1,2,3,0,0,0,2,3,1.5,+2
45,44,2011-01-27,24-317,NYK,,MIA,W (+5),0,20:20,1,6,.167,1,5,.200,2,2,1.000,2,2,4,3,2,0,2,3,5,4.1,-2
46,45,2011-01-28,24-318,NYK,@,ATL,L (-9),0,19:34,2,8,.250,0,3,.000,0,0,,1,1,2,4,0,0,2,3,4,-0.2,+2
47,46,2011-01-30,24-320,NYK,,DET,W (+18),0,16:37,4,8,.500,0,2,.000,0,0,,2,1,3,2,1,0,1,0,8,7.1,+8
48,47,2011-02-02,24-323,NYK,,DAL,L (-16),0,28:21,9,13,.692,3,6,.500,1,2,.500,0,0,0,3,3,0,0,0,22,21.2,-2
49,48,2011-02-04,24-325,NYK,@,PHI,L (-2),0,13:12,1,6,.167,0,3,.000,0,0,,1,0,1,2,0,0,0,0,2,0.3,-5
50,49,2011-02-06,24-327,NYK,,PHI,W (+14),0,21:14,4,8,.500,2,3,.667,0,0,,2,1,3,2,0,0,3,1,10,5.7,-4
51,50,2011-02-09,24-330,NYK,,LAC,L (-8),0,23:31,4,6,.667,2,4,.500,2,2,1.000,3,1,4,0,1,0,0,1,12,12.4,+16
52,51,2011-02-11,24-332,NYK,,LAL,L (-17),0,22:34,1,6,.167,1,4,.250,1,2,.500,1,3,4,6,1,0,0,2,4,5.8,-8
53,52,2011-02-12,24-333,NYK,@,NJN,W (+10),0,21:00,8,13,.615,3,6,.500,0,2,.000,0,3,3,0,1,0,1,3,19,12.0,+6
54,53,2011-02-16,24-337,NYK,,ATL,W (+12),0,15:22,1,5,.200,1,2,.500,2,3,.667,1,0,1,3,1,0,0,0,5,5.3,+1
55,54,2011-02-23,24-344,NYK,,MIL,W (+6),0,29:16,10,12,.833,3,5,.600,0,0,,2,1,3,3,2,0,3,2,23,20.6,+8
56,55,2011-02-25,24-346,NYK,@,CLE,L (-6),0,29:38,1,8,.125,0,4,.000,0,0,,1,3,4,4,2,0,1,4,2,0.6,-13
57,56,2011-02-27,24-348,NYK,@,MIA,W (+5),0,14:44,1,7,.143,1,5,.200,2,2,1.000,1,0,1,3,1,0,1,1,5,2.9,0
58,57,2011-03-01,24-350,NYK,@,ORL,L (-6),0,19:07,1,6,.167,0,3,.000,0,0,,0,0,0,1,1,0,2,3,2,-3.3,-16
59,58,2011-03-02,24-351,NYK,,NOH,W (+19),1,32:04,10,13,.769,4,6,.667,0,0,,0,4,4,5,1,0,3,2,24,20.8,+13
60,59,2011-03-04,24-353,NYK,,CLE,L (-4),1,31:31,5,9,.556,1,4,.250,0,0,,0,5,5,5,0,0,2,4,11,8.1,-4
61,60,2011-03-06,24-355,NYK,@,ATL,W (+13),1,33:05,4,9,.444,1,4,.250,1,2,.500,0,5,5,7,1,0,2,1,10,9.9,+12
62,61,2011-03-07,24-356,NYK,,UTA,W (+22),1,23:15,6,9,.667,5,7,.714,3,4,.750,0,3,3,6,0,0,1,3,20,18.6,+24
63,62,2011-03-09,24-358,NYK,@,MEM,W (+2),1,34:59,7,14,.500,4,8,.500,0,0,,0,1,1,10,1,0,3,2,18,15.5,+6
64,63,2011-03-10,24-359,NYK,@,DAL,L (-18),1,37:35,6,12,.500,2,6,.333,4,4,1.000,0,3,3,8,0,0,0,2,18,17.7,-8
65,64,2011-03-13,24-362,NYK,,IND,L (-13),0,26:41,1,12,.083,1,8,.125,0,0,,4,1,5,3,0,0,1,5,3,-2.8,-5
66,65,2011-03-15,24-364,NYK,@,IND,L (-2),0,29:18,5,11,.455,4,6,.667,3,3,1.000,1,2,3,4,2,0,1,2,17,15.6,+8
67,66,2011-03-17,25-001,NYK,,MEM,W (+21),0,31:02,10,14,.714,9,12,.750,0,0,,0,2,2,3,0,0,1,1,29,24.5,+18
68,67,2011-03-18,25-002,NYK,@,DET,L (-4),0,32:52,8,14,.571,4,8,.500,0,0,,0,5,5,11,0,0,2,2,20,19.8,+2
69,68,2011-03-20,25-004,NYK,@,MIL,L (-5),0,29:07,3,13,.231,1,3,.333,0,0,,0,2,2,9,2,0,1,2,7,6.2,-5
70,69,2011-03-21,25-005,NYK,,BOS,L (-10),0,19:40,2,7,.286,0,4,.000,1,2,.500,1,0,1,4,1,0,2,1,5,2.6,0
71,70,2011-03-23,25-007,NYK,,ORL,L (-12),0,28:32,7,14,.500,3,6,.500,0,0,,1,4,5,1,0,0,1,4,17,10.0,-7
72,71,2011-03-25,25-009,NYK,,MIL,L (-6),0,34:35,6,17,.353,2,6,.333,2,2,1.000,2,2,4,2,1,0,1,5,16,7.9,+3
73,72,2011-03-26,25-010,NYK,@,CHA,L (-8),1,14:49,2,8,.250,1,3,.333,0,0,,2,2,4,2,0,1,0,3,5,3.1,-12
74,73,2011-03-28,25-012,NYK,,ORL,W (+7),0,36:50,6,17,.353,3,10,.300,1,2,.500,0,4,4,2,0,0,1,1,16,7.3,+20
75,74,2011-03-30,25-014,NYK,,NJN,W (+4),0,23:32,2,8,.250,1,4,.250,2,2,1.000,1,4,5,1,0,0,1,3,7,2.6,0
76,75,2011-04-03,25-018,NYK,,CLE,W (+16),0,24:56,4,10,.400,3,6,.500,0,0,,1,2,3,6,2,0,0,2,11,12.3,+21
77,76,2011-04-05,25-020,NYK,,TOR,W (+13),0,26:10,10,15,.667,6,9,.667,2,5,.400,0,1,1,6,2,0,0,1,28,26.4,+9
78,77,2011-04-06,25-021,NYK,@,PHI,W (+5),0,30:26,5,14,.357,3,8,.375,4,4,1.000,1,2,3,2,0,1,1,1,17,11.2,-2
79,78,2011-04-08,25-023,NYK,@,NJN,W (+23),0,25:47,3,10,.300,2,6,.333,2,2,1.000,0,4,4,9,1,0,2,1,10,10.3,+12
80,79,2011-04-10,25-025,NYK,@,IND,W (+1),0,25:33,5,10,.500,2,6,.333,2,2,1.000,2,1,3,2,1,0,0,3,14,11.9,+1
81,80,2011-04-12,25-027,NYK,,CHI,L (-13),0,29:32,4,15,.267,1,7,.143,4,4,1.000,2,3,5,3,4,0,0,1,13,12.1,-3
82,81,2011-04-13,25-028,NYK,@,BOS,L (-10),1,31:07,3,8,.375,1,4,.250,1,1,1.000,0,1,1,5,2,0,1,0,8,8.4,+2
1,1,2011-12-25,25-284,NYK,,BOS,W (+2),1,35:04,8,19,.421,2,6,.333,1,2,.500,0,2,2,4,3,0,2,4,19,11.3,+12
2,2,2011-12-28,25-287,NYK,@,GSW,L (-14),1,28:15,3,11,.273,0,5,.000,0,0,,0,6,6,2,1,0,2,2,6,0.9,-10
3,3,2011-12-29,25-288,NYK,@,LAL,L (-17),1,33:01,2,8,.250,0,4,.000,1,1,1.000,0,3,3,5,1,0,1,1,5,4.2,-6
4,4,2011-12-31,25-290,NYK,@,SAC,W (+22),1,31:08,6,18,.333,4,6,.667,1,1,1.000,1,1,2,8,2,0,1,1,17,14.0,+21
5,5,2012-01-02,25-292,NYK,,TOR,L (-5),1,36:34,8,19,.421,4,11,.364,2,3,.667,1,3,4,4,1,0,1,3,22,14.7,+3
6,6,2012-01-04,25-294,NYK,,CHA,L (-8),1,38:30,6,17,.353,1,6,.167,0,0,,1,3,4,5,1,0,4,4,13,4.0,-6
