,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,4,1,2012-11-07,19-208,MEM,@,MIL,W (+18),0,3:05,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
1,6,2,2012-11-11,19-212,MEM,,MIA,W (+18),0,3:30,0,3,0.0,0,0,,0,0,,1,0,1,0,1,0,0,1,0,-0.8,-9
2,8,3,2012-11-16,19-217,MEM,,NYK,W (+10),0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
3,29,4,2013-01-02,19-264,MEM,@,BOS,W (+10),0,2:28,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-3
4,31,5,2013-01-06,19-268,MEM,@,PHO,W (+11),0,0:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
5,32,6,2013-01-07,19-269,MEM,@,SAC,W (+32),0,3:24,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.7,-1
6,36,7,2013-01-14,19-276,MEM,,LAC,L (-26),0,14:19,2,7,0.286,0,1,0.0,4,4,1.0,2,3,5,3,0,0,0,0,8,8.3,-2
7,37,8,2013-01-16,19-278,MEM,@,SAS,L (-21),0,6:48,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,-2
8,41,9,2013-01-23,19-285,MEM,,LAL,W (+13),0,18:09,4,13,0.308,0,3,0.0,1,1,1.0,3,2,5,2,1,1,0,1,9,6.9,16
9,42,10,2013-01-25,19-287,MEM,,BRK,W (+24),0,23:01,5,9,0.556,0,0,,1,2,0.5,3,1,4,2,0,0,3,1,11,6.7,17
10,43,11,2013-01-27,19-289,MEM,,NOH,L (-8),0,25:34,1,7,0.143,0,0,,0,0,,0,1,1,4,1,2,2,1,2,0.6,-3
11,44,12,2013-01-28,19-290,MEM,@,PHI,W (+3),0,12:54,2,2,1.0,0,0,,2,3,0.667,0,2,2,1,1,0,2,2,6,4.5,-4
12,45,13,2013-01-31,19-293,MEM,@,OKC,L (-17),0,9:12,1,2,0.5,0,1,0.0,4,4,1.0,0,0,0,4,2,0,0,2,6,9.0,-4
13,46,14,2013-02-01,19-294,MEM,,WAS,W (+9),0,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,-4
14,48,15,2013-02-06,19-299,MEM,@,ATL,L (-11),0,8:35,2,5,0.4,1,2,0.5,0,0,,0,0,0,3,0,1,1,1,5,3.7,3
15,50,16,2013-02-10,19-303,MEM,,MIN,W (+17),0,10:37,2,4,0.5,0,1,0.0,3,4,0.75,0,0,0,3,0,0,0,2,7,5.9,-2
16,51,17,2013-02-12,19-305,MEM,,SAC,W (+7),0,4:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-5
17,52,18,2013-02-19,19-312,MEM,@,DET,W (+14),0,6:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-14
