model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,112,28,24.992947033473424,4.999294653595987,0.4912079956313808,54.41071592058454,7.37636197055056,-0.2673579512682573,8.321428571428571,-34869443586551.76,-8.340526121850411,9.14918013325177,-2.177901260627344,0.3316139786424823,6.305237313097778,0.0672520834316712,0.8340134699012136,424912880275294.1,34869443586558.008,203715902320617.38,34869443586555.508,97801356610408.88,-13359503655792.86,54600733914792.48,34869443586560.64,-4609819430804.963,34869443586555.555,-86877012143.12617,34869443586575.91,-19649452078.996456,34869443586559.46,-3008956977.1561084,34869443586555.76,149717987.7217819,34869443586556.723,-2923502.453054541,123317.73349002004,-53248.93859875202,34869443586555.47,345.5373840332031,34869443586553.11,5.09375,34869443586560.016,0.0,34869443586559.08,0.0,34869443586551.727,0.0,34869443586558.69,0.0,34869443586558.44,0.0,34869443586561.234,0.0,34869443586558.97,0.0,34869443586554.65,0.0,34869443586559.56,0.0,0.0,0.0,0.0,0.0,34869443586562.656,0.0,0.0,0.0,0.0,0.0,34869443586561.75,0.0,0.0,0.0,0.0,0.0,34869443586560.133,0.0,0.0,0.0,34869443586561.297,0.0,0.0,0.0,34869443586559.25,0.0,34869443586554.89,0.0,34869443586561.504,0.0,34869443586555.742,0.0,34869443586561.78,0.0,0.0,0.0,34869443586561.406
"Random Forest (100 estimators, 20 depth)",112,28,5.519466542093523,2.3493544947694724,0.8876378827500354,56.51846879110315,7.517876614517104,-0.3164526436383987,8.321428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",112,28,7.215445075849602,2.686158051167057,0.8531121296885733,53.59139187056,7.320614173043133,-0.2482739007849022,8.321428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",112,28,17.158098748449017,4.142233545860134,0.6507053193172465,45.4456496345507,6.741338860682698,-0.058539746085378,8.321428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),112,28,26.10460222186985,5.109266309546787,0.4685775603044274,49.167591620398376,7.011960611726108,-0.1452328301610956,8.321428571428571,6.487796258919193,0.1186745064891426,2.3339240584536043,-1.3691947408212974,0.4116840688222941,6.045601647127538,-0.5522291592889984,0.2595204015200093,0.0,-0.6600773950688182,0.0,-2.646316149134752,0.0,0.0,0.0,1.2283668602874416,0.0,-2.586260403379319,0.0,11.363325388198929,0.0,0.289566728366703,0.0,-2.700331368626282,0.0,-2.0829912621652507,0.0,0.0,0.0,-2.4513669018637687,0.0,-3.686412443613544,0.0,1.0461988814414294,0.0,0.2006419053982222,0.0,-5.25095579804743,0.0,-0.6112704728145781,0.0,-0.337958440011268,0.0,1.9702700058914224,0.0,0.1367007127778763,0.0,-2.62536814549003,0.0,0.4776858021133547,0.0,0.0,0.0,0.0,0.0,2.51801603488299,0.0,0.0,0.0,0.0,0.0,2.3412703727255977,0.0,0.0,0.0,0.0,0.0,1.073976488421595,0.0,0.0,0.0,1.874966514989744,0.0,0.0,0.0,0.341952804056263,0.0,-3.239272988083828,0.0,1.8485307736420105,0.0,-2.354867805929279,0.0,2.226770128230963,0.0,0.0,0.0,2.295210172803603
Ridge (lambda=0.1),112,28,25.034451234372565,5.003443937366798,0.490363077041472,54.061173925589216,7.352630408608148,-0.2592162677935155,8.321428571428571,7.006791318208447,-2.8849310409431426,5.893056029689757,-1.8923301263094685,0.2765133737494081,6.209990004183216,-0.1241934682555114,-1.09100329945528,0.0,-0.8450755566319216,0.0,-3.3992660718932624,0.0,0.0,0.0,1.4490842189633828,0.0,-3.201104124705446,0.0,16.254165847269654,0.0,0.4790827370956357,0.0,-3.014925782479924,0.0,-2.2611972878001643,0.0,0.0,0.0,-3.2086017153870547,0.0,-5.459242908367288,0.0,1.0601943255902797,0.0,0.2456521939650841,0.0,-6.966052077182168,0.0,-0.4696100102688827,0.0,-0.5492260587619225,0.0,2.4128172742325003,0.0,0.0457201029588261,0.0,-3.936904036198227,0.0,0.6237618241774958,0.0,0.0,0.0,0.0,0.0,3.691637857557344,0.0,0.0,0.0,0.0,0.0,2.816219178998758,0.0,0.0,0.0,0.0,0.0,1.1775605110301617,0.0,0.0,0.0,2.242419134715552,0.0,0.0,0.0,0.3387627592152596,0.0,-4.000374656510463,0.0,2.4338003714871386,0.0,-3.1435306877713067,0.0,2.667981088800902,0.0,0.0,0.0,2.516251547900291
Lasso (lambda=0.1),112,28,30.71232006110788,5.541869726103987,0.3747762974180976,38.59101367336522,6.2121665844828415,0.1011214023019602,8.321428571428571,6.346753988350901,0.0,1.3352143075169658,-0.0375486909569292,0.0,6.698627462369314,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.8707068685781282,0.0,11.827474889075066,0.0,0.0,0.0,-1.1831792027490362,0.0,-0.7991309670052793,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.996690840803159,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.916699746698793,0.0,0.0,0.0,-0.0,0.0,0.5047406184112938,0.0,0.0,0.0,0.7217367732298499
Lasso (lambda=1.0),112,28,43.425770308123255,6.589823238002918,0.1159632080710787,38.96347064315922,6.242072623989505,0.0924459733136212,8.321428571428571,7.988235294117647,0.0,0.0,-0.0,0.0,2.345098039215685,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",112,28,15.77045042815648,3.9712026425450113,0.6789542636812225,52.05334754278484,7.214800589259889,-0.2124491064364155,8.321428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),112,28,25.19905344673044,5.019865879356782,0.487012200114597,52.69424763972477,7.259080357712317,-0.2273772289593931,8.321428571428571,7.052457883162044,-0.0,2.451702963563936,-1.3647183491061543,0.1767931775311727,6.181666750106207,-0.5302639303763559,-0.2077955554697657,0.0,-0.7645670368702072,0.0,-3.3912725830262724,0.0,0.0,0.0,0.925598862835886,0.0,-3.2289115746842696,0.0,16.385971146953946,0.0,0.0,0.0,-3.160272649763291,0.0,-2.471310338662914,0.0,0.0,0.0,-3.1695209381160248,0.0,-5.27030836856947,0.0,0.732873914196386,0.0,0.0,0.0,-6.930484832040667,0.0,-0.7107192628550684,0.0,-0.3249894795255888,0.0,1.9720158370587149,0.0,-0.0,0.0,-3.647987608860433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1499318686429323,0.0,0.0,0.0,0.0,0.0,2.364000201299546,0.0,0.0,0.0,0.0,0.0,0.7291369311297269,0.0,0.0,0.0,1.8378143492991577,0.0,0.0,0.0,0.0,0.0,-4.010265578979137,0.0,1.9380002598574788,0.0,-3.003118383961125,0.0,2.198222006606729,0.0,0.0,0.0,2.150748488322076
