Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,1,2009-11-06,24-003,IND,,WAS,W (+16),0,13:49,3,7,0.429,0,0,,7,10,0.7,2,3,5,1,0,0,0,3,13,9.9,5
6,2,2009-11-11,24-008,IND,,GSW,W (+14),0,16:09,3,12,0.25,0,0,,5,8,0.625,5,3,8,0,0,1,0,5,11,5.7,-6
7,3,2009-11-14,24-011,IND,,BOS,W (+9),0,14:10,3,6,0.5,0,0,,1,2,0.5,1,0,1,1,0,0,1,1,7,3.6,2
8,4,2009-11-17,24-014,IND,@,NJN,W (+8),0,15:52,0,5,0.0,0,0,,0,0,,1,3,4,1,0,0,1,1,0,-2.6,-3
9,5,2009-11-18,24-015,IND,,NYK,L (-7),0,20:38,5,10,0.5,0,0,,4,7,0.571,3,2,5,3,0,1,1,1,14,11.9,-3
10,6,2009-11-20,24-017,IND,,CLE,L (-10),0,20:46,3,9,0.333,0,0,,1,2,0.5,2,1,3,2,3,1,1,4,7,5.7,-16
11,7,2009-11-22,24-019,IND,@,CHA,L (-16),0,20:46,2,4,0.5,0,0,,4,4,1.0,1,5,6,1,0,0,1,5,8,5.9,-11
12,8,2009-11-24,24-021,IND,@,TOR,L (-11),0,15:02,4,6,0.667,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,8.3,0
13,9,2009-11-25,24-022,IND,,LAC,W (+13),0,12:18,1,7,0.143,0,0,,0,0,,1,5,6,0,0,0,1,0,2,-1.3,-4
14,10,2009-11-27,24-024,IND,,DAL,L (-21),0,8:18,2,2,1.0,0,0,,0,2,0.0,2,3,5,2,0,0,0,1,4,5.9,-4
15,11,2009-11-30,24-027,IND,@,GSW,L (-19),0,10:10,1,3,0.333,0,0,,2,2,1.0,0,0,0,0,0,0,0,3,4,1.1,-12
16,12,2009-12-02,24-029,IND,@,SAC,L (-5),0,17:31,3,7,0.429,0,1,0.0,2,4,0.5,2,2,4,0,1,0,3,2,8,2.7,2
17,13,2009-12-04,24-031,IND,@,UTA,L (-9),0,8:24,2,2,1.0,0,0,,2,2,1.0,0,0,0,1,0,0,1,2,6,4.3,-4
18,14,2009-12-05,24-032,IND,@,LAC,L (-16),0,20:53,1,5,0.2,0,0,,2,2,1.0,0,2,2,1,1,0,1,4,4,0.6,-1
19,15,2009-12-09,24-036,IND,,POR,L (-11),0,22:08,4,14,0.286,0,0,,5,7,0.714,7,4,11,3,1,0,0,1,13,12.8,0
20,16,2009-12-11,24-038,IND,,NJN,W (+16),0,24:32,8,18,0.444,0,1,0.0,5,6,0.833,4,3,7,1,3,0,0,3,21,17.4,16
21,17,2009-12-12,24-039,IND,@,WAS,W (+1),0,24:59,7,14,0.5,0,0,,5,6,0.833,2,1,3,0,1,0,0,1,19,13.9,3
22,18,2009-12-14,24-041,IND,@,ORL,L (-8),0,24:20,4,12,0.333,0,1,0.0,0,0,,2,4,6,3,0,0,2,2,8,3.1,-9
23,19,2009-12-16,24-043,IND,,CHA,W (+3),0,19:58,1,7,0.143,0,0,,5,7,0.714,3,3,6,1,2,0,2,5,7,3.4,-5
24,20,2009-12-18,24-045,IND,@,MEM,L (-13),0,22:12,4,13,0.308,0,0,,6,6,1.0,2,2,4,2,2,0,0,3,14,10.7,7
25,21,2009-12-19,24-046,IND,@,SAS,L (-1),0,23:23,3,9,0.333,0,1,0.0,3,3,1.0,1,5,6,0,0,0,1,4,9,3.5,-5
26,22,2009-12-21,24-048,IND,,MIL,L (-3),0,20:39,4,7,0.571,0,0,,3,3,1.0,3,2,5,0,0,2,1,2,11,10.0,-1
27,23,2009-12-22,24-049,IND,@,BOS,L (-9),0,19:45,1,4,0.25,0,0,,0,0,,1,4,5,1,0,0,0,1,2,1.8,4
28,24,2009-12-26,24-053,IND,,ATL,L (-12),0,31:07,7,20,0.35,0,0,,5,6,0.833,5,6,11,0,1,0,3,3,19,9.5,11
29,25,2009-12-27,24-054,IND,@,MIA,L (-34),0,25:59,0,5,0.0,0,0,,10,10,1.0,3,7,10,1,1,1,0,5,10,11.1,5
