model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,640,161,22.72765149345347,4.767352671394625,0.2814021025423798,23.090850473758746,4.805294004924021,0.2427845354011529,9.093167701863354,7.930455371072146,-18.58658926312374,21.6925414631241,-11.984347398423871,0.4167552515770758,4.28856734552194,5.506544203727653,-0.061639844614544,-4.65212790725322,1.403644355827919,-3.0198066269804264e-14,0.0229405931361541,3.0850322296771544e-14,0.928509608062074,-2.220446049250313e-15,1.5209039942071234,-1.3322676295501878e-15,-0.8152475735757791,0.0,-0.0952020849978624,1.7763568394002505e-15,-3.552713678800501e-15,-7.771561172376101e-16,-2.858815787517776,-4.440892098500626e-16,0.9637806487464268,-4.440892098500626e-16,1.6052151199664584,-5.551115123125788e-16,0.5395509933241527,-4.440892098500626e-16,8.881784197001252e-16,-4.440892098500626e-16,-0.6258532223051214,4.440892098500626e-16,3.077979676036779,2.250490575571556,0.9704289810827276,0.0,-1.2592615508879497,0.0,-0.3258996394249394,0.6502563075596419,0.2120813415645569,0.0,1.2339825504843709,0.0,0.692927290831838,0.0,1.0032884987453228,0.0,-1.5001406629864116,0.0,0.0,0.0,-0.4649318559183415,0.0,0.0,0.0,-2.077997470666685,0.0,0.3505570233023217,0.0,-0.2652509219126626,0.0,-0.6443933023656965,0.0,0.0,0.0,0.0,0.0,-0.651324771104352,0.0,0.0,0.1700506797584383,0.4529498370457712,1.5813303443655262,-0.3482056860418515,0.0,0.0,0.0,-0.8704478280923731,0.0,-1.7747424240700351,0.0,0.0,0.0,-0.4010257304972344
"Random Forest (100 estimators, 20 depth)",640,161,4.430726050560557,2.104928989434218,0.8599102760326722,22.26328168714269,4.718398212014613,0.2699228984491976,9.093167701863354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",640,161,10.216041193011318,3.196254244113149,0.6769914514153406,22.232011930957427,4.715083448991908,0.2709483237787941,9.093167701863354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",640,161,19.36613645828029,4.400697269556303,0.3876857472578671,21.763073880096897,4.665090983045979,0.2863261525189682,9.093167701863354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),640,161,23.02393409234977,4.798326176110766,0.2720343043481191,22.991908029004808,4.794987802800421,0.2460291430156727,9.093167701863354,8.187098961626331,-5.34232383001804,7.620520256852167,-4.902996901880217,0.4713082486213237,4.517622792137968,-2.852838932521077,0.7827191079357794,-4.6555236562300495,1.425387669255073,0.0,-0.0624929483756944,0.0,0.7594847626071134,0.0,1.5635983365372423,0.0,-0.6574997404329364,0.0,-0.0271365517085832,0.0,0.0,0.0,-2.6224682713169654,0.0,0.9166580646934136,0.0,1.5928546861852666,0.0,0.2065252026515635,0.0,0.0,0.0,-0.6148205088501406,0.0,2.787376547181599,2.103041482538797,1.0360684545241,0.0,-1.317691623159685,0.0,-0.380138540204419,0.404390399491966,0.2481065168084867,0.0,1.0465558735087777,0.0,0.5799477273438662,0.0,0.9029890340287352,0.0,-1.11945475732671,0.0,0.0,0.0,-0.4795622990858258,0.0,0.0,0.0,-2.2627972356927133,0.0,0.3016259677849445,0.0,-0.2295005718070969,0.0,-0.565998745868952,0.0,0.0,0.0,0.0,0.0,-0.5470673154969373,0.0,0.0,0.3847373097015262,0.4102331141604607,1.7633544644984154,-0.2615374669123239,0.0,0.0,0.0,-0.8507573604335291,0.0,-1.5148968195894286,0.0,0.0,0.0,-0.2635912010085396
Ridge (lambda=0.1),640,161,22.7519208325794,4.76989736080132,0.2806347599036738,22.99120129385505,4.79491410703623,0.2460523188958934,9.093167701863354,7.992808945749799,-15.076849358575892,17.961057637405734,-8.231541081554795,0.4318701056841609,4.366863713718212,1.3572059571564183,0.3381413000109396,-4.694883680743738,1.4486824365982152,0.0,0.0030401431591546,0.0,0.8901461935512053,0.0,1.563559780507606,0.0,-0.7739814712008605,0.0,-0.0685526955819977,0.0,0.0,0.0,-2.805424856601271,0.0,0.9613136653705304,0.0,1.6299061164332953,0.0,0.4570091380221125,0.0,0.0,0.0,-0.6134167909847458,0.0,3.039875840627151,2.213441164076518,1.0184170942654331,0.0,-1.2697632738878908,0.0,-0.3305563935144491,0.5811763956383077,0.237524178709284,0.0,1.2038658873938353,0.0,0.6732508760469251,0.0,0.9876159034594344,0.0,-1.426505465908413,0.0,0.0,0.0,-0.4556910710332661,0.0,0.0,0.0,-2.495338049864692,0.0,0.3453630030435243,0.0,-0.2475492487556601,0.0,-0.6024040829927688,0.0,0.0,0.0,0.0,0.0,-0.6038326364327411,0.0,0.0,0.286727261822102,0.4517486791055665,1.6135388592130837,-0.3258082980143031,0.0,0.0,0.0,-0.8601449014191048,0.0,-1.6907770999599008,0.0,0.0,0.0,-0.3415726001396749
Lasso (lambda=0.1),640,161,25.68476895250296,5.068014300739783,0.1879046116458715,24.517207120808763,4.951485344904977,0.1960101945250101,9.093167701863354,7.338928038961146,0.0,1.3954156590188491,-2.2275464756953407,0.1967397891429282,3.607326163945415,-0.0,0.0,-2.6259023851119934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.2173978457694203,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),640,161,31.627773437500004,5.623857522866311,0.0,30.645033239518632,5.5357956284095815,-0.0049388656550382,9.093167701863354,9.48125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",640,161,19.19167919166372,4.380830879144242,0.3932016988300295,21.529853005985185,4.640027263495893,0.2939741364139462,9.093167701863354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),640,161,23.099573195032264,4.806201534999574,0.2696427637981032,22.847065672485662,4.779860423954413,0.2507789408808435,9.093167701863354,8.784417606948384,-5.955949670376227,8.768037900414134,-7.436754782864126,0.4242271336027339,4.407585775704433,-0.0,0.0,-5.225399717118965,1.0045101897859348,0.0,-0.0,0.0,0.446668755074921,0.0,1.3680640065144924,0.0,-0.3334529041914125,0.0,0.0,0.0,0.0,0.0,-2.4093245454679835,0.0,0.6635268513251017,0.0,1.3969929440290831,0.0,0.0,0.0,0.0,0.0,-0.2092944661682181,0.0,2.470885358993918,1.4492908839057663,0.7292470353653743,0.0,-0.984362607167862,0.0,-0.1248224698654104,-0.0,0.0536446733953668,0.0,0.900861518614063,0.0,0.4202593410961728,0.0,0.7532245900010285,0.0,-0.0812031037274283,0.0,0.0,0.0,-0.2612542978101637,0.0,0.0,0.0,-0.0,0.0,0.0841984463854959,0.0,-0.0,0.0,-0.2135228313988213,0.0,0.0,0.0,0.0,0.0,-0.3347697089777049,0.0,0.0,-0.0,0.1949495553197707,1.2101443665449407,-0.0,0.0,0.0,0.0,-0.6164085394245046,0.0,-1.2507997268499458,0.0,0.0,0.0,-0.0
