model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,520,131,35.93874249091515,5.994893034151247,0.3421049659156514,34.21537868121198,5.849391308607416,0.2996790268140706,14.19083969465649,-17191722384408.496,-3.918950017297191,6.646371792881556,-0.0868450069479509,1.2381484874719542,5.908949949922344,11.458493467109331,-1.1135166219473982,8904613271601.084,-957735853463.6544,4362285123957.534,-957735853465.5736,-874798443712.0625,1569884696229.9785,1180023093724.0889,-957735853465.1757,-823386609068.2253,-957735853462.811,18149458237875.363,-957735853464.9856,-118555589313.36078,-957735853464.8772,-27582645015.221344,-957735853465.453,18149458237878.75,-957735853462.6642,-3220685941.4785914,-957735853463.858,-1372406291.677199,-957735853461.914,58075076.130911335,12108503.269278573,3838052.6826196136,-957735853463.9,-96699.77853902197,-957735853462.8104,-573.7049890160561,-957735853465.142,-1.9431114196777344,-957735853461.2572,0.0400390625,-957735853465.0068,0.0,-957735853461.481,0.0,-957735853464.0668,0.0,-957735853466.0977,0.0,-957735853463.9336,0.0,-957735853464.918,0.0,-957735853459.832,0.0,-957735853464.1318,0.0,0.0,0.0,-957735853463.3896,0.0,-957735853462.873,0.0,-957735853465.584,18149458237875.152,-957735853463.6776,0.0,0.0,0.0,-957735853467.9336,0.0,-957735853464.2832,0.0,-957735853465.1102,0.0,-957735853464.502,18149458237867.184,-957735853465.5468,0.0,0.0,0.0,-957735853461.1309,0.0,-957735853466.37,0.0,0.0,0.0,-957735853464.9532
"Random Forest (100 estimators, 20 depth)",520,131,6.302574052348013,2.510492790738108,0.8846250067865677,46.21796792350801,6.798379801357674,0.0540098189051907,14.19083969465649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",520,131,13.449837635763467,3.6674020281070177,0.7537871172858548,41.80791073106369,6.465903705675155,0.1442749471562515,14.19083969465649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",520,131,27.739690629841785,5.2668482634153975,0.4921969037446884,37.069758043680295,6.088493906023089,0.2412555397736275,14.19083969465649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),520,131,36.00756904318076,6.000630720447706,0.3408450262569353,33.75906079571426,5.81025479610957,0.3090189493276095,14.19083969465649,1.8706059832711563,-0.0399773892281722,2.8134785357499523,4.659971518802227,1.236352942167714,5.796398746772529,5.889353150543544,-0.7997062229595524,0.0,0.3616104750633468,0.0,-1.4085117961807356,0.0,0.0,0.0,-1.079385502670846,0.0,1.262229818936358,1.1321716883424884,-0.8238110678406256,0.0,-0.7075749381317422,0.0,-1.2668659162520133,4.475202812667398,0.90260486088318,0.0,0.1753626874040438,0.0,2.0459918811187685,0.0,0.0,0.0,0.2103908718553547,0.0,1.2684064185082105,0.0,-0.9649746821936116,0.0,2.76225577168998,0.0,-0.8655570474011476,0.0,2.473161857479687,0.0,0.0099465028269128,0.0,-1.8779329521281816,0.0,0.2341858611999785,0.0,-0.6772398810037906,0.0,2.67723800046206,0.0,0.0072937246882709,0.0,0.0,0.0,0.6429634580488457,0.0,1.0796749122004077,0.0,-1.3761582472770335,1.135392305959335,0.3845565857857904,0.0,0.0,0.0,-2.437004929514448,0.0,-0.1244118821951263,0.0,-0.9260624337751684,0.0,-0.4281755741808813,-6.742766806968598,-1.3133076407607154,0.0,0.0,0.0,2.71951185059304,0.0,-2.141370166503249,0.0,0.0,0.0,-0.7990408807347508
Ridge (lambda=0.1),520,131,35.944302734165795,5.995356764544192,0.3420031800386464,34.08650938093616,5.83836530040183,0.3023167259207742,14.19083969465649,1.5180201064266736,-2.5256774307671472,5.355246859230276,2.133030791319888,1.238955857470639,5.878560072847087,9.08944331001416,-1.0359344283690244,0.0,0.4176452484301912,0.0,-1.4725950820200362,0.0,0.0,0.0,-1.1004367242187478,0.0,1.26944612199029,1.2149062370619343,-0.875263438751488,0.0,-0.780755649470437,0.0,-1.3480435309594032,4.659584844547448,1.294180830604576,0.0,0.2162702553879822,0.0,2.170045945056569,0.0,0.0,0.0,0.1978364646081614,0.0,1.3001144447696185,0.0,-1.05090813570056,0.0,2.825572061128635,0.0,-0.9074909226119168,0.0,2.6004328134000048,0.0,0.0221365415076547,0.0,-1.9942919016167475,0.0,0.1783513787576272,0.0,-0.7905618422013417,0.0,3.9905227880768495,0.0,-0.032749058404546,0.0,0.0,0.0,0.6881315197922705,0.0,1.1838051891344,0.0,-1.530693240468976,1.061226102360029,0.3940407249461925,0.0,0.0,0.0,-3.637014312176437,0.0,-0.1655556667677343,0.0,-1.008779401102462,0.0,-0.4218941446756707,-6.93571718396232,-1.4483542253168398,0.0,0.0,0.0,2.923422019560454,0.0,-2.2622916213928272,0.0,0.0,0.0,-0.8442754492936835
Lasso (lambda=0.1),520,131,39.154522305409735,6.257357453862592,0.2832368635829256,34.14269516993934,5.843175093212537,0.3011667142023438,14.19083969465649,8.402665852086214,0.0,0.4735337129868986,0.0,0.7145096415954344,5.160773614138538,5.163394612943069,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.6835826936337956,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.6807883855578288,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-6.30621621536917,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),520,131,49.4103244892904,7.029247789720491,0.0954940306490209,42.407799418682245,6.512127104002366,0.1319964149374355,14.19083969465649,12.89908256880734,0.0,0.0,-0.0,0.0,2.0810498815237866,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",520,131,27.315854452512,5.22645716068849,0.4999556536898498,37.43239198719778,6.118201695530949,0.2338331418337833,14.19083969465649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),520,131,36.16493792352989,6.01372911956715,0.3379642297202375,33.2536380971396,5.7665967517366425,0.3193639500196645,14.19083969465649,2.8389611679491704,0.0,2.190704147888858,3.076741581264807,1.1606526774423964,5.851408802176083,7.6154620868305,-0.3033266252474301,0.0,0.2700681885927263,0.0,-1.0769871951884091,0.0,0.0,0.0,-0.7549377159140938,0.0,1.2163112658852395,-0.0,-0.3877127959254131,0.0,-0.3986806600441748,0.0,-0.8925874674379543,3.2193907910592165,0.0,0.0,0.0,0.0,1.90349519680398,0.0,0.0,0.0,0.1475865741189157,0.0,1.12555606547082,0.0,-0.5397612528856325,0.0,2.7804905451694206,0.0,-0.4304895058495883,0.0,2.4391527552440984,0.0,0.0,0.0,-1.4225847686133049,0.0,0.0,0.0,-0.0,0.0,1.6372873121634546,0.0,0.0,0.0,0.0,0.0,0.212972721390068,0.0,0.9233285316545512,0.0,-0.1591652216684721,0.0,0.2895710364798825,0.0,0.0,0.0,-0.926117798981506,0.0,-0.0,0.0,-0.4122935505143147,0.0,-0.0,-7.911426930622396,-0.8218034879254266,0.0,0.0,0.0,2.68607224967935,0.0,-1.8620766799498685,0.0,0.0,0.0,-0.4747145828468298
