model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,566,142,39.851443277114775,6.312799955417151,0.3132549441014721,43.916211371680895,6.626930765571713,0.0071949740134207,12.929577464788732,13.330056045456198,-7.265978380348467,8.532710033132027,-10.38582975608311,0.9410687358183724,3.699292268281811,-0.2003847286088191,0.4805629082952211,-3.552713678800501e-15,0.2807181474405016,5.717648576819556e-14,-2.616367674712496,3.219646771412954e-14,0.6029820315418637,-7.682743330406083e-14,-0.2529121875079121,0.7649256380468803,-0.2721466748717596,3.552713678800501e-15,-1.1807203506577124,-1.3322676295501878e-15,4.723824079395002,-1.3322676295501878e-15,-1.0337561562579762,-8.881784197001252e-16,-0.4335011567592577,4.440892098500626e-16,1.8422567557441552,2.785621926647443,6.756893732523247,1.1102230246251563e-16,2.220446049250313e-16,-6.106226635438361e-16,-0.908352234786824,1.3322676295501878e-15,1.0328227079652317,2.220446049250313e-16,1.7881014112594202,0.21027732560439,0.1228951082699574,-2.220446049250313e-16,-0.7952485279916923,0.0,-0.0925203416700913,-0.1337542916996825,-1.9261105306273727,0.0,-0.7314023055118162,0.0,-1.0951393127207152,0.0,0.9530132422212744,0.0,0.0,0.0,0.8360705477567327,0.0,0.0,0.0,0.0,0.0,-4.005743304476132,0.0,2.644301576918297,0.0,-1.025824710423842,0.0,0.0,0.0,0.0,0.0,-1.961459354532625,0.0,0.0,-4.437812594629634,0.7695338445964615,0.0,-1.8096363462507168,0.0,0.0,0.0,1.3594104785503742,0.0,-2.767942597424552,0.0,0.0,0.8107419960309109,-0.8040398969978781
"Random Forest (100 estimators, 20 depth)",566,142,6.871668356494289,2.6213867239486603,0.881583102604798,43.785224953112746,6.617040498071079,0.0101561578366294,12.929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",566,142,16.28693596244902,4.035707616075404,0.7193333082023929,41.416022083538046,6.43552811224829,0.0637162542800209,12.929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",566,142,31.246533528181267,5.589859884485591,0.4615401438479684,40.02774768980007,6.326748587528989,0.0951006964370763,12.929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),566,142,39.942941495892974,6.320042839719758,0.3116781894295646,43.04133665877112,6.560589657856306,0.0269730920467418,12.929577464788732,12.149707991826718,-1.7774311925598552,2.5199691265451496,-4.9643987403904255,0.953829740637732,3.721972695177138,-3.817663523994039,1.3621452732779595,0.0,0.3061690341805035,0.0,-2.3233178400256325,0.0,0.5980515984609326,0.0,-0.188576958919185,-0.1341311920570893,-0.2394375038384302,0.0,-1.0914621139812195,0.0,3.5647616256901324,0.0,-0.882834016626567,0.0,-0.4502433432475807,0.0,1.812588282408217,2.87869463134286,6.086662053645072,0.0,0.0,0.0,-0.8297414308250318,0.0,0.8870810861206062,0.0,1.6246757729707717,-0.368953432654357,0.1801722140972583,0.0,-0.7603845084281359,0.0,-0.044878103928338,0.7725015296180112,-1.815480410762068,0.0,-0.6089628740981399,0.0,-0.9487417597151012,0.0,0.9515214247613248,0.0,0.0,0.0,0.8630620508460458,0.0,0.0,0.0,0.0,0.0,-3.623150751941211,0.0,2.511175247164392,0.0,-0.9420296120527164,0.0,0.0,0.0,0.0,0.0,-1.8658061619985,0.0,0.0,-3.539289263486179,0.8619009894869214,0.0,-1.6376899942593095,0.0,0.0,0.0,1.2037155947247375,0.0,-2.575006105770042,0.0,0.0,0.3911777272364315,-0.6237934841400103
Ridge (lambda=0.1),566,142,39.85814627003856,6.313330837999745,0.3131394339248865,43.78204080655492,6.616799891681395,0.0102281412023924,12.929577464788732,13.053762886836928,-5.595564794503642,6.585733551919673,-8.01172117918801,0.945205909020855,3.727336602967634,-2.3406099495141586,1.031723494130433,0.0,0.2787144577051764,0.0,-2.562890311763465,0.0,0.5830530264058126,0.0,-0.2462278150466889,0.6275695196218006,-0.2769319472181038,0.0,-1.1809944582629532,0.0,4.609757494094585,0.0,-1.0064995804997183,0.0,-0.4452724905947027,0.0,1.8354008446835584,2.811807216627947,6.690252573395457,0.0,0.0,0.0,-0.8865203453664243,0.0,1.0064393843985795,0.0,1.7546120814764634,0.0099824652961704,0.1406623888441242,0.0,-0.8018243765326798,0.0,-0.1113085699243784,0.0595061796648791,-1.91085688061778,0.0,-0.7099166804171434,0.0,-1.0671291157485896,0.0,0.94137776472581,0.0,0.0,0.0,0.8382460218175548,0.0,0.0,0.0,0.0,0.0,-3.953023903808539,0.0,2.6381793641378235,0.0,-1.0340991482427544,0.0,0.0,0.0,0.0,0.0,-1.961302784173202,0.0,0.0,-4.26843993278835,0.8145496610516871,0.0,-1.7929483761632048,0.0,0.0,0.0,1.326418461459829,0.0,-2.749700080423188,0.0,0.0,0.7595745515731946,-0.7602166593963308
Lasso (lambda=0.1),566,142,43.11417789921326,6.566138735909656,0.2570294554822979,38.6605178288841,6.217758263947233,0.1260093890405462,12.929577464788732,11.01942338607151,0.0,0.0,-5.516635829590461,0.5583182202703384,3.558209362109974,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.1448311405084406,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2.5673245311119133,0.2566441181376053,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.9592802362863184,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0582404972798175,0.0,0.0,0.0,-0.0
Lasso (lambda=1.0),566,142,54.99977586417417,7.416183375845972,0.0522093795298201,43.75712526265643,6.6149168749619545,0.0107914019308339,12.929577464788732,10.84819186462976,-0.0,0.0,-0.0,0.0,1.09059517609304,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.2678011247640202,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
"Random Forest (50 estimators, 5 depth)",566,142,31.89805661011973,5.647836453910447,0.4503126896196806,40.29288515631101,6.347667694225258,0.0891067866459608,12.929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),566,142,40.06852618705657,6.329970472842395,0.3095140352945832,42.61951052578592,6.528362009400667,0.0365092312500031,12.929577464788732,12.873345305371302,-0.0,1.378538821521676,-9.486900378858817,0.9105469951351112,3.805427936989648,-0.0,0.0,0.0,0.4248763775505662,0.0,-1.812095814573069,0.0,0.520200308370998,0.0,0.0,-0.03426438287407,0.0,0.0,-0.5658021957530418,0.0,3.050060978304751,0.0,-0.3742740447399248,0.0,-0.0,0.0,1.898288904193471,2.2731190210511705,6.438443083574168,0.0,0.0,0.0,-0.3854319515159075,0.0,0.5766544086386484,0.0,1.710656184774525,-0.408868500207099,0.229595265404547,0.0,-0.2003677411443103,0.0,0.0,0.0840025768873996,-1.3230515338523323,0.0,-0.0,0.0,-0.3019740624003189,0.0,0.8995785143961501,0.0,0.0,0.0,1.019948356062933,0.0,0.0,0.0,0.0,0.0,-3.1776347533198828,0.0,2.528075655393652,0.0,-0.4262471010218011,0.0,0.0,0.0,0.0,0.0,-1.4040385032327989,0.0,0.0,-3.807274371453743,0.7781716348422881,0.0,-1.070939325049144,0.0,0.0,0.0,1.2079987176226927,0.0,-2.0770423459497547,0.0,0.0,0.208422881018109,-0.0008385850905547
