Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1985-10-26,21-139,IND,,NJN,W (+27),0,19:00,4,8,0.5,0,0,,1,1,1.0,1,5,6,0,0,0,4,4,9,1.6,
2,2,1985-10-30,21-143,IND,@,NJN,L (-9),0,29:00,2,9,0.222,0,0,,5,6,0.833,2,3,5,0,0,0,0,3,9,4.2,
3,3,1985-11-01,21-145,IND,@,DET,L (-8),0,23:00,6,13,0.462,0,0,,1,2,0.5,1,6,7,1,1,1,1,4,13,8.2,
4,4,1985-11-02,21-146,IND,,DET,L (-11),0,32:00,6,12,0.5,0,0,,4,4,1.0,1,5,6,1,0,0,2,3,16,9.7,
5,5,1985-11-06,21-150,IND,@,PHI,L (-8),0,17:00,2,6,0.333,0,0,,0,3,0.0,2,3,5,1,2,0,4,4,4,-1.2,
6,6,1985-11-09,21-153,IND,,PHO,W (+22),0,21:00,5,8,0.625,0,0,,2,2,1.0,2,4,6,1,0,1,2,4,12,8.8,
7,7,1985-11-13,21-157,IND,@,BOS,L (-4),0,22:00,3,11,0.273,0,0,,3,3,1.0,1,3,4,1,1,0,1,4,9,3.2,
8,8,1985-11-14,21-158,IND,,CLE,L (-8),0,15:00,3,9,0.333,0,0,,1,4,0.25,1,5,6,0,0,0,0,3,7,1.7,
9,9,1985-11-16,21-160,IND,,BOS,W (+2),0,18:00,4,8,0.5,0,0,,0,0,,4,3,7,2,0,0,2,5,8,5.1,
10,10,1985-11-19,21-163,IND,@,CHI,L (-7),0,20:00,3,7,0.429,0,0,,1,2,0.5,1,1,2,0,0,0,3,4,7,-0.7,
11,11,1985-11-20,21-164,IND,@,HOU,L (-29),1,37:00,12,23,0.522,0,0,,3,3,1.0,5,5,10,0,1,0,2,2,27,18.9,
12,12,1985-11-22,21-166,IND,@,SAS,L (-12),1,24:00,2,5,0.4,0,0,,2,2,1.0,1,2,3,0,2,0,3,3,6,2.4,
13,13,1985-11-23,21-167,IND,@,DAL,L (-13),1,22:00,5,7,0.714,0,0,,6,8,0.75,1,6,7,0,1,2,2,5,16,13.2,
14,14,1985-11-25,21-169,IND,,UTA,L (-1),1,30:00,4,8,0.5,0,0,,1,2,0.5,2,5,7,3,0,0,2,4,9,6.0,
15,15,1985-11-27,21-171,IND,,NYK,L (-3),1,32:00,5,13,0.385,0,0,,1,1,1.0,1,4,5,1,0,0,2,4,11,2.9,
16,16,1985-11-29,21-173,IND,,PHI,L (-10),1,39:00,11,16,0.688,0,0,,3,5,0.6,5,6,11,1,0,1,2,4,25,20.5,
17,17,1985-11-30,21-174,IND,@,MIL,L (-17),1,19:00,6,9,0.667,0,0,,3,5,0.6,0,1,1,0,0,0,2,4,15,7.0,
18,18,1985-12-03,21-177,IND,@,CLE,W (+14),1,23:00,3,9,0.333,0,0,,3,4,0.75,2,4,6,0,0,1,3,4,9,2.2,
19,19,1985-12-04,21-178,IND,,DEN,L (-14),1,36:00,9,14,0.643,0,1,0.0,1,1,1.0,4,8,12,1,0,0,5,4,19,12.1,
