,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1994-11-04,23-221,PHO,@,SAC,L (-18),0,19:00,2,5,0.4,0,0,,0,0,,0,2,2,2,0,1,3,1,4,0.6,
1,2,2,1994-11-06,23-223,PHO,,MIA,W (+12),0,33:00,7,11,0.636,3,6,0.5,6,6,1.0,0,6,6,3,1,1,2,1,23,21.3,
2,3,3,1994-11-09,23-226,PHO,,ATL,W (+4),0,31:00,6,12,0.5,2,4,0.5,0,0,,0,4,4,2,0,1,3,3,14,7.1,
3,4,4,1994-11-11,23-228,PHO,@,SEA,L (-6),0,29:00,6,10,0.6,1,3,0.333,2,3,0.667,0,1,1,0,2,0,4,0,15,8.3,
4,5,5,1994-11-12,23-229,PHO,@,LAC,W (+7),0,24:00,3,7,0.429,2,3,0.667,0,0,,0,3,3,1,2,0,2,4,8,4.3,
5,6,6,1994-11-15,23-232,PHO,@,POR,W (+3),0,16:00,3,5,0.6,1,2,0.5,2,3,0.667,2,4,6,3,0,1,0,1,9,11.3,
6,7,7,1994-11-16,23-233,PHO,,MIN,W (+15),1,26:00,0,8,0.0,0,3,0.0,8,8,1.0,4,1,5,2,1,0,2,2,8,5.1,
7,8,8,1994-11-18,23-235,PHO,,POR,W (+13),0,19:00,2,6,0.333,1,3,0.333,2,2,1.0,0,1,1,0,0,0,0,0,7,3.9,
8,9,9,1994-11-21,23-238,PHO,@,UTA,L (-15),0,23:00,3,7,0.429,2,3,0.667,1,4,0.25,2,3,5,1,0,0,2,2,9,4.3,
9,10,10,1994-11-23,23-240,PHO,,LAC,W (+31),1,33:00,8,13,0.615,2,5,0.4,1,2,0.5,0,1,1,4,3,1,2,2,19,16.7,
10,11,11,1994-11-26,23-243,PHO,,SAS,W (+3),1,10:00,2,8,0.25,0,1,0.0,0,0,,3,0,3,0,0,0,0,2,4,0.5,
11,12,12,1994-11-27,23-244,PHO,,NJN,W (+5),1,40:00,11,17,0.647,4,6,0.667,0,0,,3,6,9,4,2,0,2,2,26,24.4,
12,13,13,1994-11-29,23-246,PHO,@,MIL,W (+17),1,31:00,7,15,0.467,3,7,0.429,2,2,1.0,1,1,2,0,2,1,1,3,19,12.8,
13,14,14,1994-11-30,23-247,PHO,@,CHI,L (-13),1,33:00,6,11,0.545,3,5,0.6,3,4,0.75,0,3,3,1,0,0,2,3,18,10.7,
14,15,15,1994-12-02,23-249,PHO,@,BOS,W (+5),0,10:00,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,1,0,0,0,-1.1,
15,16,16,1994-12-03,23-250,PHO,@,DET,L (-10),0,26:00,2,7,0.286,1,6,0.167,2,4,0.5,2,2,4,1,1,0,1,0,7,4.8,
16,17,17,1994-12-08,23-255,PHO,@,NJN,W (+27),1,22:00,4,8,0.5,1,1,1.0,0,0,,2,1,3,3,1,0,2,1,9,7.4,
