model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,586,147,37.77983003102065,6.146529917849636,0.2333740370475555,45.41723714556013,6.739231198405359,0.0921896338696377,11.673469387755102,8017637763829.384,7.644310095924771,-2.780576762576647,-7.115066588868715,1.182948295806646,4.316459561986784,8.141689263264803,-7.225659883689207,39460617206854.74,-1969824289496.54,-12528092996822.12,-1969824289497.8767,118433079442.52902,-1969824289499.956,309766486886.8448,-1969824289499.757,-11000093589.912874,-1969824289498.268,414760373800.5657,-1969824289495.588,-6047813474325.494,-1969824289496.901,96531191490.60954,-1969824289497.0007,61304954597.1325,-1969824289496.3127,-17940303033.96135,-1969824289495.913,-498376915.2453928,-1969824289495.638,-20231212.51538137,-18627088.599460386,-6047813474327.307,-1969824289495.5364,27596.261478554457,-1969824289494.1057,-100.09115076065063,-1969824289495.474,-6047813474326.289,-1969824289499.3867,-0.0078125,-1969824289498.6377,3.0517578125e-05,-1969824289493.926,0.0,-1969824289499.524,-6047813474330.365,-1969824289494.524,0.0,-1969824289497.6235,0.0,-1969824289494.3325,0.0,0.0,0.0,-1969824289497.68,0.0,0.0,0.0,-1969824289492.1016,0.0,-1969824289497.352,0.0,-1969824289495.6948,0.0,-1969824289494.032,0.0,0.0,0.0,0.0,-6047813474322.805,-1969824289497.0547,0.0,-1969824289491.1377,-6047813474331.283,-1969824289496.944,-6047813474323.961,-1969824289495.976,0.0,0.0,0.0,-1969824289497.86,0.0,-1969824289498.651,0.0,0.0,0.0,-1969824289495.8828
"Random Forest (100 estimators, 20 depth)",586,147,5.7856608135086685,2.405340061926519,0.8825977303542549,45.75758929064999,6.764435622478049,0.0853865955329589,11.673469387755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",586,147,13.237742728198874,3.638370889312808,0.7313805472923136,43.91174162338427,6.626593515780508,0.1222818307334376,11.673469387755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",586,147,29.498820557416064,5.43128166802423,0.4014117666166877,43.78633088787492,6.617124064718366,0.1247885698676246,11.673469387755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),586,147,37.86794221488833,6.15369337998639,0.2315860700887326,44.88098264371792,6.699327029166282,0.1029084143647216,11.673469387755102,6.447017765740249,2.6571441483061338,1.4221649719588474,-0.6104640666669802,1.1869842772733314,4.323538725106924,1.1533819404755337,-5.357673433934112,0.0,0.0528984643286084,0.0,-1.2981528242269271,0.0,-2.799002640694678,0.0,-2.8818151409908275,0.0,-1.625555957755522,0.0,0.8573825598220315,0.8898847630241967,-0.2923120984860768,0.0,-0.4147959973316035,0.0,0.2410153878669691,0.0,0.5668311468992113,0.0,0.8671756102910304,0.0,0.0,0.908957406904514,0.9540942228958618,0.0,2.205044203195236,0.0,1.0238538956205536,0.042903398321864,-2.593442895066914,0.0,-2.022950903997695,0.0,2.4237318130449768,0.0,-2.816771510320116,-3.219479036297991,1.8970092437830948,0.0,-1.018374267754917,0.0,2.030060060089532,0.0,0.0,0.0,-1.0945797939142676,0.0,0.0,0.0,3.569396271219545,0.0,-0.7644148102467477,0.0,0.786056120494755,0.0,2.4871569517727377,0.0,0.0,0.0,0.0,3.276835182004505,-0.4048604875437072,0.0,2.699314382423391,-4.113567106506984,-0.3847337347203408,2.2144653925484854,0.5233090451969323,0.0,0.0,0.0,-1.2721005254097322,0.0,-2.1222895521373384,0.0,0.0,0.0,0.6218237616532081
Ridge (lambda=0.1),586,147,37.78819864636591,6.147210639498691,0.2332042216250835,45.22647350970774,6.725063085927725,0.0960026620719586,11.673469387755102,6.145007832870775,5.538217312371828,-0.829928090233593,-4.035713833825308,1.1912133712536508,4.327793377850312,5.049848024791806,-6.659874962787607,0.0,-0.0575894849816399,0.0,-1.4164793529095148,0.0,-3.419451560693953,0.0,-3.192896266542666,0.0,-1.79003313476671,0.0,0.8584164258851378,1.141608716843005,-0.4362189573833696,0.0,-0.5294080136214707,0.0,0.1569735275935854,0.0,0.5320292767158541,0.0,0.8284654213230608,0.0,0.0,0.1281435516607149,0.9216650622428124,0.0,2.327919626540744,0.0,0.99979505323226,0.2999529852660081,-2.862504368793109,0.0,-2.164156365031982,0.0,2.4962018702520448,0.0,-3.0412040823762263,-3.5943026408555605,1.9182477514213525,0.0,-1.1268052100355406,0.0,2.103167632096574,0.0,0.0,0.0,-1.2166059162280474,0.0,0.0,0.0,4.434387251291434,0.0,-0.8833481669988387,0.0,0.7553332726041649,0.0,2.4558359861565764,0.0,0.0,0.0,0.0,3.844746847752512,-0.5313960386893319,0.0,4.868527570584829,-4.479081551079799,-0.4710541818622444,2.6589320904021685,0.5110354466235679,0.0,0.0,0.0,-1.3813721776300023,0.0,-2.221726528968256,0.0,0.0,0.0,0.5742486329534936
Lasso (lambda=0.1),586,147,41.92740824504485,6.475137700855855,0.1492116377028228,46.33323306347335,6.806851920195808,0.0738804930703055,11.673469387755102,7.714794362075688,0.0,0.0,-0.7784919753780368,0.8665442503805438,4.4943854136854,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.4630590860571543,0.0,0.0,0.0,0.0,0.9404955572223646,-0.0,0.0,0.0,-0.0476687890175398,-0.0,0.3693465305643537,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),586,147,47.30563915922792,6.877909505018797,0.0400769102522023,49.15016749875266,7.010718044448276,0.0175749482644801,11.673469387755102,10.497757847533633,0.0,0.0,-0.0,0.0,0.8934267254691225,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
"Random Forest (50 estimators, 5 depth)",586,147,28.93624360681884,5.379241917484176,0.4128275431337427,43.79826717157186,6.618025927085196,0.1245499846353608,11.673469387755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),586,147,38.043549501860994,6.167945322541454,0.228022657935572,44.40785629516607,6.663921990477235,0.1123653745564704,11.673469387755102,7.463188839699864,3.814059465798986,0.0,-0.0,1.1479873027674885,4.385750746774992,0.0,-5.059596010791132,0.0,0.0,0.0,-1.1299184175139747,0.0,-2.2383789698355234,0.0,-2.7943099074805,0.0,-1.4728832643894465,0.0,0.5850448451677059,0.1894111450466393,-0.0,0.0,-0.224334789476837,0.0,0.0,0.0,0.1982819968461454,0.0,0.5967227683581378,0.0,0.0,-0.0,0.6488002412913164,0.0,1.8617791761126588,0.0,0.6598616912773869,-0.2518160399743479,-2.4556337001879647,0.0,-1.925871439167586,0.0,2.1932162897106693,0.0,-2.732344451380744,-3.2134954308538743,1.629736985661137,0.0,-0.8875133393101979,0.0,1.6098818178532035,0.0,0.0,0.0,-0.9391124874790908,0.0,0.0,0.0,2.5207600875385823,0.0,-0.5792752308811274,0.0,0.4010766127209258,0.0,2.2922819513308603,0.0,0.0,0.0,0.0,2.368981693952234,-0.1547474554311015,0.0,0.0,-4.484784308594926,-0.1786073102928984,1.4598026170041374,0.0,0.0,0.0,0.0,-1.149329402707044,0.0,-2.030799266270926,0.0,0.0,0.0,0.2714135374880297
