Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2007-01-31,24-054,MEM,,DAL,L (-1),0,2:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
3,2,2007-02-06,24-060,MEM,,HOU,L (-8),0,3:18,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
4,3,2007-02-07,24-061,MEM,@,DAL,L (-16),0,11:10,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,1.0,-5
7,4,2007-03-01,24-083,LAC,@,SEA,L (-2),0,13:57,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,1,2,0,-0.8,-8
8,5,2007-03-03,24-085,LAC,,IND,W (+23),0,16:39,0,0,,0,0,,0,2,.000,0,2,2,6,0,0,1,3,0,1.8,+7
10,6,2007-04-09,24-122,LAC,@,DAL,L (-10),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
16,7,2007-04-18,24-131,LAC,,NOK,L (-3),0,3:54,0,1,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,0,0,-0.8,+1
2,1,2010-01-31,27-054,HOU,,PHO,L (-4),0,9:38,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,3,2,-0.5,-16
3,2,2010-02-02,27-056,HOU,,GSW,W (+22),0,10:39,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,3,1,2,-2.5,-2
7,3,2010-03-03,27-085,HOU,,SAC,L (-3),0,4:08,0,1,.000,0,1,.000,0,2,.000,0,0,0,1,0,0,0,0,0,-0.8,+2
8,4,2010-03-06,27-088,HOU,@,MIN,W (+14),0,6:08,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,2.4,-1
9,5,2010-03-07,27-089,HOU,@,DET,L (-3),0,5:19,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,0.6,+2
2,1,2012-11-04,29-332,MIN,@,TOR,L (-19),0,8:03,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-2.1,-14
4,2,2012-11-07,29-335,MIN,,ORL,W (+15),0,5:03,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-12
7,3,2012-11-12,29-340,MIN,@,DAL,W (+8),0,3:31,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,-4
8,4,2012-11-14,29-342,MIN,,CHA,L (-2),0,3:49,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-10
