Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
4,1,1999-11-13,20-097,MIN,,PHO,W (+11),0,1:21,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,1,0,1,-0.4,-3
7,2,1999-11-21,20-105,MIN,@,VAN,W (+24),0,1:49,1,2,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,2,1.3,6
10,3,1999-11-26,20-110,MIN,@,DEN,L (-9),0,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
11,4,1999-11-27,20-111,MIN,,VAN,W (+31),0,6:18,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-0.8,-6
12,5,1999-11-30,20-114,MIN,,DEN,W (+17),0,1:17,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-3
13,6,1999-12-02,20-116,MIN,,ORL,L (-10),0,1:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,1
14,7,1999-12-04,20-118,MIN,,DAL,L (-19),0,5:53,0,3,0.0,0,2,0.0,0,0,,1,1,2,1,0,0,0,0,0,-0.4,-6
15,8,1999-12-08,20-122,MIN,@,SEA,L (-16),0,13:47,1,4,0.25,1,4,0.25,2,4,0.5,0,0,0,2,1,0,0,3,5,3.0,-2
16,9,1999-12-09,20-123,MIN,@,POR,L (-4),0,0:09,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1
17,10,1999-12-11,20-125,MIN,,GSW,L (-28),0,14:09,0,1,0.0,0,1,0.0,2,4,0.5,0,1,1,3,0,0,0,0,2,2.9,-22
18,11,1999-12-14,20-128,MIN,@,ATL,L (-11),0,16:50,3,10,0.3,1,3,0.333,0,0,,2,3,5,3,1,0,1,2,7,4.8,6
19,12,1999-12-15,20-129,MIN,@,CHH,L (-5),0,9:19,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-3.1,8
20,13,1999-12-17,20-131,MIN,,LAL,L (-9),0,4:09,1,4,0.25,0,0,,0,2,0.0,0,0,0,0,0,0,0,0,2,-1.2,-4
21,14,1999-12-18,20-132,MIN,@,DAL,W (+4),0,2:15,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,0,-1.0,-3
22,15,1999-12-20,20-134,MIN,@,CLE,W (+6),0,4:13,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-2
23,16,1999-12-22,20-136,MIN,@,CHI,W (+20),0,18:39,1,7,0.143,0,1,0.0,0,0,,0,3,3,3,0,0,1,3,2,-1.7,-2
25,17,1999-12-27,20-141,MIN,@,ORL,W (+2),0,9:53,1,2,0.5,0,0,,0,0,,0,1,1,3,1,0,1,2,2,2.6,-6
26,18,1999-12-28,20-142,MIN,@,MIA,L (-11),0,15:02,2,7,0.286,1,3,0.333,0,0,,0,0,0,1,0,0,1,2,5,-0.2,-10
27,19,1999-12-30,20-144,MIN,,CHI,W (+18),0,13:07,1,3,0.333,0,0,,0,0,,0,2,2,3,1,0,1,1,2,2.6,-4
29,20,2000-01-06,20-151,MIN,,POR,W (+2),0,4:34,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,5
30,21,2000-01-08,20-153,MIN,@,DET,W (+5),0,3:44,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,1,1,2,1.0,-2
31,22,2000-01-09,20-154,MIN,@,PHI,W (+11),0,3:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-4
32,23,2000-01-11,20-156,MIN,,MIA,L (-10),0,3:42,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,3.4,-2
33,24,2000-01-13,20-158,MIN,,BOS,W (+18),0,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
34,25,2000-01-15,20-160,MIN,,LAL,L (-13),0,0:51,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
35,26,2000-01-17,20-162,MIN,,IND,W (+1),1,16:29,2,12,0.167,0,2,0.0,0,0,,0,5,5,3,0,0,2,1,4,-2.4,-5
36,27,2000-01-19,20-164,MIN,@,UTA,W (+3),0,9:58,0,3,0.0,0,1,0.0,1,2,0.5,0,0,0,1,1,0,1,1,1,-1.2,-10
37,28,2000-01-21,20-166,MIN,@,LAC,W (+6),0,7:30,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-2.5,-14
38,29,2000-01-23,20-168,MIN,@,GSW,W (+18),0,4:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
40,30,2000-01-27,20-172,MIN,@,SAS,L (-12),0,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1
42,31,2000-01-31,20-176,MIN,,SAC,W (+15),0,5:12,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,1,2,0,-1.5,-9
