model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight,Team_GSW_weight,Opponent_GSW_weight,Team_DET_weight,Opponent_DET_weight,Team_WSB_weight,Opponent_WSB_weight,Team_LAC_weight,Opponent_LAC_weight,Team_DAL_weight,Opponent_DAL_weight,Team_BOS_weight,Opponent_BOS_weight,Team_MEM_weight,Opponent_MEM_weight,Team_UTA_weight,Opponent_UTA_weight,Team_MIN_weight,Opponent_MIN_weight,Team_NJN_weight,Opponent_NJN_weight,Team_TOR_weight,Opponent_TOR_weight,Team_BRK_weight,Opponent_BRK_weight,Team_DEN_weight,Opponent_DEN_weight,Team_WAS_weight,Opponent_WAS_weight,Team_PHI_weight,Opponent_PHI_weight,Team_POR_weight,Opponent_POR_weight,Team_IND_weight,Opponent_IND_weight,Team_MIL_weight,Opponent_MIL_weight,Team_SAC_weight,Opponent_SAC_weight,Team_ATL_weight,Opponent_ATL_weight,Team_ORL_weight,Opponent_ORL_weight,Team_VAN_weight,Opponent_VAN_weight,Team_OKC_weight,Opponent_OKC_weight,Team_LAL_weight,Opponent_LAL_weight,Team_SDC_weight,Opponent_SDC_weight,Team_NOH_weight,Opponent_NOH_weight,Team_NYK_weight,Opponent_NYK_weight,Team_CHH_weight,Opponent_CHH_weight,Team_SEA_weight,Opponent_SEA_weight,Team_NOP_weight,Opponent_NOP_weight,Team_NOK_weight,Opponent_NOK_weight,Team_PHO_weight,Opponent_PHO_weight,Team_CHA_weight,Opponent_CHA_weight,Team_MIA_weight,Opponent_MIA_weight,Team_CLE_weight,Opponent_CLE_weight,Team_CHO_weight,Opponent_CHO_weight,Team_CHI_weight,Opponent_CHI_weight,Team_SAS_weight,Opponent_SAS_weight,Team_KCK_weight,Opponent_KCK_weight,Team_HOU_weight,Opponent_HOU_weight
LinReg,892,224,43.408238500757605,6.588492885384153,0.2604384654855423,50.15273720877512,7.081859728120511,0.1959974241554097,17.071428571428573,-44761367042280.19,-5.737945167408292,7.557891884227573,7.695228360755619,0.7456987819579934,7.755010433529918,-3.150353992729838,-0.8284190119662709,-7046802758543.521,-3111564654530.363,-1930886329426.196,-3111564654529.5376,110631265499.91975,539358684871.7336,47872931696822.86,-3111564654531.021,681468954217.2632,-3111564654527.336,-321990669910.3606,-3111564654530.219,47872931696816.66,-3111564654526.6074,41889284502.57543,-3111564654526.656,168589441718.86734,-3111564654530.711,-134503090820.30492,-3111564654529.603,-37589379524.430176,-3111564654530.107,6805922735.812284,-3111564654532.914,-849562382.6617556,-3111564654530.552,31255847.18542573,-3111564654531.475,825338.5282971057,-3111564654531.605,47872931696818.92,-3111564654528.34,1565.0451107025146,-3111564654528.426,7.553497314453125,-3111564654529.322,47872931696811.44,-3111564654529.556,0.0,-3111564654525.411,0.0,-3111564654530.8525,0.0,0.0,0.0,-3111564654528.173,0.0,-3111564654531.636,0.0,0.0,0.0,-3111564654530.444,47872931696817.84,-3111564654530.0586,0.0,-3111564654532.6094,0.0,-3111564654530.145,0.0,-3111564654531.033,0.0,-3111564654525.125,0.0,-3111564654528.3965,0.0,-3111564654527.339,0.0,-3111564654528.541,0.0,-3111564654530.621,0.0,-3111564654528.7227,0.0,-3111564654529.9688,0.0,-3111564654531.5586,0.0,0.0,0.0,-3111564654529.801
"Random Forest (100 estimators, 20 depth)",892,224,7.762716573941426,2.786165209376757,0.8677438481793096,42.6709689261809,6.532301962262683,0.3159382550224757,17.071428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (50 estimators, 10 depth)",892,224,21.383181342943114,4.624195210298017,0.6356871655478042,41.062608674925386,6.40801128860783,0.3417220079513036,17.071428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Random Forest (20 estimators, 5 depth)",892,224,34.38879666913012,5.864196165641982,0.4141058906529076,40.79635114031242,6.387202137110772,0.3459904039667737,17.071428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridge (lambda=1.0),892,224,43.44959917249364,6.591630994867176,0.2597337890712455,49.79811165755202,7.056777710651797,0.201682454973504,17.071428571428573,8.04980655586027,-2.290695966193619,4.99126041938547,2.6173073622674767,0.7577875817037713,7.853129794076304,1.5045242874862317,-2.277008460750406,0.0,-0.756791561284311,0.0,0.0063799550401431,0.0,0.0,4.792533071692154,-1.4330869635715415,0.0,2.2028954092498174,0.0,-0.5947829746112455,-0.7153090918041551,2.823626421251765,0.0,2.8609838823899296,0.0,-1.0934897566228727,0.0,-0.1033649872671188,0.0,-0.533527870200437,0.0,-2.899784179914997,0.0,-0.9357368167749104,0.0,-1.865311333066872,0.0,-1.933736074291913,1.3175852620051969,1.1671078768829046,0.0,1.130452242911257,0.0,0.2252837510030722,-5.68699294555891,-0.0282085157834061,0.0,3.8883626080613767,0.0,-1.255062657774685,0.0,0.0,0.0,1.3869136647759437,0.0,-2.029966812606232,0.0,0.0,0.0,-0.8831548383109707,0.292183703666236,-0.4423914230158547,0.0,-2.037321366047617,0.0,-0.4900231542114859,0.0,-1.3508598037100346,0.0,3.4204248336536414,0.0,1.141574932509884,0.0,2.091027281802875,0.0,0.9900104271883038,0.0,-1.021027383037791,0.0,0.800329343083945,0.0,-0.3527813661453403,0.0,-1.916786257145952,0.0,0.0,0.0,-0.1781765344090096
Ridge (lambda=0.1),892,224,43.40946827934288,6.588586212484654,0.260417513312198,50.15418415095856,7.081961885731846,0.1959742281085468,17.071428571428573,7.826658299323027,-5.078411715968318,7.056879845568192,5.054954315820335,0.7483880822042791,7.77882225431827,-0.4577013374146629,-1.2169901746429,0.0,-0.776366053187463,0.0,0.033851378311599,0.0,0.0,5.232083507469682,-1.4304601405089947,0.0,2.24714932252397,0.0,-0.6187907391429515,-0.8609887132572176,2.9360765718000432,0.0,2.9263223708070267,0.0,-1.1248888795587255,0.0,-0.0524745745382543,0.0,-0.5465806364184965,0.0,-3.3108491041599097,0.0,-0.9731044166239562,0.0,-1.908097862661483,0.0,-2.018213316044402,1.361707231558637,1.215360809579935,0.0,1.1621379276884558,0.0,0.2392771101697869,-6.042847480519052,-0.002609880249875,0.0,4.127922105163584,0.0,-1.290711629097117,0.0,0.0,0.0,1.3968019265473588,0.0,-2.0576294294120605,0.0,0.0,0.0,-0.8621880034112934,0.3100454547570423,-0.4789856419395539,0.0,-2.8511426167705096,0.0,-0.5558856187488381,0.0,-1.4447134596518862,0.0,4.3496334565725165,0.0,1.167872752151318,0.0,2.2292823608524697,0.0,1.0300604321680191,0.0,-1.042543249325425,0.0,0.8651221333653554,0.0,-0.3842611402234611,0.0,-1.980286437510768,0.0,0.0,0.0,-0.2160878285134168
Lasso (lambda=0.1),892,224,47.07215879818542,6.8609153032365455,0.1980149576194699,48.3493330385769,6.953368467050836,0.2249079418823374,17.071428571428573,10.41135885995029,0.0,0.0,0.0,0.3171457358232647,7.538588035201432,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.2586269535712258,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.5909793273375071,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5184745206940562,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Lasso (lambda=1.0),892,224,54.04238402717291,7.351352530464915,0.0792607615428103,57.18563390706187,7.562118347861389,0.0832524898653204,17.071428571428573,14.956756756756755,0.0,0.0,0.0,0.0,1.9979815742191984,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
"Random Forest (50 estimators, 5 depth)",892,224,33.83877961621983,5.817110933807248,0.4234767259991139,40.6763681980039,6.377802771958686,0.3479138601935373,17.071428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasso (lambda=0.01),892,224,43.673408089888,6.60858593724013,0.2559206772725877,49.02536230797238,7.001811359067908,0.2140704621316768,17.071428571428573,8.358045429542413,-0.0,3.0025558364858944,3.0562643225704,0.725514868001491,7.954684462852257,0.0,-2.692693318061882,0.0,-0.2147312428388737,0.0,0.0,0.0,0.0,4.10394165881373,-0.94344188689916,0.0,2.3709587966270576,0.0,-0.0,-0.7019233288124022,2.918938223266545,0.0,3.036213470136447,0.0,-0.5740338760591105,0.0,0.0,0.0,-0.0,0.0,-1.5658715965694687,0.0,-0.3528551446934324,0.0,-1.1924718442485007,0.0,-1.3078959367000718,0.84114888008745,1.1742873679652903,0.0,1.1466862968760552,0.0,0.1385817336488834,-5.346069381886983,0.0460194488814569,0.0,3.881761704987368,0.0,-0.5825951028579864,0.0,0.0,0.0,1.4823097193784756,0.0,-1.5235907489471916,0.0,0.0,0.0,-0.2138964534560344,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.5115311206777085,0.0,2.069951535437037,0.0,1.293273017750565,0.0,1.946046564474784,0.0,0.965860619667112,0.0,-0.3692088340086652,0.0,0.0,0.0,-0.0,0.0,-1.4083285559365823,0.0,0.0,0.0,0.0
